"Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","variable"
"A","White","Not Hispanic or Latino","666",2009,0,24,"WNAA00024"
"A","White","Hispanic or Latino","666",2009,0,24,"WHAA00024"
"A","American Indian or Alaska Native","All Origins","666",2009,0,24,"IAAA00024"
"A","Asian or Pacific Islander","All Origins","666",2009,0,24,"AAAA00024"
"A","Black or African American","All Origins","666",2009,0,24,"BAAA00024"
"A","All","All Origins","666",2009,0,24,"UAAA00024"
"A","White","Not Hispanic or Latino","666",2009,25,29,"WNAA25029"
"A","White","Hispanic or Latino","666",2009,25,29,"WHAA25029"
"A","American Indian or Alaska Native","All Origins","666",2009,25,29,"IAAA25029"
"A","Asian or Pacific Islander","All Origins","666",2009,25,29,"AAAA25029"
"A","Black or African American","All Origins","666",2009,25,29,"BAAA25029"
"A","All","All Origins","666",2009,25,29,"UAAA25029"
"A","White","Not Hispanic or Latino","666",2009,30,34,"WNAA30034"
"A","White","Hispanic or Latino","666",2009,30,34,"WHAA30034"
"A","American Indian or Alaska Native","All Origins","666",2009,30,34,"IAAA30034"
"A","Asian or Pacific Islander","All Origins","666",2009,30,34,"AAAA30034"
"A","Black or African American","All Origins","666",2009,30,34,"BAAA30034"
"A","All","All Origins","666",2009,30,34,"UAAA30034"
"A","White","Not Hispanic or Latino","666",2009,35,44,"WNAA35044"
"A","White","Hispanic or Latino","666",2009,35,44,"WHAA35044"
"A","American Indian or Alaska Native","All Origins","666",2009,35,44,"IAAA35044"
"A","Asian or Pacific Islander","All Origins","666",2009,35,44,"AAAA35044"
"A","Black or African American","All Origins","666",2009,35,44,"BAAA35044"
"A","All","All Origins","666",2009,35,44,"UAAA35044"
"A","White","Not Hispanic or Latino","666",2009,45,54,"WNAA45054"
"A","White","Hispanic or Latino","666",2009,45,54,"WHAA45054"
"A","American Indian or Alaska Native","All Origins","666",2009,45,54,"IAAA45054"
"A","Asian or Pacific Islander","All Origins","666",2009,45,54,"AAAA45054"
"A","Black or African American","All Origins","666",2009,45,54,"BAAA45054"
"A","All","All Origins","666",2009,45,54,"UAAA45054"
"A","White","Not Hispanic or Latino","666",2009,55,64,"WNAA55064"
"A","White","Hispanic or Latino","666",2009,55,64,"WHAA55064"
"A","American Indian or Alaska Native","All Origins","666",2009,55,64,"IAAA55064"
"A","Asian or Pacific Islander","All Origins","666",2009,55,64,"AAAA55064"
"A","Black or African American","All Origins","666",2009,55,64,"BAAA55064"
"A","All","All Origins","666",2009,55,64,"UAAA55064"
"A","White","Not Hispanic or Latino","666",2009,65,74,"WNAA65074"
"A","White","Hispanic or Latino","666",2009,65,74,"WHAA65074"
"A","American Indian or Alaska Native","All Origins","666",2009,65,74,"IAAA65074"
"A","Asian or Pacific Islander","All Origins","666",2009,65,74,"AAAA65074"
"A","Black or African American","All Origins","666",2009,65,74,"BAAA65074"
"A","All","All Origins","666",2009,65,74,"UAAA65074"
"A","White","Not Hispanic or Latino","666",2009,75,84,"WNAA75084"
"A","White","Hispanic or Latino","666",2009,75,84,"WHAA75084"
"A","American Indian or Alaska Native","All Origins","666",2009,75,84,"IAAA75084"
"A","Asian or Pacific Islander","All Origins","666",2009,75,84,"AAAA75084"
"A","Black or African American","All Origins","666",2009,75,84,"BAAA75084"
"A","All","All Origins","666",2009,75,84,"UAAA75084"
"A","White","Not Hispanic or Latino","666",2009,85,150,"WNAA85150"
"A","White","Hispanic or Latino","666",2009,85,150,"WHAA85150"
"A","American Indian or Alaska Native","All Origins","666",2009,85,150,"IAAA85150"
"A","Asian or Pacific Islander","All Origins","666",2009,85,150,"AAAA85150"
"A","Black or African American","All Origins","666",2009,85,150,"BAAA85150"
"A","All","All Origins","666",2009,85,150,"UAAA85150"
"A","All","All Origins","lower",2009,25,34,"UALA25034"
"A","All","All Origins","middle",2009,25,34,"UAMA25034"
"A","All","All Origins","higher",2009,25,34,"UAHA25034"
"A","All","All Origins","lower",2009,35,44,"UALA35044"
"A","All","All Origins","middle",2009,35,44,"UAMA35044"
"A","All","All Origins","higher",2009,35,44,"UAHA35044"
"A","All","All Origins","lower",2009,45,64,"UALA45064"
"A","All","All Origins","middle",2009,45,64,"UAMA45064"
"A","All","All Origins","higher",2009,45,64,"UAHA45064"
"A","All","All Origins","lower",2009,65,150,"UALA65150"
"A","All","All Origins","middle",2009,65,150,"UAMA65150"
"A","All","All Origins","higher",2009,65,150,"UAHA65150"
