Year,Gender.Code,Race,Hispanic.Origin,county,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,49011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,49011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,49011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,51059,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,301.445818483402,180.867491090041,422.024145876762
1992,A,American Indian or Alaska Native,All Origins,51059,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,230.068903506468,138.04134210388,322.096464909054
1992,A,American Indian or Alaska Native,All Origins,51059,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,164.334931076048,98.6009586456289,230.068903506467
1992,A,American Indian or Alaska Native,All Origins,51650,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,15398648.5487985,9239189.12927908,21558107.9683178
1992,A,American Indian or Alaska Native,All Origins,51650,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,9942822.54671679,5965693.52803007,13919951.5654035
1992,A,American Indian or Alaska Native,All Origins,51650,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,7102016.10479771,4261209.66287862,9942822.54671677
1992,A,American Indian or Alaska Native,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,141.385841735994,84.8315050415962,197.940178430391
1992,A,American Indian or Alaska Native,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,141.385841735994,84.8315050415962,197.940178430391
1992,A,American Indian or Alaska Native,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,141.385841735994,84.8315050415962,197.940178430391
1992,A,American Indian or Alaska Native,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,22.6182185014011,13.5709311008406,31.6655059019615
1992,A,American Indian or Alaska Native,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,22.6182185014011,13.5709311008406,31.6655059019615
1992,A,American Indian or Alaska Native,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,22.6182185014011,13.5709311008406,31.6655059019615
1992,A,Asian or Pacific Islander,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1992,A,Asian or Pacific Islander,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1992,A,Asian or Pacific Islander,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1992,A,Asian or Pacific Islander,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3875.8166426287,3027.98175205367,4723.65153320372
1992,A,Asian or Pacific Islander,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,3328.17975209162,2600.14043132158,4056.21907286166
1992,A,Asian or Pacific Islander,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2377.27125149402,1857.2431652297,2897.29933775833
1992,A,Asian or Pacific Islander,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,309739.698734539,241984.139636358,377495.257832719
1992,A,Asian or Pacific Islander,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,224177.469227553,175138.647834025,273216.29062108
1992,A,Asian or Pacific Islander,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,162882.857761105,127252.232625863,198513.482896347
1992,A,Asian or Pacific Islander,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,651.882793916775,509.28343274748,794.482155086069
1992,A,Asian or Pacific Islander,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,531.976892986812,415.606947645947,648.346838327677
1992,A,Asian or Pacific Islander,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,379.98349499058,296.86210546139,463.104884519769
1992,A,Asian or Pacific Islander,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3294.8803407902,2574.12526624234,4015.63541533806
1992,A,Asian or Pacific Islander,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2697.56285210894,2107.47097821011,3287.65472600777
1992,A,Asian or Pacific Islander,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1926.83060864924,1505.33641300722,2348.32480429126
1992,A,Asian or Pacific Islander,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,121885.343309752,95222.9244607434,148547.76215876
1992,A,Asian or Pacific Islander,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,121885.343309752,95222.9244607434,148547.76215876
1992,A,Asian or Pacific Islander,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,115203.538099954,90002.7641405893,140404.312059319
1992,A,Asian or Pacific Islander,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,293.973748727106,229.666991193051,358.28050626116
1992,A,Asian or Pacific Islander,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,213.950933971146,167.149167164958,260.752700777334
1992,A,Asian or Pacific Islander,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,152.822095693676,119.392262260684,186.251929126667
1992,A,Asian or Pacific Islander,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,84.2343316624376,65.8080716112793,102.660591713596
1992,A,Asian or Pacific Islander,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,66.989965491543,52.3359105402679,81.644020442818
1992,A,Asian or Pacific Islander,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,47.8499753511022,37.3827932430485,58.3171574591557
1992,A,Asian or Pacific Islander,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,9463.52769939527,7393.38101515255,11533.674383638
1992,A,Asian or Pacific Islander,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,9463.52769939527,7393.38101515255,11533.674383638
1992,A,Asian or Pacific Islander,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,8889.82611123177,6945.17664939981,10834.4755730637
1992,A,Asian or Pacific Islander,All Origins,28059,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3558.22347645939,2779.86209098389,4336.58486193487
1992,A,Asian or Pacific Islander,All Origins,28059,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2723.6867775268,2127.88029494281,3319.49326011079
1992,A,Asian or Pacific Islander,All Origins,28059,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1945.49055537629,1519.91449638772,2371.06661436485
1992,A,Asian or Pacific Islander,All Origins,29019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,17.5880355783512,13.7406527955868,21.4354183611155
1992,A,Asian or Pacific Islander,All Origins,29019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,16.7728684039376,13.1038034405762,20.4419333672989
1992,A,Asian or Pacific Islander,All Origins,29019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,12.1410386727055,9.48518646305114,14.7968908823598
1992,A,Asian or Pacific Islander,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,435.82048823549,340.484756433976,531.156220037002
1992,A,Asian or Pacific Islander,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,349.049066114579,272.694582902015,425.403549327143
1992,A,Asian or Pacific Islander,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,249.320761510414,194.781844930011,303.859678090817
1992,A,Asian or Pacific Islander,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1548.10835034324,1209.45964870565,1886.75705198082
1992,A,Asian or Pacific Islander,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1548.10835034324,1209.45964870565,1886.75705198082
1992,A,Asian or Pacific Islander,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1544.09823519777,1206.32674624825,1881.86972414728
1992,A,Asian or Pacific Islander,All Origins,39017,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1645.92250387022,1285.87695614861,2005.96805159183
1992,A,Asian or Pacific Islander,All Origins,39017,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,865.257052590092,675.982072336008,1054.53203284417
