"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",6.37,15,0.00147434637310792,10
"AAAA00024","A",6.88,19,0.0018675054059367,10
"AAAA00024","A",6.93,5,0.000491448791035974,10
"AAAA00024","A",7.11,63,0.00619225476705327,10
"AAAA00024","A",7.15,30,0.00294869274621584,10
"AAAA00024","A",7.39,3,0.000294869274621584,10
"AAAA00024","A",7.62,1,9.82897582071948e-05,10
"AAAA00024","A",7.69,17,0.00167092588952231,10
"AAAA00024","A",7.75,43,0.00422645960290938,10
"AAAA00024","A",7.95,21,0.00206408492235109,10
"AAAA00024","A",7.99,23,0.00226066443876548,10
"AAAA00024","A",8,39,0.0038333005700806,10
"AAAA00024","A",8.01,28,0.00275211322980145,10
"AAAA00024","A",8.06,74,0.00727344210733242,10
"AAAA00024","A",8.09,114,0.0112050324356202,10
"AAAA00024","A",8.1,49,0.00481619815215255,10
"AAAA00024","A",8.12,14,0.00137605661490073,10
"AAAA00024","A",8.15,27,0.00265382347159426,10
"AAAA00024","A",8.19,53,0.00520935718498132,10
"AAAA00024","A",8.2,28,0.00275211322980145,10
"AAAA00024","A",8.21,107,0.0105170041281698,10
"AAAA00024","A",8.23,5,0.000491448791035974,10
"AAAA00024","A",8.24,92,0.00904265775506192,10
"AAAA00024","A",8.27,67,0.00658541379988205,10
"AAAA00024","A",8.31,29,0.00285040298800865,10
"AAAA00024","A",8.36,1,9.82897582071948e-05,10
"AAAA00024","A",8.37,76,0.00747002162374681,10
"AAAA00024","A",8.38,150,0.0147434637310792,10
"AAAA00024","A",8.4,6,0.000589738549243169,10
"AAAA00024","A",8.42,16,0.00157263613131512,10
"AAAA00024","A",8.44,25,0.00245724395517987,10
"AAAA00024","A",8.45,58,0.0057008059760173,10
"AAAA00024","A",8.47,74,0.00727344210733242,10
"AAAA00024","A",8.55,192,0.0188716335757814,10
"AAAA00024","A",8.6,205,0.0201494004324749,10
"AAAA00024","A",8.63,48,0.00471790839394535,10
"AAAA00024","A",8.64,186,0.0182818950265382,10
"AAAA00024","A",8.65,66,0.00648712404167486,10
"AAAA00024","A",8.66,8,0.000786318065657559,10
"AAAA00024","A",8.67,14,0.00137605661490073,10
"AAAA00024","A",8.7,59,0.00579909573422449,10
"AAAA00024","A",8.75,368,0.0361706310202477,10
"AAAA00024","A",8.83,35,0.00344014153725182,10
"AAAA00024","A",8.84,38,0.0037350108118734,10
"AAAA00024","A",8.85,42,0.00412816984470218,10
"AAAA00024","A",8.87,68,0.00668370355808925,10
