"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",2.91,29,0.00307790278072596,33
"AAAA00024","A",3.37,25,0.00265336446614307,33
"AAAA00024","A",4.44,5,0.000530672893228614,33
"AAAA00024","A",4.62,7,0.000742942050520059,33
"AAAA00024","A",4.73,10,0.00106134578645723,33
"AAAA00024","A",4.84,20,0.00212269157291446,33
"AAAA00024","A",4.85,40,0.00424538314582891,33
"AAAA00024","A",4.88,18,0.00191042241562301,33
"AAAA00024","A",4.97,28,0.00297176820208024,33
"AAAA00024","A",4.99,39,0.00413924856718319,33
"AAAA00024","A",5.03,4,0.000424538314582891,33
"AAAA00024","A",5.08,57,0.0060496709828062,33
"AAAA00024","A",5.1,18,0.00191042241562301,33
"AAAA00024","A",5.14,18,0.00191042241562301,33
"AAAA00024","A",5.16,30,0.00318403735937168,33
"AAAA00024","A",5.18,10,0.00106134578645723,33
"AAAA00024","A",5.2,90,0.00955211207811505,33
"AAAA00024","A",5.21,28,0.00297176820208024,33
"AAAA00024","A",5.22,19,0.00201655699426873,33
"AAAA00024","A",5.36,65,0.00689874761197198,33
"AAAA00024","A",5.38,15,0.00159201867968584,33
"AAAA00024","A",5.39,9,0.000955211207811505,33
"AAAA00024","A",5.4,26,0.00275949904478879,33
"AAAA00024","A",5.47,35,0.0037147102526003,33
"AAAA00024","A",5.49,5,0.000530672893228614,33
"AAAA00024","A",5.51,7,0.000742942050520059,33
"AAAA00024","A",5.56,7,0.000742942050520059,33
"AAAA00024","A",5.6,41,0.00435151772447463,33
"AAAA00024","A",5.67,45,0.00477605603905753,33
"AAAA00024","A",5.81,58,0.00615580556145192,33
"AAAA00024","A",5.86,30,0.00318403735937168,33
"AAAA00024","A",5.91,15,0.00159201867968584,33
"AAAA00024","A",5.95,203,0.0215453194650817,33
"AAAA00024","A",5.98,80,0.00849076629165782,33
"AAAA00024","A",6.02,25,0.00265336446614307,33
"AAAA00024","A",6.08,113,0.0119932073869667,33
"AAAA00024","A",6.09,21,0.00222882615156018,33
"AAAA00024","A",6.17,29,0.00307790278072596,33
"AAAA00024","A",6.18,15,0.00159201867968584,33
"AAAA00024","A",6.19,6,0.000636807471874337,33
"AAAA00024","A",6.2,28,0.00297176820208024,33
"AAAA00024","A",6.21,51,0.00541286351093186,33
"AAAA00024","A",6.23,25,0.00265336446614307,33
"AAAA00024","A",6.24,91,0.00965824665676077,33
"AAAA00024","A",6.26,42,0.00445765230312036,33
"AAAA00024","A",6.3,35,0.0037147102526003,33
"AAAA00024","A",6.31,61,0.00647420929738909,33
"AAAA00024","A",6.32,11,0.00116748036510295,33
"AAAA00024","A",6.33,149,0.0158140522182127,33
"AAAA00024","A",6.35,855,0.090745064742093,33
"AAAA00024","A",6.36,14,0.00148588410104012,33
"AAAA00024","A",6.37,76,0.00806622797707493,33
"AAAA00024","A",6.38,306,0.0324771810655912,33
"AAAA00024","A",6.4,19,0.00201655699426873,33
"AAAA00024","A",6.45,135,0.0143281681171726,33
"AAAA00024","A",6.47,55,0.00583740182551475,33
"AAAA00024","A",6.48,111,0.0117809382296752,33
"AAAA00024","A",6.51,48,0.00509445977499469,33
"AAAA00024","A",6.52,75,0.00796009339842921,33
