"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",6.62,261,0.00125254347909548,34
"AAAA00024","A",6.73,13,6.23872230967098e-05,34
"AAAA00024","A",6.8,84,0.000403117441547971,34
"AAAA00024","A",6.82,17,8.15832917418513e-05,34
"AAAA00024","A",6.84,39,0.000187161669290129,34
"AAAA00024","A",6.85,34,0.000163166583483703,34
"AAAA00024","A",6.88,44,0.000211156755096556,34
"AAAA00024","A",6.89,114,0.000547087956386532,34
"AAAA00024","A",6.91,55,0.000263945943870695,34
"AAAA00024","A",6.96,98,0.000470303681805966,34
"AAAA00024","A",6.97,19,9.1181326064422e-05,34
"AAAA00024","A",6.98,291,0.00139651399393404,34
"AAAA00024","A",6.99,48,0.000230352823741698,34
"AAAA00024","A",7.04,89,0.000427112527354398,34
"AAAA00024","A",7.05,81,0.000388720390064115,34
"AAAA00024","A",7.08,109,0.000523092870580105,34
"AAAA00024","A",7.1,13,6.23872230967098e-05,34
"AAAA00024","A",7.11,42,0.000201558720773985,34
"AAAA00024","A",7.18,53,0.000254347909548125,34
"AAAA00024","A",7.25,42,0.000201558720773985,34
"AAAA00024","A",7.28,33,0.000158367566322417,34
"AAAA00024","A",7.3,134,0.000643068299612239,34
"AAAA00024","A",7.32,9,4.31911544515683e-05,34
"AAAA00024","A",7.33,65,0.000311936115483549,34
"AAAA00024","A",7.34,36,0.000172764617806273,34
"AAAA00024","A",7.36,7,3.35931201289976e-05,34
"AAAA00024","A",7.37,284,0.00136292087380504,34
"AAAA00024","A",7.39,34,0.000163166583483703,34
"AAAA00024","A",7.41,256,0.00122854839328905,34
"AAAA00024","A",7.42,271,0.00130053365070833,34
"AAAA00024","A",7.43,19,9.1181326064422e-05,34
"AAAA00024","A",7.45,103,0.000494298767612393,34
"AAAA00024","A",7.46,313,0.00150209237148232,34
"AAAA00024","A",7.51,122,0.000585480093676815,34
"AAAA00024","A",7.54,16,7.67842745805659e-05,34
"AAAA00024","A",7.58,50,0.000239950858064268,34
"AAAA00024","A",7.6,92,0.000441509578838254,34
"AAAA00024","A",7.62,83,0.000398318424386686,34
"AAAA00024","A",7.64,355,0.00170365109225631,34
"AAAA00024","A",7.65,11,5.27891887741391e-05,34
"AAAA00024","A",7.66,8,3.8392137290283e-05,34
"AAAA00024","A",7.7,214,0.00102698967251507,34
"AAAA00024","A",7.71,131,0.000628671248128383,34
"AAAA00024","A",7.73,2,9.59803432257074e-06,34
"AAAA00024","A",7.75,427,0.00204918032786885,34
"AAAA00024","A",7.78,77,0.000369524321418973,34
"AAAA00024","A",7.83,10,4.79901716128537e-05,34
"AAAA00024","A",7.84,131,0.000628671248128383,34
"AAAA00024","A",7.87,13,6.23872230967098e-05,34
"AAAA00024","A",7.89,119,0.000571083042192959,34
"AAAA00024","A",7.9,498,0.00238991054632011,34
"AAAA00024","A",7.91,2,9.59803432257074e-06,34
"AAAA00024","A",7.92,231,0.00110857296425692,34
"AAAA00024","A",7.95,9,4.31911544515683e-05,34
"AAAA00024","A",7.96,48,0.000230352823741698,34
"AAAA00024","A",7.97,37,0.000177563634967559,34
"AAAA00024","A",8,379,0.00181882750412715,34
"AAAA00024","A",8.03,22,0.000105578377548278,34
"AAAA00024","A",8.04,108,0.00051829385341882,34
"AAAA00024","A",8.05,138,0.000662264368257381,34
"AAAA00024","A",8.07,115,0.000551886973547817,34
"AAAA00024","A",8.08,1016,0.00487580143586593,34
"AAAA00024","A",8.1,1028,0.00493338964180136,34
"AAAA00024","A",8.11,26,0.00012477444619342,34
"AAAA00024","A",8.12,157,0.000753445694321803,34
"AAAA00024","A",8.13,39,0.000187161669290129,34
"AAAA00024","A",8.15,244,0.00117096018735363,34
"AAAA00024","A",8.16,307,0.00147329826851461,34
"AAAA00024","A",8.17,101,0.000484700733289822,34
"AAAA00024","A",8.18,85,0.000407916458709256,34
"AAAA00024","A",8.19,144,0.000691058471225093,34
"AAAA00024","A",8.2,65,0.000311936115483549,34
"AAAA00024","A",8.22,680,0.00326333166967405,34
"AAAA00024","A",8.23,150,0.000719852574192805,34
