Year,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,Education,Ethnicity
2001,M,us,YLL,crude rate,attributable,320.729418699333,253.639049134544,407.596836504191,wonder,666,"Black or African American, All Origins"
2001,A,us,Deaths,age-adjusted rate,attributable,174.993529500222,131.06080500116,228.050093857926,wonder,666,"White, Hispanic or Latino"
2001,A,us,YLL,crude rate,attributable,170.616545385391,132.929469976119,219.430070546849,wonder,666,"White, Hispanic or Latino"
2001,F,us,Deaths,age-adjusted rate,attributable,73.7956074175978,55.6308739420803,97.7451280069394,wonder,666,"White, Hispanic or Latino"
2001,F,us,YLL,crude rate,attributable,63.5460643462381,49.3290123565797,81.2887378791343,wonder,666,"White, Hispanic or Latino"
2001,M,us,Deaths,age-adjusted rate,attributable,100.799857787693,75.5175903776413,131.273069792213,wonder,666,"White, Hispanic or Latino"
2001,M,us,YLL,crude rate,attributable,106.78491148386,83.3384749887008,138.487713313365,wonder,666,"White, Hispanic or Latino"
2001,A,us,Deaths,age-adjusted rate,attributable,234.410389676135,177.563849546867,311.516231397716,wonder,666,"White, Not Hispanic or Latino"
2001,A,us,YLL,crude rate,attributable,516.274420054127,394.630713126317,685.715648576692,wonder,666,"White, Not Hispanic or Latino"
2001,F,us,Deaths,age-adjusted rate,attributable,99.3929979268126,75.1929848104428,131.426508973331,wonder,666,"White, Not Hispanic or Latino"
2001,F,us,YLL,crude rate,attributable,211.027998356793,162.686320856063,277.538003645341,wonder,666,"White, Not Hispanic or Latino"
2001,M,us,Deaths,age-adjusted rate,attributable,134.381415445301,101.03601045373,179.670044184597,wonder,666,"White, Not Hispanic or Latino"
2001,M,us,YLL,crude rate,attributable,304.067341067462,230.863025223804,406.982081197975,wonder,666,"White, Not Hispanic or Latino"
2002,A,us,Deaths,age-adjusted rate,attributable,140.205109629283,99.1662642841461,198.103190330724,wonder,666,"American Indian or Alaska Native, All Origins"
2002,A,us,YLL,crude rate,attributable,164.960486229118,120.399093454184,228.542117010498,wonder,666,"American Indian or Alaska Native, All Origins"
2002,F,us,Deaths,age-adjusted rate,attributable,62.9745257652666,44.4977412739122,88.7514878139406,wonder,666,"American Indian or Alaska Native, All Origins"
2002,F,us,YLL,crude rate,attributable,63.1446144189521,45.920646523259,87.8260906205257,wonder,666,"American Indian or Alaska Native, All Origins"
2002,M,us,Deaths,age-adjusted rate,attributable,77.1345972493433,54.5919285292773,109.020311374295,wonder,666,"American Indian or Alaska Native, All Origins"
2002,M,us,YLL,crude rate,attributable,101.965454282754,73.8279021995197,142.261660630957,wonder,666,"American Indian or Alaska Native, All Origins"
2002,A,us,Deaths,age-adjusted rate,attributable,139.862627446884,109.653013233022,177.266317645028,wonder,666,"Asian or Pacific Islander, All Origins"
2002,A,us,YLL,crude rate,attributable,191.586915402027,153.523031709338,242.638918160032,wonder,666,"Asian or Pacific Islander, All Origins"
2002,F,us,Deaths,age-adjusted rate,attributable,56.6085654524122,43.9371633304859,71.513322544694,wonder,666,"Asian or Pacific Islander, All Origins"
2002,F,us,YLL,crude rate,attributable,70.8749691187683,56.2140179688979,89.2517902599977,wonder,666,"Asian or Pacific Islander, All Origins"
2002,M,us,Deaths,age-adjusted rate,attributable,83.3981778662824,65.8631991146161,105.946644191863,wonder,666,"Asian or Pacific Islander, All Origins"
2002,M,us,YLL,crude rate,attributable,120.950364935366,97.2555806525272,153.741567037664,wonder,666,"Asian or Pacific Islander, All Origins"
2002,A,us,Deaths,age-adjusted rate,attributable,334.658949374586,259.572980634725,428.5625321137,wonder,666,"Black or African American, All Origins"
2002,A,us,YLL,crude rate,attributable,523.8889691401,414.071182510963,671.68990266941,wonder,666,"Black or African American, All Origins"
2002,F,us,Deaths,age-adjusted rate,attributable,150.102495434206,115.744411787089,190.633187503396,wonder,666,"Black or African American, All Origins"
2002,F,us,YLL,crude rate,attributable,221.906716636983,176.306212250044,281.538319974847,wonder,666,"Black or African American, All Origins"
2002,M,us,Deaths,age-adjusted rate,attributable,183.967785962923,143.248372371668,237.38356792783,wonder,666,"Black or African American, All Origins"
2002,M,us,YLL,crude rate,attributable,300.884968020498,234.576100796017,386.114943205936,wonder,666,"Black or African American, All Origins"
2002,A,us,Deaths,age-adjusted rate,attributable,169.170891446695,126.380180994035,221.278201840032,wonder,666,"White, Hispanic or Latino"
2002,A,us,YLL,crude rate,attributable,167.369312524931,129.89836841827,216.259692008967,wonder,666,"White, Hispanic or Latino"
2002,F,us,Deaths,age-adjusted rate,attributable,70.3818142300034,52.8135667447905,93.4827868605761,wonder,666,"White, Hispanic or Latino"
2002,F,us,YLL,crude rate,attributable,61.9693530409676,47.762776488252,79.6591430115091,wonder,666,"White, Hispanic or Latino"
2002,M,us,Deaths,age-adjusted rate,attributable,98.444528428336,73.7009269392505,128.553194373607,wonder,666,"White, Hispanic or Latino"
2002,M,us,YLL,crude rate,attributable,105.142569456473,81.578149067744,136.781746665013,wonder,666,"White, Hispanic or Latino"
2002,A,us,Deaths,age-adjusted rate,attributable,222.530783730069,166.879777696291,298.52608720273,wonder,666,"White, Not Hispanic or Latino"
2002,A,us,YLL,crude rate,attributable,496.486602907414,375.610907617334,665.622581022994,wonder,666,"White, Not Hispanic or Latino"
2002,F,us,Deaths,age-adjusted rate,attributable,94.3402300416813,70.7080823608532,126.005766750162,wonder,666,"White, Not Hispanic or Latino"
2002,F,us,YLL,crude rate,attributable,202.759312492243,154.772260281071,269.198034719314,wonder,666,"White, Not Hispanic or Latino"
2002,M,us,Deaths,age-adjusted rate,attributable,127.601393587392,94.9362704759854,172.183365988743,wonder,666,"White, Not Hispanic or Latino"
2002,M,us,YLL,crude rate,attributable,292.631138403102,219.839885285461,395.292679980276,wonder,666,"White, Not Hispanic or Latino"
2003,A,us,Deaths,age-adjusted rate,attributable,137.622536215339,95.8862532497688,196.654040022092,wonder,666,"American Indian or Alaska Native, All Origins"
2003,A,us,YLL,crude rate,attributable,172.433737072726,123.282814838554,242.328031659025,wonder,666,"American Indian or Alaska Native, All Origins"
2003,F,us,Deaths,age-adjusted rate,attributable,60.9512588060521,42.7199086156397,86.9450854449558,wonder,666,"American Indian or Alaska Native, All Origins"
2003,F,us,YLL,crude rate,attributable,67.7658013612761,48.3754731926841,94.9184831935676,wonder,666,"American Indian or Alaska Native, All Origins"
2003,M,us,Deaths,age-adjusted rate,attributable,76.5587566465721,53.5221399641302,109.580087982688,wonder,666,"American Indian or Alaska Native, All Origins"
2003,M,us,YLL,crude rate,attributable,104.822124047462,74.1310662491055,147.915879425874,wonder,666,"American Indian or Alaska Native, All Origins"
2003,A,us,Deaths,age-adjusted rate,attributable,125.578953192009,96.3707569701211,163.472532843564,wonder,666,"Asian or Pacific Islander, All Origins"
2003,A,us,YLL,crude rate,attributable,180.222514928125,141.719283229661,233.746455711588,wonder,666,"Asian or Pacific Islander, All Origins"
2003,F,us,Deaths,age-adjusted rate,attributable,50.5182416190205,38.3221065169165,65.6196297018272,wonder,666,"Asian or Pacific Islander, All Origins"
2003,F,us,YLL,crude rate,attributable,66.2448238614684,51.9198818967672,85.3229351423486,wonder,666,"Asian or Pacific Islander, All Origins"
2003,M,us,Deaths,age-adjusted rate,attributable,75.2438374498652,58.22691243196,98.0353884178518,wonder,666,"Asian or Pacific Islander, All Origins"
2003,M,us,YLL,crude rate,attributable,114.266015969736,89.1659887534908,148.109673688674,wonder,666,"Asian or Pacific Islander, All Origins"
2003,A,us,Deaths,age-adjusted rate,attributable,318.676365442929,246.064377159182,409.990138253788,wonder,666,"Black or African American, All Origins"
2003,A,us,YLL,crude rate,attributable,510.214267976598,401.154532245221,656.479459909291,wonder,666,"Black or African American, All Origins"
2003,F,us,Deaths,age-adjusted rate,attributable,141.080981094791,108.403163003242,180.157146163559,wonder,666,"Black or African American, All Origins"
2003,F,us,YLL,crude rate,attributable,213.964190968785,169.498165070291,272.673321056164,wonder,666,"Black or African American, All Origins"
2003,M,us,Deaths,age-adjusted rate,attributable,176.949345008868,137.027944914907,229.21567700181,wonder,666,"Black or African American, All Origins"
2003,M,us,YLL,crude rate,attributable,295.053282270927,229.064903552425,380.20914313559,wonder,666,"Black or African American, All Origins"
2003,A,us,Deaths,age-adjusted rate,attributable,154.926142862383,114.338670880712,204.70422110977,wonder,666,"White, Hispanic or Latino"
2003,A,us,YLL,crude rate,attributable,155.819632992508,119.573845242689,203.204721008447,wonder,666,"White, Hispanic or Latino"
2003,F,us,Deaths,age-adjusted rate,attributable,65.0041371453951,48.2085167308704,87.1119173792283,wonder,666,"White, Hispanic or Latino"
2003,F,us,YLL,crude rate,attributable,57.7411593551962,44.0904108180107,74.8611115372405,wonder,666,"White, Hispanic or Latino"
2003,M,us,Deaths,age-adjusted rate,attributable,89.5807367067616,66.1821536496253,118.578742418088,wonder,666,"White, Hispanic or Latino"
2003,M,us,YLL,crude rate,attributable,97.8233870811687,75.2506980433675,128.719026483631,wonder,666,"White, Hispanic or Latino"
2003,A,us,Deaths,age-adjusted rate,attributable,208.820133928834,155.152159657519,282.809768733384,wonder,666,"White, Not Hispanic or Latino"
2003,A,us,YLL,crude rate,attributable,472.998982350444,354.563909234165,639.967101889684,wonder,666,"White, Not Hispanic or Latino"
2003,F,us,Deaths,age-adjusted rate,attributable,88.7240269954127,65.871126688806,119.754059324792,wonder,666,"White, Not Hispanic or Latino"
2003,F,us,YLL,crude rate,attributable,193.3264806317,146.303364158529,259.044156403433,wonder,666,"White, Not Hispanic or Latino"
2003,M,us,Deaths,age-adjusted rate,attributable,119.564079576812,88.0800705453409,162.894697225627,wonder,666,"White, Not Hispanic or Latino"
2003,M,us,YLL,crude rate,attributable,278.678649989798,207.359878010316,379.88124557655,wonder,666,"White, Not Hispanic or Latino"
2004,A,us,Deaths,age-adjusted rate,attributable,124.190079109478,85.2715162987361,180.346404298332,wonder,666,"American Indian or Alaska Native, All Origins"
2004,A,us,YLL,crude rate,attributable,151.866623827225,106.061785827737,217.675524175234,wonder,666,"American Indian or Alaska Native, All Origins"
2004,F,us,Deaths,age-adjusted rate,attributable,55.1818636987207,38.0580982677273,79.8217288116772,wonder,666,"American Indian or Alaska Native, All Origins"
2004,F,us,YLL,crude rate,attributable,61.6944761781617,43.5940050006558,88.5874820408357,wonder,666,"American Indian or Alaska Native, All Origins"
2004,M,us,Deaths,age-adjusted rate,attributable,68.9556925980176,46.9844857266744,100.122259870986,wonder,666,"American Indian or Alaska Native, All Origins"
2004,M,us,YLL,crude rate,attributable,90.3345366795909,62.5902819466964,129.547741294838,wonder,666,"American Indian or Alaska Native, All Origins"
