Year,Gender.Code,nation,source,measure1,measure2,overall_value,Education,Ethnicity
2000,M,us,nvss,Deaths,age-adjusted rate,4512.81685149073,666,"White, Not Hispanic or Latino"
2000,M,us,nvss,YLL,crude rate,10902.3078175526,666,"White, Not Hispanic or Latino"
2000,M,us,wonder,Deaths,age-adjusted rate,4511.33403001026,666,"White, Not Hispanic or Latino"
2000,M,us,wonder,YLL,crude rate,11228.7456356616,666,"White, Not Hispanic or Latino"
2001,A,us,nvss,Deaths,age-adjusted rate,7624.23217671984,666,"American Indian or Alaska Native, All Origins"
2001,A,us,nvss,YLL,crude rate,12081.7794567209,666,"American Indian or Alaska Native, All Origins"
2001,A,us,wonder,Deaths,age-adjusted rate,7619.43824416921,666,"American Indian or Alaska Native, All Origins"
2001,A,us,wonder,YLL,crude rate,13135.4039036506,666,"American Indian or Alaska Native, All Origins"
2001,F,us,nvss,Deaths,age-adjusted rate,3645.73478574125,666,"American Indian or Alaska Native, All Origins"
2001,F,us,nvss,YLL,crude rate,4936.68502711691,666,"American Indian or Alaska Native, All Origins"
2001,F,us,wonder,Deaths,age-adjusted rate,3646.9873465302,666,"American Indian or Alaska Native, All Origins"
2001,F,us,wonder,YLL,crude rate,5398.77311217606,666,"American Indian or Alaska Native, All Origins"
2001,M,us,nvss,Deaths,age-adjusted rate,3978.49739097859,666,"American Indian or Alaska Native, All Origins"
2001,M,us,nvss,YLL,crude rate,7145.09442960396,666,"American Indian or Alaska Native, All Origins"
2001,M,us,wonder,Deaths,age-adjusted rate,3972.45089763902,666,"American Indian or Alaska Native, All Origins"
2001,M,us,wonder,YLL,crude rate,7736.63079147451,666,"American Indian or Alaska Native, All Origins"
2001,A,us,nvss,Deaths,age-adjusted rate,4878.12645864661,666,"Asian or Pacific Islander, All Origins"
2001,A,us,nvss,YLL,crude rate,7398.60978218478,666,"Asian or Pacific Islander, All Origins"
2001,A,us,wonder,Deaths,age-adjusted rate,4844.93530018133,666,"Asian or Pacific Islander, All Origins"
2001,A,us,wonder,YLL,crude rate,7828.15388193069,666,"Asian or Pacific Islander, All Origins"
2001,F,us,nvss,Deaths,age-adjusted rate,2248.20884549427,666,"Asian or Pacific Islander, All Origins"
2001,F,us,nvss,YLL,crude rate,3172.67535741226,666,"Asian or Pacific Islander, All Origins"
2001,F,us,wonder,Deaths,age-adjusted rate,2237.35078634942,666,"Asian or Pacific Islander, All Origins"
2001,F,us,wonder,YLL,crude rate,3379.8506122206,666,"Asian or Pacific Islander, All Origins"
2001,M,us,nvss,Deaths,age-adjusted rate,2629.91761315234,666,"Asian or Pacific Islander, All Origins"
2001,M,us,nvss,YLL,crude rate,4225.93442477252,666,"Asian or Pacific Islander, All Origins"
2001,M,us,wonder,Deaths,age-adjusted rate,2607.58451383191,666,"Asian or Pacific Islander, All Origins"
2001,M,us,wonder,YLL,crude rate,4448.30326971009,666,"Asian or Pacific Islander, All Origins"
2001,A,us,nvss,Deaths,age-adjusted rate,11690.7208074688,666,"Black or African American, All Origins"
2001,A,us,nvss,YLL,crude rate,20912.3475104891,666,"Black or African American, All Origins"
2001,A,us,wonder,Deaths,age-adjusted rate,11698.5497357707,666,"Black or African American, All Origins"
2001,A,us,wonder,YLL,crude rate,22915.9544021372,666,"Black or African American, All Origins"
2001,F,us,nvss,Deaths,age-adjusted rate,5623.46467964642,666,"Black or African American, All Origins"
2001,F,us,nvss,YLL,crude rate,9083.52553004161,666,"Black or African American, All Origins"
2001,F,us,wonder,Deaths,age-adjusted rate,5625.52656301958,666,"Black or African American, All Origins"
2001,F,us,wonder,YLL,crude rate,9961.34076871961,666,"Black or African American, All Origins"
2001,M,us,nvss,Deaths,age-adjusted rate,6067.25612782233,666,"Black or African American, All Origins"
2001,M,us,nvss,YLL,crude rate,11828.8219804475,666,"Black or African American, All Origins"
2001,M,us,wonder,Deaths,age-adjusted rate,6073.02317275113,666,"Black or African American, All Origins"
2001,M,us,wonder,YLL,crude rate,12954.6136334176,666,"Black or African American, All Origins"
2001,A,us,nvss,Deaths,age-adjusted rate,6966.3780103996,666,"White, Hispanic or Latino"
2001,A,us,nvss,YLL,crude rate,9312.85815061048,666,"White, Hispanic or Latino"
2001,A,us,wonder,Deaths,age-adjusted rate,6906.42340918304,666,"White, Hispanic or Latino"
2001,A,us,wonder,YLL,crude rate,10317.7779458057,666,"White, Hispanic or Latino"
2001,F,us,nvss,Deaths,age-adjusted rate,3143.55446419223,666,"White, Hispanic or Latino"
2001,F,us,nvss,YLL,crude rate,3430.95993242436,666,"White, Hispanic or Latino"
2001,F,us,wonder,Deaths,age-adjusted rate,3117.64300216391,666,"White, Hispanic or Latino"
2001,F,us,wonder,YLL,crude rate,3892.8129618226,666,"White, Hispanic or Latino"
2001,M,us,nvss,Deaths,age-adjusted rate,3822.82354620737,666,"White, Hispanic or Latino"
2001,M,us,nvss,YLL,crude rate,5881.89821818612,666,"White, Hispanic or Latino"
2001,M,us,wonder,Deaths,age-adjusted rate,3788.78040701913,666,"White, Hispanic or Latino"
2001,M,us,wonder,YLL,crude rate,6424.96498398311,666,"White, Hispanic or Latino"
2001,A,us,nvss,Deaths,age-adjusted rate,8285.86334692859,666,"White, Not Hispanic or Latino"
2001,A,us,nvss,YLL,crude rate,19934.303401468,666,"White, Not Hispanic or Latino"
2001,A,us,wonder,Deaths,age-adjusted rate,8285.90229865739,666,"White, Not Hispanic or Latino"
2001,A,us,wonder,YLL,crude rate,20508.4393699346,666,"White, Not Hispanic or Latino"
2001,F,us,nvss,Deaths,age-adjusted rate,3825.61732499693,666,"White, Not Hispanic or Latino"
2001,F,us,nvss,YLL,crude rate,8997.47747699958,666,"White, Not Hispanic or Latino"
2001,F,us,wonder,Deaths,age-adjusted rate,3826.49015483029,666,"White, Not Hispanic or Latino"
2001,F,us,wonder,YLL,crude rate,9250.6336700107,666,"White, Not Hispanic or Latino"
2001,M,us,nvss,Deaths,age-adjusted rate,4460.24602193166,666,"White, Not Hispanic or Latino"
2001,M,us,nvss,YLL,crude rate,10936.8259244685,666,"White, Not Hispanic or Latino"
2001,M,us,wonder,Deaths,age-adjusted rate,4459.4121438271,666,"White, Not Hispanic or Latino"
2001,M,us,wonder,YLL,crude rate,11257.8056999239,666,"White, Not Hispanic or Latino"
2002,A,us,nvss,Deaths,age-adjusted rate,7557.71809619142,666,"American Indian or Alaska Native, All Origins"
2002,A,us,nvss,YLL,crude rate,12135.4623656684,666,"American Indian or Alaska Native, All Origins"
2002,A,us,wonder,Deaths,age-adjusted rate,7560.25143359075,666,"American Indian or Alaska Native, All Origins"
2002,A,us,wonder,YLL,crude rate,13070.032439803,666,"American Indian or Alaska Native, All Origins"
2002,F,us,nvss,Deaths,age-adjusted rate,3587.08768412434,666,"American Indian or Alaska Native, All Origins"
2002,F,us,nvss,YLL,crude rate,4920.46699764085,666,"American Indian or Alaska Native, All Origins"
2002,F,us,wonder,Deaths,age-adjusted rate,3587.99611811745,666,"American Indian or Alaska Native, All Origins"
2002,F,us,wonder,YLL,crude rate,5338.7667519334,666,"American Indian or Alaska Native, All Origins"
2002,M,us,nvss,Deaths,age-adjusted rate,3970.63041206708,666,"American Indian or Alaska Native, All Origins"
2002,M,us,nvss,YLL,crude rate,7214.99536802754,666,"American Indian or Alaska Native, All Origins"
2002,M,us,wonder,Deaths,age-adjusted rate,3972.25531547329,666,"American Indian or Alaska Native, All Origins"
