Year,Gender,Gender.Code,Race,Hispanic.Origin,label_cause,Nation,min_age,max_age,Deaths,YLL,attrDeaths,attrYLL
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,50,54,10,285,1.60598860141458,45.7706751403155
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,55,59,14,343,1.95712619600413,47.9495918021011
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,62,64,26,494,3.28254410491267,62.3683379933407
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,65,66,34,577,3.80338711109208,64.5457165617686
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,67,69,46,669,5.09601386328008,74.1137668377037
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,70,74,81,844.5,7.76026102461456,80.9079066084814
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,75,79,92,519,7.48815094611886,42.2429384895183
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,80,84,103,83.5,7.21509336981444,5.84912909106316
2001,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,85,150,134,0,5.68307116620954,0
2001,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,75,79,11,82.5,1.03212626465516,7.74094698491369
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,58,58,13,318.5,1.72098776386854,42.1642002147793
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,63,63,12,234,1.43252406818515,27.9342193296105
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,64,64,13,240.5,1.54114974384545,28.5112702611409
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,65,65,16,280,1.90841967571342,33.3973443249849
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,66,66,16,264,1.67486847667139,27.635329865078
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,67,67,15,232.5,1.58629379867388,24.5875538794451
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,68,68,18,261,1.87444254017151,27.1794168324869
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,69,69,13,175.5,1.34989737911523,18.2236146180556
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,70,70,16,200,1.67869681208539,20.9837101510674
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,71,71,16,184,1.45029937201369,16.6784427781574
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,72,72,11,115.5,0.992220241410337,10.4183125348085
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,73,73,19,180.5,1.68402388055357,15.9982268652589
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,74,74,17,144.5,1.5408100617708,13.0968855250518
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,75,75,17,127.5,1.52832443541402,11.4624332656051
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,76,76,21,136.5,1.6156042167916,10.5014274091454
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,77,77,21,115.5,1.5939261693713,8.76659393154216
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,78,78,17,76.5,1.2922600012897,5.81517000580365
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,79,79,13,45.5,0.988074924079841,3.45826223427944
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,80,80,18,45,1.37753453186526,3.44383632966314
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,81,81,16,24,1.06853974034378,1.60280961051568
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,82,82,19,9.5,1.22643782901108,0.61321891450554
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,83,83,25,0,1.6778124320952,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,84,84,23,0,1.52749010767492,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,85,85,17,0,1.12426333255563,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,86,86,17,0,0.913114110837491,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,87,87,14,0,0.737951919488701,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,88,88,18,0,0.989235984779118,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,89,89,16,0,0.83761474690635,0
2001,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,90,90,12,0,0.637277308174876,0
