Year,Gender,Gender.Code,Race,Hispanic.Origin,label_cause,Nation,min_age,max_age,Deaths,YLL,attrDeaths,attrYLL
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,50,54,10,285,1.51633023498484,43.2154116970679
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,55,59,27,664.5,3.55064046880804,87.3852070934424
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,60,61,22,483,2.60529912000085,57.198157952746
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,62,64,44,867,5.1800765460561,102.071053759787
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,65,66,24,407,2.51592113261093,42.6658292071937
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,67,69,50,714,5.2321956776554,74.7157542769191
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,70,74,86,900,7.82880944618791,81.9294011810363
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,75,79,103,567.5,8.00071780327342,44.0816247898803
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,80,84,132,112.5,8.68989132405418,7.40615737845527
2006,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,85,150,178,0,7.01561573777018,0
2006,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,67,69,10,155,0.877048731431685,13.5942553371911
2006,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,70,74,22,199,1.94046887415453,17.5524229980342
2006,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,75,79,24,123,2.12588015894944,10.8951358146159
2006,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,80,84,10,15,0.891475021616059,1.33721253242409
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,54,54,10,285,1.46440786021627,41.7356240161637
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,57,57,15,382.5,1.9104704771643,48.7169971676897
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,59,59,11,258.5,1.39048466649239,32.6763896625713
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,60,60,10,225,1.2676034539971,28.5210777149348
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,61,61,11,236.5,1.26240599340308,27.1417288581663
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,62,62,19,389.5,2.18122198487376,44.7150506899121
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,63,63,13,253.5,1.47472565384667,28.75715025001
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,64,64,10,185,1.13768424086198,21.0471584559466
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,65,65,11,192.5,1.25373416067145,21.9403478117504
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,66,66,11,181.5,1.11063385279064,18.3254585710455
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,67,67,13,201.5,1.32400771775368,20.5221196251821
2006,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,68,68,13,188.5,1.31288268448524,19.036798925036
