Year,Gender,Gender.Code,Race,Hispanic.Origin,label_cause,Nation,min_age,max_age,Deaths,YLL,attrDeaths,attrYLL
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,55,59,15,352.5,2.02009492384898,47.4722307104509
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,60,61,26,574,3.14882522936556,69.5163723713781
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,62,64,15,292.5,1.80424550293191,35.1827873071723
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,65,66,24,408,2.57533290396139,43.7806593673437
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,67,69,30,453,3.21713509400466,48.5787399194704
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,70,74,79,825.5,7.3849603814318,77.1681619604045
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,75,79,92,489,7.35437414576238,39.0900973617152
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,80,84,110,103,7.44465205480505,6.97090146949928
2007,Female,F,American Indian or Alaska Native,All Origins,cvd_ihd,us,85,150,149,0,6.02685222916094,0
2007,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,75,79,22,154,2.01078895351915,14.0755226746341
2007,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,80,84,37,34,3.39938416283574,3.12375841990312
2007,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,85,150,10,0,0.906363059050473,0
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,59,59,15,352.5,1.94577992723223,45.7258282899574
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,60,60,13,292.5,1.68896661232413,38.001748777293
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,61,61,11,236.5,1.29345918949448,27.8093725741314
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,63,63,15,292.5,1.74074188119422,33.9444666832872
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,65,65,12,210,1.40292803075251,24.551240538169
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,66,66,11,181.5,1.1395063869359,18.8018553844423
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,67,67,17,263.5,1.77861305910543,27.5685024161342
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,68,68,12,174,1.24356411099919,18.0316796094883
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,70,70,13,162.5,1.3520680815617,16.9008510195213
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,71,71,16,184,1.44916080407304,16.66534924684
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,72,72,16,168,1.44891247951526,15.2135810349103
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,73,73,17,161.5,1.55222782591786,14.7461643462197
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,74,74,14,119,1.27481818888631,10.8359546055337
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,75,75,13,97.5,1.18228576430531,8.8671432322898
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,76,76,19,123.5,1.48345339713583,9.64244708138288
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,77,77,17,93.5,1.32609805314912,7.29353929232018
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,78,78,16,72,1.2410043784137,5.58451970286163
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,79,79,24,84,1.85460858404948,6.49113004417318
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,80,80,24,60,1.86528625799624,4.66321564499059
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,81,81,21,31.5,1.38919273588776,2.08378910383164
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,82,82,23,11.5,1.50562274280134,0.752811371400668
2007,Female,F,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,us,83,83,22,0,1.45653561955515,0
