"nation","rural_urban_class","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
"us","666",691069,"A","Asian or Pacific Islander","All Origins",666,1990,25,29,"Census"
"us","1",529943,"A","Asian or Pacific Islander","All Origins",666,1990,25,29,"Census"
"us","2",141196,"A","Asian or Pacific Islander","All Origins",666,1990,25,29,"Census"
"us","3",19930,"A","Asian or Pacific Islander","All Origins",666,1990,25,29,"Census"
"us","666",726183,"A","Asian or Pacific Islander","All Origins",666,1990,30,34,"Census"
"us","1",565274,"A","Asian or Pacific Islander","All Origins",666,1990,30,34,"Census"
"us","2",140050,"A","Asian or Pacific Islander","All Origins",666,1990,30,34,"Census"
"us","3",20859,"A","Asian or Pacific Islander","All Origins",666,1990,30,34,"Census"
"us","666",669818,"A","Asian or Pacific Islander","All Origins",666,1990,35,39,"Census"
"us","1",520916,"A","Asian or Pacific Islander","All Origins",666,1990,35,39,"Census"
"us","2",128471,"A","Asian or Pacific Islander","All Origins",666,1990,35,39,"Census"
"us","3",20431,"A","Asian or Pacific Islander","All Origins",666,1990,35,39,"Census"
"us","666",572194,"A","Asian or Pacific Islander","All Origins",666,1990,40,44,"Census"
"us","1",445878,"A","Asian or Pacific Islander","All Origins",666,1990,40,44,"Census"
"us","2",108937,"A","Asian or Pacific Islander","All Origins",666,1990,40,44,"Census"
"us","3",17379,"A","Asian or Pacific Islander","All Origins",666,1990,40,44,"Census"
"us","666",405590,"A","Asian or Pacific Islander","All Origins",666,1990,45,49,"Census"
"us","1",313156,"A","Asian or Pacific Islander","All Origins",666,1990,45,49,"Census"
"us","2",79444,"A","Asian or Pacific Islander","All Origins",666,1990,45,49,"Census"
"us","3",12990,"A","Asian or Pacific Islander","All Origins",666,1990,45,49,"Census"
"us","666",311651,"A","Asian or Pacific Islander","All Origins",666,1990,50,54,"Census"
"us","1",240768,"A","Asian or Pacific Islander","All Origins",666,1990,50,54,"Census"
"us","2",60998,"A","Asian or Pacific Islander","All Origins",666,1990,50,54,"Census"
"us","3",9885,"A","Asian or Pacific Islander","All Origins",666,1990,50,54,"Census"
"us","666",250633,"A","Asian or Pacific Islander","All Origins",666,1990,55,59,"Census"
"us","1",186590,"A","Asian or Pacific Islander","All Origins",666,1990,55,59,"Census"
"us","2",55129,"A","Asian or Pacific Islander","All Origins",666,1990,55,59,"Census"
"us","3",8914,"A","Asian or Pacific Islander","All Origins",666,1990,55,59,"Census"
"us","666",218517,"A","Asian or Pacific Islander","All Origins",666,1990,60,64,"Census"
"us","1",157659,"A","Asian or Pacific Islander","All Origins",666,1990,60,64,"Census"
"us","2",52413,"A","Asian or Pacific Islander","All Origins",666,1990,60,64,"Census"
"us","3",8445,"A","Asian or Pacific Islander","All Origins",666,1990,60,64,"Census"
"us","666",178497,"A","Asian or Pacific Islander","All Origins",666,1990,65,69,"Census"
"us","1",127483,"A","Asian or Pacific Islander","All Origins",666,1990,65,69,"Census"
"us","2",43909,"A","Asian or Pacific Islander","All Origins",666,1990,65,69,"Census"
"us","3",7105,"A","Asian or Pacific Islander","All Origins",666,1990,65,69,"Census"
"us","666",122234,"A","Asian or Pacific Islander","All Origins",666,1990,70,74,"Census"
"us","1",86900,"A","Asian or Pacific Islander","All Origins",666,1990,70,74,"Census"
"us","2",30260,"A","Asian or Pacific Islander","All Origins",666,1990,70,74,"Census"
"us","3",5074,"A","Asian or Pacific Islander","All Origins",666,1990,70,74,"Census"
"us","666",80139,"A","Asian or Pacific Islander","All Origins",666,1990,75,79,"Census"
"us","1",56316,"A","Asian or Pacific Islander","All Origins",666,1990,75,79,"Census"
"us","2",20247,"A","Asian or Pacific Islander","All Origins",666,1990,75,79,"Census"
"us","3",3576,"A","Asian or Pacific Islander","All Origins",666,1990,75,79,"Census"
"us","666",43850,"A","Asian or Pacific Islander","All Origins",666,1990,80,84,"Census"
"us","1",30095,"A","Asian or Pacific Islander","All Origins",666,1990,80,84,"Census"
"us","2",11529,"A","Asian or Pacific Islander","All Origins",666,1990,80,84,"Census"
"us","3",2226,"A","Asian or Pacific Islander","All Origins",666,1990,80,84,"Census"
"us","666",29738,"A","Asian or Pacific Islander","All Origins",666,1990,85,150,"Census"
"us","1",19049,"A","Asian or Pacific Islander","All Origins",666,1990,85,150,"Census"
"us","2",8945,"A","Asian or Pacific Islander","All Origins",666,1990,85,150,"Census"
"us","3",1744,"A","Asian or Pacific Islander","All Origins",666,1990,85,150,"Census"
"us","666",2707765,"A","Black or African American","All Origins",666,1990,25,29,"Census"
"us","1",1849465,"A","Black or African American","All Origins",666,1990,25,29,"Census"
"us","2",619389,"A","Black or African American","All Origins",666,1990,25,29,"Census"
"us","3",238911,"A","Black or African American","All Origins",666,1990,25,29,"Census"
"us","666",2681724,"A","Black or African American","All Origins",666,1990,30,34,"Census"
"us","1",1834708,"A","Black or African American","All Origins",666,1990,30,34,"Census"
"us","2",607284,"A","Black or African American","All Origins",666,1990,30,34,"Census"
"us","3",239732,"A","Black or African American","All Origins",666,1990,30,34,"Census"
"us","666",2336766,"A","Black or African American","All Origins",666,1990,35,39,"Census"
"us","1",1595428,"A","Black or African American","All Origins",666,1990,35,39,"Census"
"us","2",528113,"A","Black or African American","All Origins",666,1990,35,39,"Census"
"us","3",213225,"A","Black or African American","All Origins",666,1990,35,39,"Census"
"us","666",1876062,"A","Black or African American","All Origins",666,1990,40,44,"Census"
"us","1",1301818,"A","Black or African American","All Origins",666,1990,40,44,"Census"
"us","2",410749,"A","Black or African American","All Origins",666,1990,40,44,"Census"
"us","3",163495,"A","Black or African American","All Origins",666,1990,40,44,"Census"
"us","666",1405766,"A","Black or African American","All Origins",666,1990,45,49,"Census"
"us","1",984316,"A","Black or African American","All Origins",666,1990,45,49,"Census"
"us","2",299196,"A","Black or African American","All Origins",666,1990,45,49,"Census"
"us","3",122254,"A","Black or African American","All Origins",666,1990,45,49,"Census"
"us","666",1179011,"A","Black or African American","All Origins",666,1990,50,54,"Census"
"us","1",820975,"A","Black or African American","All Origins",666,1990,50,54,"Census"
"us","2",251399,"A","Black or African American","All Origins",666,1990,50,54,"Census"
"us","3",106637,"A","Black or African American","All Origins",666,1990,50,54,"Census"
"us","666",1032749,"A","Black or African American","All Origins",666,1990,55,59,"Census"
"us","1",705708,"A","Black or African American","All Origins",666,1990,55,59,"Census"
"us","2",226123,"A","Black or African American","All Origins",666,1990,55,59,"Census"
"us","3",100918,"A","Black or African American","All Origins",666,1990,55,59,"Census"
"us","666",961619,"A","Black or African American","All Origins",666,1990,60,64,"Census"
"us","1",646022,"A","Black or African American","All Origins",666,1990,60,64,"Census"
"us","2",213344,"A","Black or African American","All Origins",666,1990,60,64,"Census"
"us","3",102253,"A","Black or African American","All Origins",666,1990,60,64,"Census"
"us","666",863045,"A","Black or African American","All Origins",666,1990,65,69,"Census"
"us","1",567198,"A","Black or African American","All Origins",666,1990,65,69,"Census"
"us","2",195118,"A","Black or African American","All Origins",666,1990,65,69,"Census"
"us","3",100729,"A","Black or African American","All Origins",666,1990,65,69,"Census"
"us","666",640415,"A","Black or African American","All Origins",666,1990,70,74,"Census"
