"nation","rural_urban_class","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
"us","666",1179118.8,"A","Asian or Pacific Islander","All Origins",666,2006,25,29,"Census"
"us","1",929952.035470498,"A","Asian or Pacific Islander","All Origins",666,2006,25,29,"Census"
"us","2",218513.536980934,"A","Asian or Pacific Islander","All Origins",666,2006,25,29,"Census"
"us","3",30653.2275485684,"A","Asian or Pacific Islander","All Origins",666,2006,25,29,"Census"
"us","666",1163811.2,"A","Asian or Pacific Islander","All Origins",666,2006,30,34,"Census"
"us","1",930591.302558398,"A","Asian or Pacific Islander","All Origins",666,2006,30,34,"Census"
"us","2",204124.475923393,"A","Asian or Pacific Islander","All Origins",666,2006,30,34,"Census"
"us","3",29095.4215182093,"A","Asian or Pacific Islander","All Origins",666,2006,30,34,"Census"
"us","666",1178006.6,"A","Asian or Pacific Islander","All Origins",666,2006,35,39,"Census"
"us","1",942101.329737894,"A","Asian or Pacific Islander","All Origins",666,2006,35,39,"Census"
"us","2",205664.038502439,"A","Asian or Pacific Islander","All Origins",666,2006,35,39,"Census"
"us","3",30241.2317596668,"A","Asian or Pacific Islander","All Origins",666,2006,35,39,"Census"
"us","666",1065124.8,"A","Asian or Pacific Islander","All Origins",666,2006,40,44,"Census"
"us","1",845572.207078804,"A","Asian or Pacific Islander","All Origins",666,2006,40,44,"Census"
"us","2",190551.603442095,"A","Asian or Pacific Islander","All Origins",666,2006,40,44,"Census"
"us","3",29000.9894791013,"A","Asian or Pacific Islander","All Origins",666,2006,40,44,"Census"
"us","666",976403.8,"A","Asian or Pacific Islander","All Origins",666,2006,45,49,"Census"
"us","1",771610.390095558,"A","Asian or Pacific Islander","All Origins",666,2006,45,49,"Census"
"us","2",177150.80597334,"A","Asian or Pacific Islander","All Origins",666,2006,45,49,"Census"
"us","3",27642.603931102,"A","Asian or Pacific Islander","All Origins",666,2006,45,49,"Census"
"us","666",864784,"A","Asian or Pacific Islander","All Origins",666,2006,50,54,"Census"
"us","1",681355.428752219,"A","Asian or Pacific Islander","All Origins",666,2006,50,54,"Census"
"us","2",158326.551686848,"A","Asian or Pacific Islander","All Origins",666,2006,50,54,"Census"
"us","3",25102.0195609331,"A","Asian or Pacific Islander","All Origins",666,2006,50,54,"Census"
"us","666",699991.8,"A","Asian or Pacific Islander","All Origins",666,2006,55,59,"Census"
"us","1",547497.866127186,"A","Asian or Pacific Islander","All Origins",666,2006,55,59,"Census"
"us","2",131295.306067043,"A","Asian or Pacific Islander","All Origins",666,2006,55,59,"Census"
"us","3",21198.6278057708,"A","Asian or Pacific Islander","All Origins",666,2006,55,59,"Census"
"us","666",566208.2,"A","Asian or Pacific Islander","All Origins",666,2006,60,64,"Census"
"us","1",442344.694860843,"A","Asian or Pacific Islander","All Origins",666,2006,60,64,"Census"
"us","2",106880.303373737,"A","Asian or Pacific Islander","All Origins",666,2006,60,64,"Census"
"us","3",16983.2017654204,"A","Asian or Pacific Islander","All Origins",666,2006,60,64,"Census"
"us","666",404551.4,"A","Asian or Pacific Islander","All Origins",666,2006,65,69,"Census"
"us","1",313182.246703769,"A","Asian or Pacific Islander","All Origins",666,2006,65,69,"Census"
"us","2",79055.5384670275,"A","Asian or Pacific Islander","All Origins",666,2006,65,69,"Census"
"us","3",12313.614829203,"A","Asian or Pacific Islander","All Origins",666,2006,65,69,"Census"
"us","666",307688.2,"A","Asian or Pacific Islander","All Origins",666,2006,70,74,"Census"
"us","1",237838.608511629,"A","Asian or Pacific Islander","All Origins",666,2006,70,74,"Census"
"us","2",60770.1811450313,"A","Asian or Pacific Islander","All Origins",666,2006,70,74,"Census"
"us","3",9079.41034334008,"A","Asian or Pacific Islander","All Origins",666,2006,70,74,"Census"
"us","666",217775.4,"A","Asian or Pacific Islander","All Origins",666,2006,75,79,"Census"
"us","1",165386.118431076,"A","Asian or Pacific Islander","All Origins",666,2006,75,79,"Census"
"us","2",45539.47784081,"A","Asian or Pacific Islander","All Origins",666,2006,75,79,"Census"
"us","3",6849.80372811374,"A","Asian or Pacific Islander","All Origins",666,2006,75,79,"Census"
"us","666",139392.8,"A","Asian or Pacific Islander","All Origins",666,2006,80,84,"Census"
"us","1",103352.263892652,"A","Asian or Pacific Islander","All Origins",666,2006,80,84,"Census"
"us","2",31379.9334900269,"A","Asian or Pacific Islander","All Origins",666,2006,80,84,"Census"
"us","3",4660.60261732068,"A","Asian or Pacific Islander","All Origins",666,2006,80,84,"Census"
"us","666",109942,"A","Asian or Pacific Islander","All Origins",666,2006,85,150,"Census"
"us","1",79439.2659104348,"A","Asian or Pacific Islander","All Origins",666,2006,85,150,"Census"
"us","2",26306.730815544,"A","Asian or Pacific Islander","All Origins",666,2006,85,150,"Census"
"us","3",4196.0032740212,"A","Asian or Pacific Islander","All Origins",666,2006,85,150,"Census"
"us","666",2691339.6,"A","Black or African American","All Origins",666,2006,25,29,"Census"
