Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2014,us,All,All Origins,A,7,nvss,YLL,crude rate,286.020898269012,1222.90983823347,2492.752801835,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,Deaths,absolute number,3744.35752021271,15933.2732032943,32339.9705904429,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,Deaths,age-adjusted rate,3.85178174221126,16.3903928742965,33.2677922958705,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,Deaths,crude rate,61.0184897412307,259.650490705334,527.015957491299,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,YLL,absolute number,52708.4582120215,224289.016281984,455242.315735794,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,YLL,age-adjusted rate,98.3641452539752,418.56654747303,849.569932223488,EPA,attributable,25,150
2014,us,All,All Origins,F,1,nvss,YLL,crude rate,858.943223056229,3655.0401411176,7418.68222319772,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,Deaths,absolute number,3400.39077237249,14509.6317537891,29522.790774063,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,Deaths,age-adjusted rate,4.52893613215847,19.3251893423415,39.3210200854415,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,Deaths,crude rate,42.675013932073,182.096346770808,370.511976986038,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,YLL,absolute number,64256.0768983276,274183.785379287,557882.561511558,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,YLL,age-adjusted rate,149.714679656052,638.839773238818,1299.84918180672,EPA,attributable,25,150
2014,us,All,All Origins,F,2,nvss,YLL,crude rate,806.415838772341,3441.01535508103,7001.44415118368,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,Deaths,absolute number,13985.4098396742,59811.0325192022,121943.883294097,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,Deaths,age-adjusted rate,4.35586489722315,18.6286122468853,37.9803728858195,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,Deaths,crude rate,47.0310627271882,201.136502572028,410.080969392257,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,YLL,absolute number,246139.127000681,1052656.69709031,2146176.71710516,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,YLL,age-adjusted rate,130.91252540102,559.870136355883,1141.47400056525,EPA,attributable,25,150
2014,us,All,All Origins,F,3,nvss,YLL,crude rate,827.732962729828,3539.9436783472,7217.30524617612,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,Deaths,absolute number,3559.19748332305,15216.3219683277,31014.4184646565,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,Deaths,age-adjusted rate,1.98486095388426,8.48570035188566,17.2958394431232,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,Deaths,crude rate,15.268422914006,65.2757370437319,133.04719947942,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,YLL,absolute number,73349.0491973439,313582.697753383,639154.78600169,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,YLL,age-adjusted rate,60.513344301862,258.707344729212,527.30599852007,EPA,attributable,25,150
2014,us,All,All Origins,F,4,nvss,YLL,crude rate,314.656410253376,1345.22269984955,2741.87808513323,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,Deaths,absolute number,1986.85285014209,8500.59790928245,17337.9331882943,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,Deaths,age-adjusted rate,3.23373847779359,13.8353026705187,28.2186683691208,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,Deaths,crude rate,20.9601432415104,89.6763692410849,182.905122094169,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,YLL,absolute number,42151.6834057734,180342.752512462,367829.490045612,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,YLL,age-adjusted rate,86.7446944091052,371.130538370092,756.962809800696,EPA,attributable,25,150
2014,us,All,All Origins,F,5,nvss,YLL,crude rate,444.675770524538,1902.51126295494,3880.38741734516,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,Deaths,absolute number,2705.19549858175,11563.3467159001,23565.1882051618,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,Deaths,age-adjusted rate,2.00521763887987,8.57129431546174,17.4676214999204,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,Deaths,crude rate,13.5837478139869,58.0636725725843,118.329183209079,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,YLL,absolute number,52411.5655159605,224033.015100719,456561.60752829,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,YLL,age-adjusted rate,50.0590013770797,213.976989640255,436.068221107047,EPA,attributable,25,150
2014,us,All,All Origins,F,6,nvss,YLL,crude rate,263.177093440496,1124.94937269071,2292.55805780549,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,Deaths,absolute number,1287.64556412611,5505.20760375719,11221.2192417372,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,Deaths,age-adjusted rate,1.42030651761059,6.07238704365228,12.3772964149441,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,Deaths,crude rate,10.9847995590377,46.9644782251901,95.7273085176634,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,YLL,absolute number,25139.1284061992,107479.981067276,219075.55871836,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,YLL,age-adjusted rate,36.6704120705569,156.780900729269,319.565216541425,EPA,attributable,25,150
2014,us,All,All Origins,F,7,nvss,YLL,crude rate,214.459859393392,916.90297510905,1868.9157698754,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,Deaths,absolute number,3415.39424437907,14545.3925864385,29544.8196290587,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,Deaths,age-adjusted rate,5.29134577414126,22.534646394671,45.7727118177559,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,Deaths,crude rate,56.3852469698958,240.132030031435,487.759781819379,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,YLL,absolute number,62471.4248512959,266051.686827003,540408.177544782,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,YLL,age-adjusted rate,160.084344232414,681.763060775536,1384.80735673977,EPA,attributable,25,150
2014,us,All,All Origins,M,1,nvss,YLL,crude rate,1031.34996043246,4392.28651075542,8921.67825297529,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,Deaths,absolute number,3521.92830040079,15035.0299866578,30604.5120996077,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,Deaths,age-adjusted rate,6.5326097020196,27.8875588551361,56.7664403175732,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,Deaths,crude rate,41.7985305464324,178.436954577505,363.21683031098,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,YLL,absolute number,88100.6021179727,376099.421028984,765568.096089687,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,YLL,age-adjusted rate,233.295051609529,995.931148368068,2027.26478814175,EPA,attributable,25,150
2014,us,All,All Origins,M,2,nvss,YLL,crude rate,1045.58508711495,4463.57841429838,9085.8242191181,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,Deaths,absolute number,12449.93398028,53255.9692188933,108601.480191115,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,Deaths,age-adjusted rate,6.30281401761419,26.960983877195,54.9798041312036,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,Deaths,crude rate,43.3734221319617,185.534609069941,378.348821121955,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,YLL,absolute number,295838.212141722,1265480.66395752,2580613.5025755,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,YLL,age-adjusted rate,212.345193702211,908.330045564674,1852.29916753427,EPA,attributable,25,150
2014,us,All,All Origins,M,3,nvss,YLL,crude rate,1030.6492932663,4408.71631324346,8990.41223703983,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,Deaths,absolute number,3998.34126348238,17095.1291330933,34846.6849149403,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,Deaths,age-adjusted rate,2.95414923275075,12.6306283742068,25.7462534390372,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,Deaths,crude rate,19.1027420676871,81.6748298665385,166.485847499745,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,YLL,absolute number,97466.3574551587,416722.800038579,849447.114248761,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,YLL,age-adjusted rate,98.4848920128128,421.077600852767,858.323933526223,EPA,attributable,25,150
2014,us,All,All Origins,M,4,nvss,YLL,crude rate,465.661774233168,1990.96266133322,4058.37522470567,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,Deaths,absolute number,1668.6288987555,7139.2381213909,14561.6877050852,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,Deaths,age-adjusted rate,3.91314586527484,16.7424165773284,34.1489998627472,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,Deaths,crude rate,23.4988996260534,100.540174119111,205.068747174965,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,YLL,absolute number,41405.6364162207,177154.248115685,361336.152797659,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,YLL,age-adjusted rate,121.905306538379,521.572539159389,1063.8357065064,EPA,attributable,25,150
2014,us,All,All Origins,M,5,nvss,YLL,crude rate,583.105623319424,2494.82068655544,5088.61017101482,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,Deaths,absolute number,3531.58676408243,15095.5458583051,30763.2579120472,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,Deaths,age-adjusted rate,2.60237217494095,11.1236764467275,22.6689733960548,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,Deaths,crude rate,19.3302667160002,82.6260112401526,168.383794655964,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,YLL,absolute number,73197.0453142605,312876.173812748,637611.287454085,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,YLL,age-adjusted rate,71.3499484036414,304.980874056116,621.521432540189,EPA,attributable,25,150
2014,us,All,All Origins,M,6,nvss,YLL,crude rate,400.646650717479,1712.53895002447,3489.98823219398,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,Deaths,absolute number,2214.67622409278,9469.49949040572,19303.2746490005,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,Deaths,age-adjusted rate,1.8574635109596,7.94213148591706,16.1897833699089,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,Deaths,crude rate,19.5999245278673,83.8052412851724,170.834328804016,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,YLL,absolute number,40659.8260461328,173853.043544351,354393.920344089,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,YLL,age-adjusted rate,48.3633310668706,206.791644715317,421.538215098132,EPA,attributable,25,150
2014,us,All,All Origins,M,7,nvss,YLL,crude rate,359.840193862588,1538.60257103954,3136.39258701327,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,350.068085679311,1502.66884456172,3074.42942401196,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,128.064609354224,549.717916142313,1124.71150407554,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,13.5154795760714,58.0152573430461,118.698018437396,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,9983.74203827045,42855.2579534295,87680.9727588884,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,3308.5819766911,14202.1031320365,29057.2097172352,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,385.453764941659,1654.56203319102,3385.19975116619,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,160.585679725848,689.470592615086,1410.91383116295,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,108.030481622086,463.826166266078,949.161226380891,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,12.3206540292629,52.8984193949518,108.249883853513,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,4182.94320454557,17959.3618499288,36751.5486582484,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,2703.65435015176,11608.0722154545,23754.4426366368,EPA,attributable,25,150
2014,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,320.928965367556,1377.90047230282,2819.69797575303,EPA,attributable,25,150
