Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2008,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,all-cause,777.826499617922,1116.25987563308,1418.18628940829,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,all-cause,27001.3334048758,38763.4180043801,49251.6719551993,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,all-cause,918.430401672912,1318.50901709725,1675.25922437253,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,all-cause,65.7783633560008,94.4321584485982,119.982755117369,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,all-cause,792113.621102995,1137167.22583167,1444851.61650443,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,all-cause,24087.9111207979,34580.8761969968,43937.4559329467,EPA,attributable
2008,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,all-cause,1929.68016826686,2770.27055870447,3519.8252323632,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,all-cause,13322.8996538903,19123.4542718028,24297.2332873867,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,all-cause,741.85926170956,1064.85164911331,1352.94327934852,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,all-cause,62.1229586599688,89.1701949294583,113.294857596799,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,YLL,absolute number,all-cause,345116.10880791,495373.552057299,629395.01345658,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,all-cause,18766.0965653742,26936.5227428834,34224.0982059324,EPA,attributable
2008,us,Black or African American,All Origins,F,666,nvss,YLL,crude rate,all-cause,1609.23179768173,2309.86282980158,2934.78757759287,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,all-cause,13668.3864777241,19625.9663579326,24936.7199848894,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,all-cause,1163.11543984101,1670.07748353577,2121.99765354061,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,all-cause,69.7261961008817,100.117448476653,127.209062358083,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,YLL,absolute number,all-cause,446185.350250236,640662.208936283,814024.329695614,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,all-cause,30800.579787425,44225.4938941028,56192.8384731445,EPA,attributable
2008,us,Black or African American,All Origins,M,666,nvss,YLL,crude rate,all-cause,2276.11410312337,3268.19401013553,4152.56183571831,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,all-cause,11941.2994685846,17162.3144401148,21808.3880294363,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,all-cause,524.866169412536,754.349914943065,958.562769168132,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,all-cause,27.6530464727298,39.7436041228725,50.5027421228224,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,all-cause,367455.842857035,528116.117894941,671084.384558996,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,all-cause,12919.9906211671,18568.912218235,23595.7710921127,EPA,attributable
2008,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,all-cause,850.93532122983,1222.98411404612,1554.06266480081,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,all-cause,5342.88634579325,7678.99667227291,9757.81924338922,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,all-cause,413.87152835096,594.831685210342,755.861776250139,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,all-cause,25.2365419760366,36.2709047715835,46.0899968655067,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,all-cause,140627.327689733,202114.870403399,256830.47616345,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,all-cause,9560.31205412205,13740.4390994198,17460.1874149857,EPA,attributable
2008,us,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,all-cause,664.237872290523,954.667586169528,1213.11079310673,EPA,attributable
2008,us,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,all-cause,6598.32016339013,9483.16708447489,12050.3743771259,EPA,attributable
2008,us,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,all-cause,659.658308682868,948.067054189089,1204.72019904625,EPA,attributable
2008,us,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,all-cause,29.976896300555,43.0830740632147,54.7461799580775,EPA,attributable
2008,us,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,all-cause,226822.002871302,325990.691327511,414240.289025986,EPA,attributable
2008,us,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,all-cause,16654.3651642855,23935.8084524398,30415.5194463755,EPA,attributable
