Year,nation,source,Gender.Code,Race,Hispanic.Origin,Education,rural_urban_class,attr,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,absolute number,A,di_gee,25,150,42006.0140216152,40855.1643223928,43156.8637208375
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,absolute number,B,di_gee,25,150,40323.7810651967,39219.0199401228,41428.5421902705
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,absolute number,D,di_gee,25,150,36360.2231469277,35364.0526497516,37356.3936441038
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,25.2085965527709,24.5179500718731,25.8992430336687
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,24.1990570167343,23.5360691532621,24.8620448802065
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,21.8204516002868,21.2226310084981,22.4182721920755
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,crude rate,A,di_gee,25,150,39.3937092241955,38.314429519423,40.472988928968
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,crude rate,B,di_gee,25,150,37.816092364419,36.7800350393664,38.8521496894715
2009,us,nvss,A,All,All Origins,666,1,attributable,Deaths,crude rate,D,di_gee,25,150,34.0990234693507,33.1648036482726,35.0332432904288
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,absolute number,A,di_gee,25,150,873061.121091792,849141.638322153,896980.60386143
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,absolute number,B,di_gee,25,150,838097.265913518,815135.69698438,861058.834842655
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,absolute number,D,di_gee,25,150,755717.911427383,735013.311114304,776422.511740462
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,age-adjusted rate,A,di_gee,25,150,522.697449264718,508.37697120267,537.017927326765
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,age-adjusted rate,B,di_gee,25,150,501.764759128097,488.017779425958,515.511738830237
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,age-adjusted rate,D,di_gee,25,150,452.444640041671,440.048896478885,464.840383604456
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,crude rate,A,di_gee,25,150,818.766472856539,796.334514696086,841.198431016992
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,crude rate,B,di_gee,25,150,785.976978867867,764.443363008474,807.510594727261
2009,us,nvss,A,All,All Origins,666,1,attributable,YLL,crude rate,D,di_gee,25,150,708.72069992091,689.303694443625,728.137705398195
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,absolute number,A,di_gee,25,150,18306.066362543,17804.5302978158,18807.6024272702
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,absolute number,B,di_gee,25,150,18178.769042509,17680.7205755909,18676.817509427
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,absolute number,D,di_gee,25,150,17405.0787525617,16928.2272798888,17881.9302252346
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,19.7127653015285,19.1726895398428,20.2528410632142
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,19.5756860326322,19.0393658673546,20.1120061979098
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,18.7425428111584,18.229048487565,19.2560371347518
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,crude rate,A,di_gee,25,150,33.928780775449,32.9992251377655,34.8583364131326
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,crude rate,B,di_gee,25,150,33.6928457154968,32.7697540520585,34.615937378935
2009,us,nvss,A,All,All Origins,666,2,attributable,Deaths,crude rate,D,di_gee,25,150,32.2588747183509,31.3750699315467,33.142679505155
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,absolute number,A,di_gee,25,150,378129.173827075,367769.470434552,388488.877219598
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,absolute number,B,di_gee,25,150,375499.726872083,365212.063122163,385787.390622003
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,absolute number,D,di_gee,25,150,359518.41967359,349668.599956505,369368.239390675
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,age-adjusted rate,A,di_gee,25,150,418.4143447888,406.950938082258,429.877751495343
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,age-adjusted rate,B,di_gee,25,150,415.504761500913,404.121069404997,426.888453596828
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,age-adjusted rate,D,di_gee,25,150,397.820835892507,386.921634909151,408.720036875863
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,crude rate,A,di_gee,25,150,700.83116653786,681.630312660111,720.03202041561
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,crude rate,B,di_gee,25,150,695.957703963774,676.890369608602,715.025038318946
2009,us,nvss,A,All,All Origins,666,2,attributable,YLL,crude rate,D,di_gee,25,150,666.337672128193,648.081845494544,684.593498761842
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,absolute number,A,di_gee,25,150,7532.17660359167,7325.81560075355,7738.5376064298
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,absolute number,B,di_gee,25,150,7514.80141120749,7308.91644103743,7720.68638137756
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,absolute number,D,di_gee,25,150,7425.59093451657,7222.15008699556,7629.03178203757
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,16.165529033433,15.7226378270375,16.6084202398284
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,16.1282384610353,15.6863689141577,16.570108007913
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,15.9367752722479,15.5001512921863,16.3733992523095
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,crude rate,A,di_gee,25,150,30.1377827090074,29.3120900320482,30.9634753859665
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,crude rate,B,di_gee,25,150,30.0682610023134,29.2444730296473,30.8920489749796
2009,us,nvss,A,All,All Origins,666,3,attributable,Deaths,crude rate,D,di_gee,25,150,29.7113115966667,28.8973030597717,30.5253201335617
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,absolute number,A,di_gee,25,150,154407.056414842,150176.726102107,158637.386727578
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,absolute number,B,di_gee,25,150,154050.870885496,149830.299080414,158271.442690578
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,absolute number,D,di_gee,25,150,152222.086480647,148051.61835789,156392.554603405
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,age-adjusted rate,A,di_gee,25,150,350.60838785865,341.002678602249,360.214097115052
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,age-adjusted rate,B,di_gee,25,150,349.799605947238,340.216055099368,359.383156795107
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,age-adjusted rate,D,di_gee,25,150,345.64702920099,336.177247579045,355.116810822935
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,crude rate,A,di_gee,25,150,617.814286609924,600.887867798694,634.740705421155
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,crude rate,B,di_gee,25,150,616.389115287942,599.501742266355,633.27648830953
2009,us,nvss,A,All,All Origins,666,3,attributable,YLL,crude rate,D,di_gee,25,150,609.071773978041,592.384876060834,625.758671895247
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,absolute number,A,di_gee,25,150,69431.5636590354,67529.3290382399,71333.7982798309
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,absolute number,B,di_gee,25,150,67445.4245138585,65597.6046641638,69293.2443635533
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,absolute number,D,di_gee,25,150,62285.1167992402,60578.6752430966,63991.5583553837
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,21.3053877770436,20.7216785228781,21.8890970312092
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,20.6959320419696,20.1289202052033,21.2629438787359
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,19.1124683964046,18.5888391252702,19.636097667539
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,crude rate,A,di_gee,25,150,34.3538611539519,33.4126594785012,35.2950628294027
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,crude rate,B,di_gee,25,150,33.3711445790969,32.456866645423,34.2854225127708
2009,us,nvss,A,All,All Origins,666,666,attributable,Deaths,crude rate,D,di_gee,25,150,30.8178894686368,29.9735637297701,31.6622152075036
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,absolute number,A,di_gee,25,150,1437016.09579247,1397645.79179816,1476386.39978679
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,absolute number,B,di_gee,25,150,1395909.2307056,1357665.14219312,1434153.31921808
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,absolute number,D,di_gee,25,150,1289107.0091459,1253789.00889533,1324425.00939647
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,age-adjusted rate,A,di_gee,25,150,441.810491031191,429.706094016637,453.914888045744
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,age-adjusted rate,B,di_gee,25,150,429.172188438784,417.414046289776,440.930330587791
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,age-adjusted rate,D,di_gee,25,150,396.335853418826,385.477336886804,407.194369950849
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,crude rate,A,di_gee,25,150,711.017422469131,691.537493086415,730.497351851847
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,crude rate,B,di_gee,25,150,690.678264581176,671.75557240087,709.600956761483
2009,us,nvss,A,All,All Origins,666,666,attributable,YLL,crude rate,D,di_gee,25,150,637.833873686948,620.358973037991,655.308774335906
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,absolute number,A,di_gee,25,150,6628.82085349224,6447.20932325957,6810.4323837249
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,absolute number,B,di_gee,25,150,6365.54272237915,6191.14429162903,6539.94115312926
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,absolute number,D,di_gee,25,150,5757.2061934605,5599.47451692733,5914.93786999366
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,16.7796514928264,16.3199350135709,17.2393679720819
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,16.1132109020488,15.6717530691159,16.5546687349816
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,14.5733178846906,14.1740489015484,14.9725868678329
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,crude rate,A,di_gee,25,150,18.280863126859,17.7800175617396,18.7817086919784
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,crude rate,B,di_gee,25,150,17.5547986297866,17.0738452426692,18.0357520169041
2009,us,nvss,A,All,All Origins,higher,1,attributable,Deaths,crude rate,D,di_gee,25,150,15.8771372378105,15.4421471765006,16.3121272991204
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,absolute number,A,di_gee,25,150,137401.267932601,133636.849633078,141165.686232125
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,absolute number,B,di_gee,25,150,131944.075796415,128329.169610212,135558.981982618
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,absolute number,D,di_gee,25,150,119334.561638387,116065.1215935,122604.001683275
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,age-adjusted rate,A,di_gee,25,150,308.892643443454,300.429831294318,317.35545559259
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,age-adjusted rate,B,di_gee,25,150,296.624295923166,288.497602884175,304.750988962157
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,age-adjusted rate,D,di_gee,25,150,268.27676886307,260.926720401069,275.626817325073
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,crude rate,A,di_gee,25,150,378.92316417172,368.54170761907,389.30462072437
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,crude rate,B,di_gee,25,150,363.87340121938,353.904266939397,373.842535499363
2009,us,nvss,A,All,All Origins,higher,1,attributable,YLL,crude rate,D,di_gee,25,150,329.099071438291,320.082658522174,338.115484354409
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,absolute number,A,di_gee,25,150,2318.21726878405,2254.70446689955,2381.73007066854
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,absolute number,B,di_gee,25,150,2302.23406037192,2239.1591546083,2365.30896613553
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,absolute number,D,di_gee,25,150,2208.34126943176,2147.83876889939,2268.84376996414
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,12.6378737117878,12.2916305963964,12.9841168271793
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,age-adjusted rate,B,di_gee,25,150,12.550740477064,12.2068845735828,12.8945963805453
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,age-adjusted rate,D,di_gee,25,150,12.0388793800361,11.7090470682543,12.3687116918179
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,crude rate,A,di_gee,25,150,16.8351544686468,16.3739173599168,17.2963915773769
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,crude rate,B,di_gee,25,150,16.7190826119895,16.2610255541268,17.1771396698523
2009,us,nvss,A,All,All Origins,higher,2,attributable,Deaths,crude rate,D,di_gee,25,150,16.03722260678,15.5978466449504,16.4765985686096
2009,us,nvss,A,All,All Origins,higher,2,attributable,YLL,absolute number,A,di_gee,25,150,46324.9767622347,45055.7993166941,47594.1542077754
2009,us,nvss,A,All,All Origins,higher,2,attributable,YLL,absolute number,B,di_gee,25,150,46005.5840253037,44745.1570657063,47266.010984901
2009,us,nvss,A,All,All Origins,higher,2,attributable,YLL,absolute number,D,di_gee,25,150,44129.3227201131,42920.300179836,45338.3452603902
2009,us,nvss,A,All,All Origins,higher,2,attributable,YLL,age-adjusted rate,A,di_gee,25,150,235.702104625705,229.244512718152,242.159696533259
2009,us,nvss,A,All,All Origins,higher,2,attributable,YLL,age-adjusted rate,B,di_gee,25,150,234.077030085825,227.663960768406,240.490099403245
