Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2006,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,82.9392954632032,130.230217596888,166.537402099214,attributable,EPA
2006,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,987441.518116445,1550468.00253516,1982726.5740999,attributable,EPA
2006,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,31409.5226200573,49318.8294231317,63068.5402993511,attributable,EPA
2006,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,2477.45406638882,3890.06658846353,4974.58727774673,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,16214.113508004,25464.648803523,32564.1877661792,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,953.673862091347,1497.76735923721,1915.34459762537,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,77.8011007622477,122.188469105027,156.254589705851,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,YLL,absolute number,426624.131877955,670023.290759445,856825.649407161,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,24241.846436364,38072.3932607362,48686.9688412474,attributable,EPA
2006,us,Black or African American,All Origins,F,666,nvss,YLL,crude rate,2047.09477674856,3215.01077019693,4111.35512603249,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,16826.9653087296,26415.1729718293,33779.2999958888,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,1509.71191120326,2369.96395608996,3030.6719375861,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,88.4854853096258,138.905581432288,177.630232113513,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,YLL,absolute number,559567.885407235,878416.411475258,1123304.83378546,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,40438.9103310651,63481.4888833945,81179.110939941,attributable,EPA
2006,us,Black or African American,All Origins,M,666,nvss,YLL,crude rate,2942.5172629466,4619.19906811745,5906.95776359565,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,13252.7418770272,20740.7156150828,26520.0255116607,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,637.898283376886,998.319216478791,1276.496509626,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,32.6383023640074,51.0793731419757,65.3124175647892,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,421292.431935814,659328.205638255,843047.132923827,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,15875.2953235853,24845.0463056777,31768.0100384682,attributable,EPA
2006,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,1037.5415068654,1623.76612571337,2076.22147075647,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,5836.91096870079,9134.49337453998,11679.7720596771,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,501.05751947762,784.131643685239,1002.62581486461,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,29.4203471578352,46.0414708449338,58.8706852927326,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,158005.010709606,247270.470838152,316171.091056715,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,11669.8143179284,18262.7150115595,23351.5247950575,attributable,EPA
2006,us,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,796.407944661315,1246.34128102164,1593.62774420226,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,7416.30804734879,11607.057308866,14841.3232404807,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,804.247715935074,1258.70571580695,1609.4396620806,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,35.7151379873265,55.8967684144607,71.4722074736055,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,263320.27182166,412115.228508177,526949.695849479,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,20528.5028323699,32128.5884188313,41081.1072346489,attributable,EPA
2006,us,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,1268.08646336271,1984.64682951106,2537.66172865106,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,185919.379358186,290118.158517639,370936.234558041,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,730.983073463583,1140.66357102155,1458.41767400622,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,93.3328362249774,145.641356314191,186.212598973971,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,3851456.13669009,6010010.17669753,7684215.82430577,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,17900.492087246,27932.8481992521,35714.0883026871,attributable,EPA
2006,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,1933.45807238761,3017.06738409171,3857.530395826,attributable,EPA
2006,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,95457.0244330474,148964.817914153,190462.255493034,attributable,EPA
2006,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,596.265341831318,930.49787170688,1189.70858930525,attributable,EPA
