Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2013,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,A,32789.0595600431,139751.446161004,284048.313585615,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,B,32459.4914233904,138489.992163562,281737.806612088,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,D,31585.5414611558,135050.138961436,275262.517231876,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,19.2898713682625,82.2160640209252,167.10620874639,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,B,19.0959857537188,81.4739480324172,165.746932728327,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,D,18.5818391883703,79.4502752987362,161.937506630338,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,A,30.9763686230136,132.025510031945,268.345154952099,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,B,30.6650201359166,130.833793509725,266.162380676827,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,D,29.8393851054676,127.584107113475,260.045067357278,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,absolute number,A,667592.924556374,2845372.14258197,5783290.12561888,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,absolute number,B,660882.840182479,2819688.64404173,5736247.6630304,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,absolute number,D,643089.014466443,2749652.42799698,5604409.25617495,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,A,392.755088226837,1673.97578043624,3402.39768873858,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,B,388.807443362221,1658.86578695952,3374.72189131065,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,D,378.339064606352,1617.66241406577,3297.15934801286,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,crude rate,A,630.686112948912,2688.07027529634,5463.57014164909,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,crude rate,B,624.346984902965,2663.80664806866,5419.12834668371,EPA,attributable,25,150
2013,us,All,All Origins,A,666,1,nvss,YLL,crude rate,D,607.536862502709,2597.64227268636,5294.57841618183,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,A,18397.4757690191,78882.1788815439,161197.198209518,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,B,18333.9156032401,78642.9901371795,160765.954394779,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,D,18140.9765077688,77882.6952049324,159333.122835736,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,17.8135706366577,76.3785903632563,156.081068554637,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,B,17.7520277643094,76.1469930698709,155.663511697821,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,D,17.5652122332604,75.4108286280574,154.276155817704,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,A,31.407675284583,134.665531899978,275.191516581572,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,B,31.2991670809095,134.257195315707,274.455308752203,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,D,30.9697866519668,132.959240278161,272.009217293301,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,YLL,absolute number,A,374282.947975269,1604799.20317193,3279436.98954679,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,YLL,absolute number,B,372989.863721741,1599933.08623898,3270663.65518816,EPA,attributable,25,150
2013,us,All,All Origins,A,666,2,nvss,YLL,absolute number,D,369064.6614636,1584465.45186648,3241513.76383328,EPA,attributable,25,150
