Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,B,746.599955344571,548.295899479428,1014.32868446793,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,C,413.637597152055,231.479353223202,675.01761794067,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,13.1466086183368,10.516607478777,16.7213655805908,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,9.66060528577928,7.1189038809037,13.1923208726102,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,5.33781767623417,2.97804286021929,8.69180984890455,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,A,12.8508187176607,10.263838799907,16.3046675563095,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,B,9.50476015048955,6.98020536800557,12.9131414897819,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,C,5.26590729347235,2.94690043366205,8.59346496065594,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,25,150,A,24161.1278276311,19220.9822149226,30480.3960911644,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,25,150,B,18064.8102238122,13297.6682580304,24304.042720612,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,25,150,C,10053.6424457793,5631.88347814122,16356.5293201865,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,270.950259455823,216.110391510911,343.619228564785,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,201.281890235054,148.146250058968,272.109685731562,nvss,GBD
