Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,crude rate,25,110,B,di_coxme,1265.38809959517,785.413303197003,1771.54333943324,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,crude rate,25,110,C,di_gee,520.990787569539,312.594472541724,729.387102597354,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,crude rate,25,110,C,di_coxme,755.436641975831,468.891708812585,1057.61129876616,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,A,di_gee,35.4184478455392,21.2510687073235,49.5858269837548,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,A,di_coxme,51.3567493760318,31.8766030609853,71.8994491264445,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,B,di_gee,35.0593046026966,21.0355827616179,49.0830264437751,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,B,di_coxme,50.83599167391,31.5533741424269,71.170388343474,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,C,di_gee,22.7929049126424,13.6757429475855,31.9100668776994,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,25,110,C,di_coxme,33.0497121233315,20.5136144213782,46.2695969726641,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,16.9671937329432,10.1803162397659,23.7540712261204,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,24.6024309127676,15.2704743596489,34.4434032778746,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,16.7951463014532,10.0770877808719,23.5132048220344,attributable
