Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1992,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,A,37809.8810291527,157032.744718518,311811.510184734,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,B,33423.2968027221,140430.452617688,281730.09738447,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,D,28724.7784089968,121978.999270696,247072.978449582,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,2463.08424781405,10229.7301493481,20312.62723178,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,B,2177.32491147813,9148.19159280958,18353.0057782453,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,D,1871.24495754423,7946.19140526046,16095.3048440022,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,A,3428.57487664485,14239.6248995698,28274.8604589309,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,B,3030.80233508541,12734.1400886619,25547.0979435861,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,D,2604.74381060183,11060.9745652289,22404.4134377705,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,absolute number,A,856061.028826809,3555409.57401009,7059786.35592565,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,absolute number,B,756743.503785716,3179513.77984557,6378707.11183858,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,absolute number,D,650363.4152847,2761750.75849682,5594028.39601036,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,A,53127.8855725996,220651.783752614,438136.428425711,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,B,46964.1543337553,197323.366657208,395868.063289034,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,D,40362.1143170167,171396.633343466,347170.225609275,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,crude rate,A,77627.0450057038,322402.17662242,640176.733583053,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,crude rate,B,68620.9978588248,288316.195893858,578416.920493963,EPA,attributable,25,150
1992,us,All,All Origins,A,666,1,nvss,YLL,crude rate,D,58974.5221524183,250433.722836532,507262.776177766,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,A,15983.4397060962,65332.6570270248,127891.539346318,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,B,12102.5480581241,50841.6670031443,101985.102151618,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,D,10311.9670620395,43811.283046235,88782.5302041765,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,1042.51161088297,4261.2888572746,8341.65968989645,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,B,789.382454832377,3316.12150713765,6651.92568590824,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,D,672.592732909592,2857.56833968347,5790.79474026608,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,A,1614.73098683088,6600.24798750266,12920.2746926393,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,B,1222.66293916755,5136.29210243165,10303.0704070864,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,D,1041.76904699079,4426.04580793658,8969.27727986199,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,absolute number,A,344460.666313914,1407990.45671027,2756203.02445553,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,absolute number,B,260823.192307446,1095693.71890167,2197890.87250349,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,absolute number,D,222234.206811096,944181.229301831,1913360.95818609,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,A,22175.4760434669,90642.740073418,177437.136128758,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,B,16791.1143948243,70537.8935554237,141494.461213573,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,D,14306.8565183788,60783.9160712559,123177.170110022,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,crude rate,A,34799.2248145027,142242.587416593,278446.098675987,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,crude rate,B,26349.7281215601,110692.731509582,222042.474133434,EPA,attributable,25,150
1992,us,All,All Origins,A,666,2,nvss,YLL,crude rate,D,22451.2662274312,95386.1444202307,193297.768502054,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,A,400.096731433794,1641.75734382739,3225.44748038538,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,B,311.859199158908,1312.40279102581,2636.85130798532,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,D,270.288161681777,1149.17056471476,2330.29190276769,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,A,12.5436097363568,51.4714612363091,101.122431753143,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,B,9.77723580226106,41.1457208574006,82.6690926007803,EPA,attributable,25,150
1992,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,D,8.4739238042352,36.028155072984,73.0580129844104,EPA,attributable,25,150
