Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,mean,lower,upper,source,method
2008,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,5479.44324248816,4056.79449780186,7381.42732614173,nvss,GBD
2008,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,211.073231938828,155.171159835934,285.079216956273,nvss,GBD
2008,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,22.8130149920809,16.8899849131606,30.7317011605291,nvss,GBD
2008,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,25,150,145864.36605029,107886.202422087,195864.800231465,nvss,GBD
2008,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,5339.90226780265,3958.99909366985,7190.97204322392,nvss,GBD
2008,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,25,150,607.289066106762,449.171465854282,815.459970358658,nvss,GBD
2008,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,25,150,2449.58653719423,1834.65709689307,3275.22544402449,nvss,GBD
2008,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,25,150,157.85972699211,116.792977712347,212.375812389358,nvss,GBD
2008,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,25,150,18.791628850972,14.0742916039642,25.1253915764349,nvss,GBD
2008,Black or African American,All Origins,666,F,us,YLL,absolute number,attributable,25,150,60421.5270314868,45232.7653032888,80650.5566279961,nvss,GBD
2008,Black or African American,All Origins,666,F,us,YLL,age-adjusted rate,attributable,25,150,3913.9341357889,2909.8623377379,5234.60764887696,nvss,GBD
2008,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,25,150,463.5145128962,346.996247969309,618.698422678928,nvss,GBD
2008,Black or African American,All Origins,666,M,us,Deaths,absolute number,attributable,25,150,3018.09241163848,2228.14192793142,4094.19472027077,nvss,GBD
2008,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,25,150,284.808886207237,208.280170722035,386.497044378174,nvss,GBD
2008,Black or African American,All Origins,666,M,us,Deaths,crude rate,attributable,25,150,27.4786340281094,20.2864221003341,37.2761542768872,nvss,GBD
2008,Black or African American,All Origins,666,M,us,YLL,absolute number,attributable,25,150,85084.4467639693,62317.3798142376,114460.110007697,nvss,GBD
2008,Black or African American,All Origins,666,M,us,YLL,age-adjusted rate,attributable,25,150,7188.663241785,5308.94387105733,9741.89734170553,nvss,GBD
2008,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,25,150,774.662951039994,567.377084579228,1042.11768386879,nvss,GBD
2008,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,25,150,2001.19020947854,1449.72784956419,2739.9164941146,nvss,GBD
2008,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,25,150,105.866623472359,75.713175726173,147.219326934711,nvss,GBD
2008,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,25,150,8.5726219456449,6.21028861700505,11.7371493001666,nvss,GBD
2008,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,25,150,49095.1973439983,35503.9662850493,66769.2009579066,nvss,GBD
