Year,Race,Hispanic.Origin,Education,rural_urban_class,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,A,8.90418635965401,5.59584653298356,14.2482982353144,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,B,8.81258919863489,5.50757573432638,14.156870030474,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,D,8.00345241777436,4.73168117425608,13.3537021966264,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,A,10.2834190139806,6.42415321031096,16.4512186267295,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,B,10.1753897831822,6.31918351990726,16.3465462727388,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,D,9.24149542091686,5.45766450269861,15.4419283984137,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,absolute number,attributable,25,150,A,1403.48164215987,874.899975414753,2243.83926173196,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,absolute number,attributable,25,150,B,1388.25384284396,859.849135597487,2228.43759586504,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,absolute number,attributable,25,150,D,1261.16509097298,736.070158771426,2103.30304019968,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,age-adjusted rate,attributable,25,150,A,210.564676541523,132.206352234456,338.111547966898,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,age-adjusted rate,attributable,25,150,B,208.323248061239,130.021498869251,335.894214297265,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,age-adjusted rate,attributable,25,150,D,189.238359848336,111.47409526793,316.974189954877,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,crude rate,attributable,25,150,A,277.69181261056,173.107045170871,443.964333468717,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,crude rate,attributable,25,150,B,274.678851794344,170.129097426762,440.916971548666,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,3,A,us,YLL,crude rate,attributable,25,150,D,249.533167797257,145.638283008262,416.157943329777,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,absolute number,attributable,25,150,A,193.457590722761,137.139156945294,272.893499621674,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,absolute number,attributable,25,150,B,175.486082189218,119.685286402449,254.95502793055,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,absolute number,attributable,25,150,D,152.811513029643,97.5096256345163,232.387730924715,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,11.2136151269113,7.95085907343893,15.7249441638812,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,10.1691694178903,6.91206814595329,14.727719636278,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,age-adjusted rate,attributable,25,150,D,8.85101097223226,5.66211321277441,13.4192247945455,nvss,GBD
2003,American Indian or Alaska Native,All Origins,666,666,A,us,Deaths,crude rate,attributable,25,150,A,10.8172952915026,7.66821684878154,15.2590009909178,nvss,GBD
