Year,Race,Hispanic.Origin,Education,rural_urban_class,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2004,All,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,A,29778.179176274,22597.2496581698,39000.6734527857,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,B,26365.8454987129,19268.9343834332,35581.7601567824,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,absolute number,attributable,25,150,C,15348.6837915116,8795.80725256838,24316.6529768532,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,A,23.5480364187612,17.8436558366081,30.9057521165293,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,B,20.8476835633398,15.2001804538228,28.1287003394474,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,age-adjusted rate,attributable,25,150,C,12.13416726224,6.92616570004054,19.2923322909586,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,A,35.7991729046133,27.1662965990238,46.8864077977294,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,B,31.6968830161645,23.1650131996581,42.7762079260387,nvss,GBD
2004,All,All Origins,666,1,A,us,Deaths,crude rate,attributable,25,150,C,18.4521082252186,10.5742739610228,29.233354370889,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,A,649590.208405214,495023.50365932,848191.990718307,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,B,576115.514788589,422214.644848337,775344.736624853,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,absolute number,attributable,25,150,C,336950.336625259,192015.074205967,534864.403278772,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,age-adjusted rate,attributable,25,150,A,506.844763474231,386.997392204334,663.146589542513,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,age-adjusted rate,attributable,25,150,B,449.461447041788,330.115400282788,604.231010398008,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,age-adjusted rate,attributable,25,150,C,262.813389371112,150.102398420932,417.056977016365,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,crude rate,attributable,25,150,A,780.933986936665,595.114694368792,1019.69202187574,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,crude rate,attributable,25,150,B,692.603090499894,507.584261089692,932.115429986744,nvss,GBD
2004,All,All Origins,666,1,A,us,YLL,crude rate,attributable,25,150,C,405.079950983915,230.839528538684,643.011217715945,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,absolute number,attributable,25,150,A,13852.0158580482,9938.59335565473,18974.6666057037,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,absolute number,attributable,25,150,B,13180.6618363299,9293.71028433959,18302.0159649526,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,absolute number,attributable,25,150,C,8305.76613823979,4663.91697079132,13367.1157093462,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,age-adjusted rate,attributable,25,150,A,17.7365976052464,12.6996158963809,24.315432752397,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,age-adjusted rate,attributable,25,150,B,16.8769452841956,11.8737074330716,23.4289694539722,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,age-adjusted rate,attributable,25,150,C,10.6361680775809,5.95687682850103,17.1181118878735,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,crude rate,attributable,25,150,A,29.6083938433963,21.2435351893287,40.5579525511728,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,crude rate,attributable,25,150,B,28.1733886797373,19.8651111278702,39.1201758914819,nvss,GBD
2004,All,All Origins,666,2,A,us,Deaths,crude rate,attributable,25,150,C,17.7534012025596,9.96902486534882,28.5719299290736,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,absolute number,attributable,25,150,A,306092.470933349,220393.660181053,418993.738218826,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,absolute number,attributable,25,150,B,291579.450948761,206075.255083652,404633.85689033,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,absolute number,attributable,25,150,C,184444.81422953,102965.738972486,297985.943229776,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,age-adjusted rate,attributable,25,150,A,394.790074544085,283.55706933851,539.066537139937,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,age-adjusted rate,attributable,25,150,B,376.072195869495,265.284153448141,521.184652717821,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,age-adjusted rate,attributable,25,150,C,237.947099228076,132.93771616,383.636412537643,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,crude rate,attributable,25,150,A,654.266247221139,471.086833721522,895.59034195676,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,crude rate,attributable,25,150,B,623.244970898308,440.48154264493,864.896396304692,nvss,GBD
2004,All,All Origins,666,2,A,us,YLL,crude rate,attributable,25,150,C,394.246928248135,220.087111010807,636.938714000742,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,absolute number,attributable,25,150,A,6434.33506846901,4372.42948063096,9213.30132943785,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,absolute number,attributable,25,150,B,6316.28727633947,4259.10887362922,9099.08340398929,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,absolute number,attributable,25,150,C,4181.47251422419,2238.81145051835,6981.76329257723,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,A,15.769734264657,10.6924303932722,22.5912973533321,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,B,15.4805104226468,10.413355904573,22.295945299167,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,age-adjusted rate,attributable,25,150,C,10.2494588195496,5.47911550174478,17.1484496426415,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,A,28.5740069126696,19.4173646344527,40.9150181136752,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,B,28.0497727233647,18.9141232313615,40.4077918414049,nvss,GBD
2004,All,All Origins,666,3,A,us,Deaths,crude rate,attributable,25,150,C,18.5693507184743,9.94225715362019,31.0050612008605,nvss,GBD
