Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,80,84,93.4193391346489,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,85,150,64.241096741287,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,0,4,5.1320450340171,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,5,9,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,10,14,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,15,19,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,20,24,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,25,29,1.87054084180213,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,30,34,3.4522295165525,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,35,39,7.90980798681539,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,40,44,17.2566555041447,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,45,49,31.0953380796699,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,50,54,42.7615053714121,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,55,59,36.6512117446169,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,60,64,52.047757337907,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,65,69,46.4276948935282,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,70,74,55.2464303533043,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,75,79,47.3788201598973,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,80,84,45.9376089133191,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,F,us,666,total,wonder,85,150,41.791251105891,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,0,4,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,5,9,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,10,14,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,15,19,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,20,24,2.01511984771911,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,25,29,14.964326734417,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,30,34,17.2611475827625,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,35,39,25.3113855578092,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,40,44,50.3319118870887,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,45,49,73.8514279392159,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,50,54,91.3015925497718,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,55,59,111.989813664107,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,60,64,94.3916955111196,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,65,69,110.078566924978,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,70,74,69.5235977479784,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,75,79,61.3431039964986,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,80,84,47.4817302213298,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,M,us,666,total,wonder,85,150,22.449845635396,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,0,4,2.56602251700855,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,5,9,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,10,14,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,15,19,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,20,24,2.01511984771911,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,25,29,3.74108168360426,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,30,34,3.4522295165525,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,35,39,14.2376543762677,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,40,44,17.2566555041447,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,45,49,20.7302253864466,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,50,54,19.6471781436218,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,55,59,23.4160519479497,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,60,64,12.3503153005203,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,65,69,18.7208447151323,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,70,74,15.5186602116023,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,75,79,10.9719373001867,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,80,84,8.87869752106167,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,A,us,666,total,wonder,85,150,4.66266024735147,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,F,us,666,total,wonder,0,4,2.56602251700855,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_stroke,F,us,666,total,wonder,5,9,0,YLL,crude rate
