Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,measure1,measure2,min_age,max_age,value
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,0,4,476
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,5,9,44
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,10,14,85
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,15,19,273
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,20,24,284
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,25,29,265
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,30,34,331
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,35,39,531
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,40,44,601
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,45,49,747
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,50,54,812
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,55,59,821
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,60,64,947
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,65,69,1060
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,70,74,1146
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,75,79,1148
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,80,84,998
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,85,150,1402
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,0,4,13.2037511667786
2001,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,5,9,4.22765376138961
