Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,measure1,measure2,min_age,max_age,value
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,0,4,457
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,5,9,46
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,10,14,64
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,15,19,282
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,20,24,353
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,25,29,364
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,30,34,356
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,35,39,497
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,40,44,726
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,45,49,874
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,50,54,1053
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,55,59,1075
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,60,64,1165
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,65,69,1202
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,70,74,1285
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,75,79,1263
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,80,84,1170
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,85,150,1684
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,0,4,10.7911118497698
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,5,9,4.24507412866865
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,10,14,8.19209306399469
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,15,19,58.7176180068495
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,20,24,81.1391812704529
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,25,29,93.5987674033756
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,30,34,95.9104565703399
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,35,39,133.024602721962
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,40,44,196.325087909946
2005,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,45,49,295.258007050139
