Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,measure1,measure2,min_age,max_age,value
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,0,4,529
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,5,9,40
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,10,14,54
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,15,19,265
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,20,24,357
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,25,29,349
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,30,34,382
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,35,39,497
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,40,44,716
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,45,49,937
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,50,54,1021
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,55,59,1186
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,60,64,1181
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,65,69,1222
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,70,74,1314
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,75,79,1351
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,80,84,1195
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,85,150,1771
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,0,4,11.3034041344175
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,5,9,3.40897027266218
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,10,14,6.38786028043044
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,15,19,51.6060911854264
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,20,24,76.6749801449503
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,25,29,81.0134901181115
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,30,34,96.9579455247131
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,35,39,125.058875004997
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,40,44,187.859249961514
2007,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,45,49,293.725871648826
