Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,measure1,measure2,min_age,max_age,value
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,0,4,447
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,5,9,46
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,10,14,62
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,15,19,242
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,20,24,373
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,25,29,376
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,30,34,419
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,35,39,513
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,40,44,650
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,45,49,990
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,50,54,1213
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,55,59,1380
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,60,64,1324
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,65,69,1349
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,70,74,1454
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,75,79,1388
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,80,84,1297
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,absolute number,85,150,2042
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,0,4,8.87106035808404
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,5,9,3.36168491879732
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,10,14,6.9475703141051
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,15,19,44.5764465550062
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,20,24,73.7581372429939
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,25,29,76.570939855964
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,30,34,92.760149089766
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,35,39,119.024945182347
2010,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,Deaths,age-adjusted rate,40,44,166.156991779092
