Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2014,American Indian or Alaska Native,All Origins,us,Deaths,attributable,156.950338431447,89.4113836520534,246.937010923044
2014,American Indian or Alaska Native,All Origins,us,YLL,attributable,4228.10734214341,2410.25856007504,6645.3920247787
2014,Asian or Pacific Islander,All Origins,us,Deaths,attributable,828.631766017562,542.75467207587,1188.84779283933
2014,Asian or Pacific Islander,All Origins,us,YLL,attributable,18705.6563786029,12272.6074999429,26730.3231671366
2014,Black or African American,All Origins,us,Deaths,attributable,3912.58296963271,2513.89964668002,5623.82297853901
2014,Black or African American,All Origins,us,YLL,attributable,103363.478775467,66870.7085884078,148376.424437788
2014,White,All Origins,us,Deaths,attributable,24468.0073028386,14205.6486773217,37111.8647664239
2014,White,All Origins,us,YLL,attributable,522951.789743145,306427.92003168,792634.842894236
2014,White,Hispanic or Latino,us,Deaths,attributable,1829.02287117075,1167.61530955579,2643.54045542879
2014,White,Hispanic or Latino,us,YLL,attributable,45194.4954855961,29043.3597351237,65068.273026793
2014,White,Not Hispanic or Latino,us,Deaths,attributable,22517.5197318075,12968.4892192975,34316.9032630513
2014,White,Not Hispanic or Latino,us,YLL,attributable,474722.137247134,274917.970440699,723143.66684402
