Year,Race,Hispanic.Origin,label_cause,Gender,Gender.Code,Nation,measure,attr,mean,lower,upper
2008,American Indian or Alaska Native,Not Hispanic or Latino,t2_dm,Female,F,us,YLL,attributable,180.618174653,97.6576351734097,300.521399963524
2008,American Indian or Alaska Native,Not Hispanic or Latino,t2_dm,Male,M,us,Deaths,attributable,6.35057513096812,3.43631478805359,10.5444460351826
2008,American Indian or Alaska Native,Not Hispanic or Latino,t2_dm,Male,M,us,YLL,attributable,180.131357104469,97.4823067149808,298.79270271028
2008,Asian or Pacific Islander,All Origins,cvd_ihd,Female,F,us,Deaths,attributable,156.142773562768,88.8340068822276,250.671213829913
2008,Asian or Pacific Islander,All Origins,cvd_ihd,Female,F,us,YLL,attributable,3048.9804740336,1725.18914429732,4889.27788790325
2008,Asian or Pacific Islander,All Origins,cvd_ihd,Male,M,us,Deaths,attributable,269.148875318474,152.738910996096,430.507120207294
2008,Asian or Pacific Islander,All Origins,cvd_ihd,Male,M,us,YLL,attributable,7232.10313833261,4093.65745770541,11559.365538793
2008,Asian or Pacific Islander,All Origins,cvd_stroke,Female,F,us,Deaths,attributable,59.0314533630887,37.205515776072,90.7742067658957
2008,Asian or Pacific Islander,All Origins,cvd_stroke,Female,F,us,YLL,attributable,1761.03298423235,1113.59926724855,2680.22602979708
2008,Asian or Pacific Islander,All Origins,cvd_stroke,Male,M,us,Deaths,attributable,55.3080891315236,35.0717346488797,84.4577253462072
2008,Asian or Pacific Islander,All Origins,cvd_stroke,Male,M,us,YLL,attributable,1832.32757357141,1164.92887807972,2777.12848754064
2008,Asian or Pacific Islander,All Origins,lri,Female,F,us,Deaths,attributable,35.8494895895776,18.4652760273176,56.6553287053102
2008,Asian or Pacific Islander,All Origins,lri,Female,F,us,YLL,attributable,541.289663558668,278.294831026825,855.312569826491
2008,Asian or Pacific Islander,All Origins,lri,Male,M,us,Deaths,attributable,37.5279786253212,19.3640756699322,59.1919789202903
2008,Asian or Pacific Islander,All Origins,lri,Male,M,us,YLL,attributable,682.80340109087,351.552044464963,1076.81930353322
2008,Asian or Pacific Islander,All Origins,neo_lung,Female,F,us,Deaths,attributable,84.352549565986,51.6848255911452,125.258028812712
2008,Asian or Pacific Islander,All Origins,neo_lung,Female,F,us,YLL,attributable,1962.28736976056,1201.77554177842,2913.32136349581
2008,Asian or Pacific Islander,All Origins,neo_lung,Male,M,us,Deaths,attributable,127.049849065153,78.0381465886848,188.304791269447
2008,Asian or Pacific Islander,All Origins,neo_lung,Male,M,us,YLL,attributable,2995.52829358223,1838.82532693558,4439.36132329465
2008,Asian or Pacific Islander,All Origins,resp_copd,Female,F,us,Deaths,attributable,32.2820599096318,20.4502428254563,46.6846213684501
2008,Asian or Pacific Islander,All Origins,resp_copd,Female,F,us,YLL,attributable,478.92459000643,303.32613067932,692.362337671809
2008,Asian or Pacific Islander,All Origins,resp_copd,Male,M,us,Deaths,attributable,52.935864469006,33.6014151927598,76.4128382585989
2008,Asian or Pacific Islander,All Origins,resp_copd,Male,M,us,YLL,attributable,863.957410796425,548.311001287846,1246.63072813218
2008,Asian or Pacific Islander,All Origins,t2_dm,Female,F,us,Deaths,attributable,23.8014485466327,14.8261123073849,35.3848911284366
2008,Asian or Pacific Islander,All Origins,t2_dm,Female,F,us,YLL,attributable,446.727973604884,278.228759300404,663.927426528225
2008,Asian or Pacific Islander,All Origins,t2_dm,Male,M,us,Deaths,attributable,21.968727901269,13.7180440354603,32.5802214473183
2008,Asian or Pacific Islander,All Origins,t2_dm,Male,M,us,YLL,attributable,478.398144335276,298.654597610959,709.368256188093
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,2.27733024710911,1.26322821219247,3.69696340186436
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,56.3412879380624,31.1296167066783,91.3869058871069
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,3.78692520593106,2.10121494477498,6.16796984236476
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,110.963725260091,61.481519280423,180.678225816071
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,0.5559454169875,0.342399241538097,0.863760096707862
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,19.8014172023384,12.2157895024968,30.4138153933268
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,0.868000458361792,0.547237039215776,1.34404282836052
2008,Asian or Pacific Islander,Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,31.8631859317928,20.1470300640952,49.0735374578812
2008,Asian or Pacific Islander,Hispanic or Latino,lri,Female,F,us,Deaths,attributable,0.320560621682596,0.163092236219372,0.511688212782073
2008,Asian or Pacific Islander,Hispanic or Latino,lri,Female,F,us,YLL,attributable,8.13813097215469,4.14006153085919,12.9696390640213
2008,Asian or Pacific Islander,Hispanic or Latino,lri,Male,M,us,Deaths,attributable,0.577731663422704,0.293170585913051,0.926727958950752
2008,Asian or Pacific Islander,Hispanic or Latino,lri,Male,M,us,YLL,attributable,13.9547168513366,7.08587963197495,22.358977943048
2008,Asian or Pacific Islander,Hispanic or Latino,neo_lung,Female,F,us,Deaths,attributable,1.26031473911466,0.762242341293263,1.89784322398716
2008,Asian or Pacific Islander,Hispanic or Latino,neo_lung,Female,F,us,YLL,attributable,25.0147111607838,15.1251197083237,37.6763307140612
2008,Asian or Pacific Islander,Hispanic or Latino,neo_lung,Male,M,us,Deaths,attributable,1.82794386077026,1.10193857999313,2.76255964352691
2008,Asian or Pacific Islander,Hispanic or Latino,neo_lung,Male,M,us,YLL,attributable,46.0814753293678,27.7874828815023,69.6104276930201
2008,Asian or Pacific Islander,Hispanic or Latino,resp_copd,Female,F,us,Deaths,attributable,0.948381526107406,0.593863922264987,1.38478655306487
2008,Asian or Pacific Islander,Hispanic or Latino,resp_copd,Female,F,us,YLL,attributable,16.7043008671745,10.4535801332301,24.397223820615
2008,Asian or Pacific Islander,Hispanic or Latino,resp_copd,Male,M,us,Deaths,attributable,0.522593107253722,0.325678471613025,0.765355100231832
2008,Asian or Pacific Islander,Hispanic or Latino,resp_copd,Male,M,us,YLL,attributable,8.54301402746793,5.32032990901051,12.5142107811174
2008,Asian or Pacific Islander,Hispanic or Latino,t2_dm,Female,F,us,Deaths,attributable,0.759532878609437,0.466675634633669,1.14252990210937
2008,Asian or Pacific Islander,Hispanic or Latino,t2_dm,Female,F,us,YLL,attributable,12.9986429601542,7.9830397368155,19.5604475599788
2008,Asian or Pacific Islander,Hispanic or Latino,t2_dm,Male,M,us,Deaths,attributable,0.277376007227447,0.169224420597533,0.420416429391999
2008,Asian or Pacific Islander,Hispanic or Latino,t2_dm,Male,M,us,YLL,attributable,6.33591400364086,3.86713420593635,9.60008735313229
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,164.817381176571,91.9614792704855,265.811116852653
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,3124.83816724286,1750.91551026271,5020.88952726666
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,276.981734035267,155.812317040952,443.98041402338
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,7303.14124055841,4122.2073904066,11679.8587821459
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,60.8586332125331,38.3256515209086,93.8439094596823
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,1780.11220048231,1125.53216729538,2711.28703904672
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,56.3410491563551,35.7020110138899,86.1350671002834
2008,Asian or Pacific Islander,Not Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,1839.9502788751,1169.34541603965,2789.1546963227
2008,Asian or Pacific Islander,Not Hispanic or Latino,lri,Female,F,us,Deaths,attributable,35.3836572160025,18.2274557491314,55.9269313577615
2008,Asian or Pacific Islander,Not Hispanic or Latino,lri,Female,F,us,YLL,attributable,531.685152390782,273.420106615495,840.102444807157
2008,Asian or Pacific Islander,Not Hispanic or Latino,lri,Male,M,us,Deaths,attributable,36.8196295156665,18.9992311491221,58.0814495274603
2008,Asian or Pacific Islander,Not Hispanic or Latino,lri,Male,M,us,YLL,attributable,667.262242464664,343.658087107561,1052.13785583378
2008,Asian or Pacific Islander,Not Hispanic or Latino,neo_lung,Female,F,us,Deaths,attributable,82.8439978982294,50.768229885153,123.005050866414
2008,Asian or Pacific Islander,Not Hispanic or Latino,neo_lung,Female,F,us,YLL,attributable,1929.1757363461,1181.69943777274,2863.78633122569
2008,Asian or Pacific Islander,Not Hispanic or Latino,neo_lung,Male,M,us,Deaths,attributable,124.857040968575,76.7089459606668,185.025358015923
2008,Asian or Pacific Islander,Not Hispanic or Latino,neo_lung,Male,M,us,YLL,attributable,2939.41783734823,1804.8001973612,4355.45706287872
2008,Asian or Pacific Islander,Not Hispanic or Latino,resp_copd,Female,F,us,Deaths,attributable,31.24932969574,19.795329751348,45.1945953298678
2008,Asian or Pacific Islander,Not Hispanic or Latino,resp_copd,Female,F,us,YLL,attributable,461.168532671601,292.113860215092,666.664424360552
2008,Asian or Pacific Islander,Not Hispanic or Latino,resp_copd,Male,M,us,Deaths,attributable,52.2299948718787,33.1549003981026,75.3927460777988
2008,Asian or Pacific Islander,Not Hispanic or Latino,resp_copd,Male,M,us,YLL,attributable,851.770604960127,540.660578216977,1228.90146599225
2008,Asian or Pacific Islander,Not Hispanic or Latino,t2_dm,Female,F,us,Deaths,attributable,23.0119687385871,14.3387848736683,34.203312138494
2008,Asian or Pacific Islander,Not Hispanic or Latino,t2_dm,Female,F,us,YLL,attributable,433.244072805308,269.893089290421,643.757224958869
2008,Asian or Pacific Islander,Not Hispanic or Latino,t2_dm,Male,M,us,Deaths,attributable,21.3663570270717,13.3449610953959,31.6812511059333
2008,Asian or Pacific Islander,Not Hispanic or Latino,t2_dm,Male,M,us,YLL,attributable,461.951284632608,288.440836072615,684.857946073245
2008,Black or African American,All Origins,cvd_ihd,Female,F,us,Deaths,attributable,1224.92279850998,698.448478782785,1945.92767426207
2008,Black or African American,All Origins,cvd_ihd,Female,F,us,YLL,attributable,30525.5147830352,17348.3596653922,48443.4302275376
2008,Black or African American,All Origins,cvd_ihd,Male,M,us,Deaths,attributable,1563.79118158795,884.891833131175,2490.03667840864
2008,Black or African American,All Origins,cvd_ihd,Male,M,us,YLL,attributable,46669.1231119751,26375.6823419128,74284.7592237099
2008,Black or African American,All Origins,cvd_stroke,Female,F,us,Deaths,attributable,255.539220686829,162.997592058168,386.917571644729
2008,Black or African American,All Origins,cvd_stroke,Female,F,us,YLL,attributable,8834.17760151108,5650.30595401136,13265.4689596661
2008,Black or African American,All Origins,cvd_stroke,Male,M,us,Deaths,attributable,245.990206767822,156.565234664436,371.497551651903
2008,Black or African American,All Origins,cvd_stroke,Male,M,us,YLL,attributable,9015.20334186675,5747.81226699888,13549.7547028265
2008,Black or African American,All Origins,lri,Female,F,us,Deaths,attributable,152.522770308851,78.7703473136486,238.513702066965
2008,Black or African American,All Origins,lri,Female,F,us,YLL,attributable,3184.67988887267,1643.35545725616,4984.64911668877
2008,Black or African American,All Origins,lri,Male,M,us,Deaths,attributable,134.274099008871,69.1606878767839,210.545457264494
2008,Black or African American,All Origins,lri,Male,M,us,YLL,attributable,3445.01956346172,1772.41640583821,5407.37577983207
2008,Black or African American,All Origins,neo_lung,Female,F,us,Deaths,attributable,506.654183698647,312.642127898002,746.553237478094
2008,Black or African American,All Origins,neo_lung,Female,F,us,YLL,attributable,12651.6426239735,7801.61126079135,18648.6050642301
2008,Black or African American,All Origins,neo_lung,Male,M,us,Deaths,attributable,727.390626240643,447.49265791646,1074.23797377656
2008,Black or African American,All Origins,neo_lung,Male,M,us,YLL,attributable,19007.3192723337,11686.5895006796,28083.2218356477
2008,Black or African American,All Origins,resp_copd,Female,F,us,Deaths,attributable,250.857725543919,160.186177658621,358.74475865121
2008,Black or African American,All Origins,resp_copd,Female,F,us,YLL,attributable,4980.05987436512,3178.39624318901,7124.84031837317
2008,Black or African American,All Origins,resp_copd,Male,M,us,Deaths,attributable,279.027222839227,177.654200093244,399.984382300667
2008,Black or African American,All Origins,resp_copd,Male,M,us,YLL,attributable,5947.08777503372,3782.97371740176,8531.16410446236
2008,Black or African American,All Origins,t2_dm,Female,F,us,Deaths,attributable,139.120417158598,87.7213706950888,203.748182978523
2008,Black or African American,All Origins,t2_dm,Female,F,us,YLL,attributable,2898.25839531946,1826.23679031378,4246.34073450161
2008,Black or African American,All Origins,t2_dm,Male,M,us,Deaths,attributable,110.571648996394,69.4132991971636,162.495946836661
2008,Black or African American,All Origins,t2_dm,Male,M,us,YLL,attributable,2783.8813884364,1745.54559920336,4095.23642755727
2008,Black or African American,Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,7.75253559353919,4.34641838575845,12.4759110585081
2008,Black or African American,Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,160.444181076331,89.8294074076445,257.726213264288
2008,Black or African American,Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,8.79212108829684,4.90130284730708,14.1551068386235
2008,Black or African American,Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,250.967149733997,139.982806826114,403.402123990676
2008,Black or African American,Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,1.48679047499606,0.935797824404015,2.2894679372639
2008,Black or African American,Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,52.7760256956019,33.3031827462328,80.3742548669231
2008,Black or African American,Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,2.58046446550118,1.62133815152566,3.94632138810869
