Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2015,American Indian or Alaska Native,All Origins,us,Deaths,attributable,148.449192126642,79.6437506114546,239.203288694195
2015,American Indian or Alaska Native,All Origins,us,YLL,attributable,3970.61712499664,2127.32222592561,6400.08594273891
2015,Asian or Pacific Islander,All Origins,us,Deaths,attributable,876.352902203491,564.218302486314,1265.51993659375
2015,Asian or Pacific Islander,All Origins,us,YLL,attributable,19478.9140748318,12582.1617103276,28084.6869935979
2015,Black or African American,All Origins,us,Deaths,attributable,3697.73014478005,2291.62607596822,5420.46561948721
2015,Black or African American,All Origins,us,YLL,attributable,96776.0173190089,60192.0711188592,141724.431515373
2015,White,All Origins,us,Deaths,attributable,22849.2781511088,12568.4149776923,35640.8863484224
2015,White,All Origins,us,YLL,attributable,483212.87300636,266435.608474892,751852.785946701
2015,White,Hispanic or Latino,us,Deaths,attributable,1842.90707422788,1144.74835225719,2705.46099639392
2015,White,Hispanic or Latino,us,YLL,attributable,45102.797694272,28199.9183748299,65999.7299052045
2015,White,Not Hispanic or Latino,us,Deaths,attributable,20870.7988955697,11340.7267861166,32766.8169886705
2015,White,Not Hispanic or Latino,us,YLL,attributable,434836.971568132,236110.325967928,681578.6281406
