Year,Race,Hispanic.Origin,label_cause,Gender,Gender.Code,Nation,measure,attr,mean,lower,upper
2009,American Indian or Alaska Native,All Origins,cvd_ihd,Female,F,us,Deaths,attributable,25.7485700304786,12.4683576586197,46.3883566329715
2009,American Indian or Alaska Native,All Origins,cvd_ihd,Female,F,us,YLL,attributable,685.588415298529,330.317017857193,1233.8685739848
2009,American Indian or Alaska Native,All Origins,cvd_ihd,Male,M,us,Deaths,attributable,47.3145933889124,22.8905061600457,85.1637174413374
2009,American Indian or Alaska Native,All Origins,cvd_ihd,Male,M,us,YLL,attributable,1484.08807741384,716.156974270361,2669.81328160258
2009,American Indian or Alaska Native,All Origins,cvd_stroke,Female,F,us,Deaths,attributable,5.64971671290149,3.04576547017431,9.75217820999394
2009,American Indian or Alaska Native,All Origins,cvd_stroke,Female,F,us,YLL,attributable,171.583450067655,92.8157005457355,293.604597843949
2009,American Indian or Alaska Native,All Origins,cvd_stroke,Male,M,us,Deaths,attributable,5.53585562875286,3.00325344544686,9.53323178625612
2009,American Indian or Alaska Native,All Origins,cvd_stroke,Male,M,us,YLL,attributable,193.133437736325,105.279790223445,329.474924240268
2009,American Indian or Alaska Native,All Origins,lri,Female,F,us,Deaths,attributable,5.93196284225863,2.68052578363642,10.4533495869021
2009,American Indian or Alaska Native,All Origins,lri,Female,F,us,YLL,attributable,175.354808542832,79.2177763000258,308.881484200938
2009,American Indian or Alaska Native,All Origins,lri,Male,M,us,Deaths,attributable,5.51055846549341,2.49866180449004,9.68679751410943
2009,American Indian or Alaska Native,All Origins,lri,Male,M,us,YLL,attributable,184.30088690069,83.6272764170741,323.635916394159
2009,American Indian or Alaska Native,All Origins,neo_lung,Female,F,us,Deaths,attributable,13.3767034050215,7.15472170661082,22.3412868965701
2009,American Indian or Alaska Native,All Origins,neo_lung,Female,F,us,YLL,attributable,338.748289227124,181.045850303804,565.680030136834
2009,American Indian or Alaska Native,All Origins,neo_lung,Male,M,us,Deaths,attributable,15.5381536502419,8.32961377615494,25.9024263018051
2009,American Indian or Alaska Native,All Origins,neo_lung,Male,M,us,YLL,attributable,403.049563092018,216.171215861703,671.215574499165
2009,American Indian or Alaska Native,All Origins,resp_copd,Female,F,us,Deaths,attributable,11.0474328295337,6.05883459131897,17.8414569334547
2009,American Indian or Alaska Native,All Origins,resp_copd,Female,F,us,YLL,attributable,239.246277279797,131.100288585295,386.483992114389
2009,American Indian or Alaska Native,All Origins,resp_copd,Male,M,us,Deaths,attributable,10.2510284261348,5.62685795603904,16.5397876727961
2009,American Indian or Alaska Native,All Origins,resp_copd,Male,M,us,YLL,attributable,228.342459390495,125.336295390027,368.202327393926
2009,American Indian or Alaska Native,All Origins,t2_dm,Female,F,us,Deaths,attributable,7.08204580142264,3.71589216278161,12.0739002818916
2009,American Indian or Alaska Native,All Origins,t2_dm,Female,F,us,YLL,attributable,161.818196964748,84.8159966902334,275.826198365243
2009,American Indian or Alaska Native,All Origins,t2_dm,Male,M,us,Deaths,attributable,7.86404108280471,4.13186335130769,13.3753277152319
2009,American Indian or Alaska Native,All Origins,t2_dm,Male,M,us,YLL,attributable,217.186310859438,114.29517887126,368.653790311827
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,1.45800287995622,0.781423523716275,2.42448435261194
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,35.0741685679534,18.6638335440734,58.2866560310618
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,2.40112028075205,1.27968373065064,4.01025795563296
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,77.14423768007,41.0713366955767,128.832706706741
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,0.344841740308682,0.200001035240064,0.555375706850968
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,11.0641893589158,6.48857884210483,17.474643345985
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,0.558823801918597,0.339182824575926,0.872371593472372
2009,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,19.1672413969711,11.6723087953073,29.7608987367021
2009,American Indian or Alaska Native,Hispanic or Latino,lri,Female,F,us,Deaths,attributable,0.202243987738747,0.0992118270713662,0.331999520033753
2009,American Indian or Alaska Native,Hispanic or Latino,lri,Female,F,us,YLL,attributable,7.53160313695483,3.68641788535077,12.3814926937847
2009,American Indian or Alaska Native,Hispanic or Latino,lri,Male,M,us,Deaths,attributable,0.3208060539084,0.157192961581362,0.527244778637141
2009,American Indian or Alaska Native,Hispanic or Latino,lri,Male,M,us,YLL,attributable,12.7119988000029,6.21435053180665,20.9338925139075
2009,American Indian or Alaska Native,Hispanic or Latino,neo_lung,Female,F,us,Deaths,attributable,0.361682660510347,0.211571903947479,0.558374075342932
2009,American Indian or Alaska Native,Hispanic or Latino,neo_lung,Female,F,us,YLL,attributable,9.32217445557356,5.44003384115162,14.4214888007311
2009,American Indian or Alaska Native,Hispanic or Latino,neo_lung,Male,M,us,Deaths,attributable,0.53040504075649,0.308942478496372,0.822258375959092
2009,American Indian or Alaska Native,Hispanic or Latino,neo_lung,Male,M,us,YLL,attributable,16.1941718524441,9.43913246860228,25.092371851959
2009,American Indian or Alaska Native,Hispanic or Latino,resp_copd,Female,F,us,Deaths,attributable,0.488119307222982,0.294326020228203,0.726804618336489
2009,American Indian or Alaska Native,Hispanic or Latino,resp_copd,Female,F,us,YLL,attributable,8.10158961354425,4.87093279450628,12.087962021429
2009,American Indian or Alaska Native,Hispanic or Latino,resp_copd,Male,M,us,Deaths,attributable,0.581408700229264,0.348830972088029,0.869984910865653
2009,American Indian or Alaska Native,Hispanic or Latino,resp_copd,Male,M,us,YLL,attributable,9.05522841201454,5.41614856873898,13.578957857514
2009,American Indian or Alaska Native,Hispanic or Latino,t2_dm,Female,F,us,Deaths,attributable,0.258810676990391,0.150898222384792,0.403615584055101
2009,American Indian or Alaska Native,Hispanic or Latino,t2_dm,Female,F,us,YLL,attributable,7.90079732660153,4.60077336917179,12.329713691847
2009,American Indian or Alaska Native,Hispanic or Latino,t2_dm,Male,M,us,Deaths,attributable,0.422983814296001,0.245098386296963,0.66224170138359
2009,American Indian or Alaska Native,Hispanic or Latino,t2_dm,Male,M,us,YLL,attributable,11.6901918420638,6.77693280464171,18.2967379277106
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,Female,F,us,Deaths,attributable,23.9769015379409,11.220013057175,44.1760783823931
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,Female,F,us,YLL,attributable,628.613829020816,293.593286294565,1156.75061768114
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,Male,M,us,Deaths,attributable,43.1448672108375,20.2078397729226,79.441361012305
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_ihd,Male,M,us,YLL,attributable,1329.81836357031,620.731361077415,2450.7261632072
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_stroke,Female,F,us,Deaths,attributable,5.22760978194112,2.73189081858329,9.23515324196328
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_stroke,Female,F,us,YLL,attributable,155.134030706603,81.182404468202,271.342448779572
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_stroke,Male,M,us,Deaths,attributable,4.86943574016755,2.54147209119263,8.62047426618861
2009,American Indian or Alaska Native,Not Hispanic or Latino,cvd_stroke,Male,M,us,YLL,attributable,166.532522441734,87.1492825692264,291.936635766377
2009,American Indian or Alaska Native,Not Hispanic or Latino,lri,Female,F,us,Deaths,attributable,5.28742010083575,2.31912651878926,9.51272016177852
2009,American Indian or Alaska Native,Not Hispanic or Latino,lri,Female,F,us,YLL,attributable,154.199045604322,67.375224764455,277.816394737642
