Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2000,American Indian or Alaska Native,All Origins,us,Deaths,attributable,192.075233854168,138.496605679936,259.244708207394
2000,American Indian or Alaska Native,All Origins,us,YLL,attributable,5316.69141373665,3847.33505776734,7150.27663106394
2000,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,6.16342194456845,4.75765520843882,7.87740442507981
2000,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,161.225947456229,124.202772162536,205.334757617902
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,0.204129681603005,0.122068229863722,0.312702661217658
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,18.0271967821485,10.7845242140047,27.6214632634246
2000,Asian or Pacific Islander,All Origins,us,Deaths,attributable,966.31106476105,763.267487138383,1215.57924510963
2000,Asian or Pacific Islander,All Origins,us,YLL,attributable,23464.9522801576,18656.0981717591,29332.7118690467
2000,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,11.7727500695383,9.17559019144222,14.9922823146957
2000,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,310.503240759631,242.224527702041,393.526530353869
2000,Black or African American,All Origins,us,Deaths,attributable,8089.51666234708,6463.22204477288,10040.2154792051
2000,Black or African American,All Origins,us,YLL,attributable,214622.705191286,171450.657018645,264899.427454876
2000,Black or African American,Hispanic or Latino,us,Deaths,attributable,37.0131856622317,29.2513075809295,46.4529320790123
2000,Black or African American,Hispanic or Latino,us,YLL,attributable,980.905440155503,776.173132136157,1223.88120623068
2000,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,8232.39354455938,6584.29177277509,10209.268919079
2000,Black or African American,Not Hispanic or Latino,us,YLL,attributable,216295.040010643,172921.905169777,266798.32557135
2000,White,All Origins,us,Deaths,attributable,53663.3471262143,40626.6089628683,69480.2921148245
2000,White,All Origins,us,YLL,attributable,1134248.54771433,862725.135903212,1462402.08137011
2000,White,Hispanic or Latino,us,Deaths,attributable,2224.80812899056,1697.44773204401,2852.9418193172
2000,White,Hispanic or Latino,us,YLL,attributable,55912.7141735269,43039.9344490886,71214.3107983651
2000,White,Not Hispanic or Latino,us,Deaths,attributable,51271.4593115615,38786.5880895658,66413.6261129357
2000,White,Not Hispanic or Latino,us,YLL,attributable,1074556.29270751,816492.136263283,1387436.29176919
