Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2011,American Indian or Alaska Native,All Origins,us,Deaths,attributable,165.887901550259,103.760394396233,248.223033315047
2011,American Indian or Alaska Native,All Origins,us,YLL,attributable,4571.55542078321,2863.41475120338,6819.30208200716
2011,Asian or Pacific Islander,All Origins,us,Deaths,attributable,878.097073604808,612.337612530917,1210.66954995064
2011,Asian or Pacific Islander,All Origins,us,YLL,attributable,20178.2807562283,14137.551311097,27678.6241826771
2011,Black or African American,All Origins,us,Deaths,attributable,4637.53357788727,3250.92502156962,6346.03976906683
2011,Black or African American,All Origins,us,YLL,attributable,123637.035442148,87017.1918822343,168575.527531293
2011,White,All Origins,us,Deaths,attributable,29780.3778726824,19203.6862742777,42750.1510792967
2011,White,All Origins,us,YLL,attributable,633782.687310054,410941.930007974,908228.877320997
2011,White,Hispanic or Latino,us,Deaths,attributable,1929.9023378873,1313.48621168394,2678.9989729428
2011,White,Hispanic or Latino,us,YLL,attributable,47879.6613644375,32963.3588879722,66229.9567413428
2011,White,Not Hispanic or Latino,us,Deaths,attributable,27773.034311118,17855.316204451,40020.9838356993
2011,White,Not Hispanic or Latino,us,YLL,attributable,583975.692480586,375953.433305259,839917.077150465
