"variable","scenario","pm","pop_size","prop","STATEFP"
"AA66A00024","A",10.48,27.2000000146868,0.00270176309169468,44
"AA66A00024","A",10.73,37.7999998860071,0.00375465604790196,44
"AA66A00024","A",10.77,1.89999999645585,0.000188726097862966,44
"AA66A00024","A",10.78,19.9999999897276,0.00198659050650601,44
"AA66A00024","A",10.8,9.19999995855559,0.000913831629345473,44
"AA66A00024","A",10.82,2.29999999342472,0.000228457907712412,44
"AA66A00024","A",10.87,10.1126225328928,0.0010044819965021,44
"AA66A00024","A",10.88,9.69999998740694,0.000963496394899423,44
"AA66A00024","A",10.93,55.7892124303198,0.00554151599182225,44
"AA66A00024","A",10.96,28.699999996699,0.00285075737797245,44
"AA66A00024","A",10.98,7.89999997093399,0.0007847032475858,44
"AA66A00024","A",11.02,16.8052912645374,0.00166926160511728,44
"AA66A00024","A",11.05,1.30000000546049,0.000129128383531601,44
"AA66A00024","A",11.06,8.04846919046709,0.000799450624695015,44
"AA66A00024","A",11.09,15.558419879066,0.0015454104621931,44
"AA66A00024","A",11.12,17.6025019163311,0.0017484481607849,44
"AA66A00024","A",11.16,43.500000620138,0.00432083441546785,44
"AA66A00024","A",11.17,4.44884094090176,0.000441901259134504,44
"AA66A00024","A",11.22,25.6001411350195,0.00254284986850824,44
"AA66A00024","A",11.31,2.70540944029564,0.000268727035653176,44
"AA66A00024","A",11.34,11.5267176855264,0.00114494339685015,44
"AA66A00024","A",11.37,96.96410581193,0.00963139860883809,44
"AA66A00024","A",11.38,18.4000000579211,0.00182766327267753,44
"AA66A00024","A",11.43,22.5464529983744,0.00223952847524799,44
"AA66A00024","A",11.44,9.63399187566613,0.000956939840489221,44
"AA66A00024","A",11.45,15.2772610815282,0.00151748309227829,44
"AA66A00024","A",11.46,3.29999998681569,0.000327787432432258,44
"AA66A00024","A",11.48,12.0000000200009,0.0011919543065025,44
"AA66A00024","A",11.5,16.1956600748668,0.0016087072283927,44
"AA66A00024","A",11.53,0.700026665542869,6.95333164391397e-05,44
"AA66A00024","A",11.56,15.0000000420011,0.00148994288481672,44
"AA66A00024","A",11.6,74.2088820261374,0.00737113303036341,44
"AA66A00024","A",11.61,13.7000000948615,0.00136081450707811,44
"AA66A00024","A",11.62,23.2394848246407,0.00230836699762171,44
"AA66A00024","A",11.63,12.1999998040444,0.0012118201901269,44
"AA66A00024","A",11.64,6.80008031721777,0.000675448750430083,44
"AA66A00024","A",11.66,11.4926720905276,0.00114156166405776,44
"AA66A00024","A",11.7,16.15253844343,0.00160442397720864,44
"AA66A00024","A",11.72,5.60000000005013,0.000556245342112361,44
"AA66A00024","A",11.73,22.3838910657322,0.00222338127563439,44
"AA66A00024","A",11.74,5.00000002298457,0.000496647629164637,44
"AA66A00024","A",11.76,48.5041648705181,0.00481789567536324,44
"AA66A00024","A",11.78,6.10028937673633,0.000605938848449415,44
"AA66A00024","A",11.8,43.0025151124495,0.00427141941610755,44
"AA66A00024","A",11.81,26.2743377574243,0.00260981749902203,44
"AA66A00024","A",11.82,30.681785170525,0.0030476071586864,44
"AA66A00024","A",11.84,21.0926748780176,0.00209512538455048,44
"AA66A00024","A",11.89,38.5726938652917,0.00383140737412544,44
"AA66A00024","A",11.91,44.189371915832,0.00438930933907719,44
"AA66A00024","A",12.03,18.0279505746188,0.00179070777408461,44
"AA66A00024","A",12.09,15.8385975204269,0.00157324037433053,44
"AA66A00024","A",12.1,13.1520940543684,0.00130639126012511,44
"AA66A00024","A",12.13,83.9832860167805,0.00834201993959038,44
"AA66A00024","A",12.14,11.8014167231808,0.00117222912188169,44
"AA66A00024","A",12.15,26.6705429161914,0.00264917236939401,44
"AA66A00024","A",12.16,15.9677652390801,0.00158607054251829,44
"AA66A00024","A",12.19,14.2999999912,0.00142041221200725,44
"AA66A00024","A",12.2,159.699995197191,0.0158629247255373,44
"AA66A00024","A",12.21,54.6024551640074,0.00542363595582254,44
"AA66A00024","A",12.24,3.59999999882002,0.000357586291237538,44
"AA66A00024","A",12.25,10.6899737376466,0.00106183001764574,44
"AA66A00024","A",12.29,12.7000000624041,0.00126148497847781,44
"AA66A00024","A",12.31,6.6003819022228,0.00065561280165023,44
"AA66A00024","A",12.32,59.0950487832488,0.00586988314773047,44
"AA66A00024","A",12.38,25.1107874104999,0.00249424259531058,44
"AA66A00024","A",12.44,22.7000001322238,0.00225478023917615,44
"AA66A00024","A",12.53,18.1405221539918,0.00180188945563459,44
"AA66A00024","A",12.63,37.6032174395913,0.00373510974089709,44
"AA66A00024","A",12.7,18.0321933949751,0.00179112921141685,44
"AA66A00024","A",12.71,9.30000003219011,0.000923764589197186,44
"AA66A00024","A",12.75,10.9000000694453,0.00108269183349984,44
"AA66A00024","A",12.76,8.68206756229102,0.000862385650247494,44
"AA66A00024","A",12.78,15.199999979719,0.00150980878370553,44
"AA66A00024","A",12.85,13.5978795580895,0.00135067092262937,44
"AA66A00024","A",12.86,15.8588172920082,0.00157524879464492,44
"AA66A00024","A",12.92,17.5170130060998,0.00173995658790668,44
"AA66A00024","A",12.95,13.582987466814,0.00134919169827111,44
"AA66A00024","A",12.99,20.1999999760739,0.00200645641022506,44
"AA66A00024","A",13,11.6171957741505,0.00115393054245014,44
"AA66A00024","A",13.01,35.5107575813946,0.00352726669631341,44
"AA66A00024","A",13.06,40.7083832758366,0.00404354438962609,44
"AA66A00024","A",13.1,15.875528857263,0.00157690874648997,44
"AA66A00024","A",13.13,7.92358023585631,0.000787045464108782,44
"AA66A00024","A",13.17,43.3300250154394,0.00430395081932758,44
