"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"1 year"	"1"	"2006"	"2006"	"Colorado"	"08"	"White"	"2106-3"	60295
	"1 year"	"1"	"2006"	"2006"	"Connecticut"	"09"	"White"	"2106-3"	32493
	"1 year"	"1"	"2006"	"2006"	"Delaware"	"10"	"White"	"2106-3"	7526
	"1 year"	"1"	"2006"	"2006"	"District of Columbia"	"11"	"White"	"2106-3"	1977
	"1 year"	"1"	"2006"	"2006"	"Florida"	"12"	"White"	"2106-3"	153464
	"1 year"	"1"	"2006"	"2006"	"Georgia"	"13"	"White"	"2106-3"	87717
	"1 year"	"1"	"2006"	"2006"	"Hawaii"	"15"	"White"	"2106-3"	5090
	"1 year"	"1"	"2006"	"2006"	"Idaho"	"16"	"White"	"2106-3"	21944
	"1 year"	"1"	"2006"	"2006"	"Illinois"	"17"	"White"	"2106-3"	129130
	"1 year"	"1"	"2006"	"2006"	"Indiana"	"18"	"White"	"2106-3"	71863
	"1 year"	"1"	"2006"	"2006"	"Iowa"	"19"	"White"	"2106-3"	34638
	"1 year"	"1"	"2006"	"2006"	"Kansas"	"20"	"White"	"2106-3"	32656
	"1 year"	"1"	"2006"	"2006"	"Kentucky"	"21"	"White"	"2106-3"	47521
	"1 year"	"1"	"2006"	"2006"	"Louisiana"	"22"	"White"	"2106-3"	33159
	"1 year"	"1"	"2006"	"2006"	"Maine"	"23"	"White"	"2106-3"	13014
	"1 year"	"1"	"2006"	"2006"	"Maryland"	"24"	"White"	"2106-3"	41516
	"1 year"	"1"	"2006"	"2006"	"Massachusetts"	"25"	"White"	"2106-3"	58278
	"1 year"	"1"	"2006"	"2006"	"Michigan"	"26"	"White"	"2106-3"	96201
	"1 year"	"1"	"2006"	"2006"	"Minnesota"	"27"	"White"	"2106-3"	54770
	"1 year"	"1"	"2006"	"2006"	"Mississippi"	"28"	"White"	"2106-3"	22659
	"1 year"	"1"	"2006"	"2006"	"Missouri"	"29"	"White"	"2106-3"	61354
	"1 year"	"1"	"2006"	"2006"	"Montana"	"30"	"White"	"2106-3"	9737
	"1 year"	"1"	"2006"	"2006"	"Nebraska"	"31"	"White"	"2106-3"	22086
	"1 year"	"1"	"2006"	"2006"	"Nevada"	"32"	"White"	"2106-3"	29158
	"1 year"	"1"	"2006"	"2006"	"New Hampshire"	"33"	"White"	"2106-3"	14461
	"1 year"	"1"	"2006"	"2006"	"New Jersey"	"34"	"White"	"2106-3"	78083
	"1 year"	"1"	"2006"	"2006"	"New Mexico"	"35"	"White"	"2106-3"	22928
	"1 year"	"1"	"2006"	"2006"	"New York"	"36"	"White"	"2106-3"	157516
	"1 year"	"1"	"2006"	"2006"	"North Carolina"	"37"	"White"	"2106-3"	86441
	"1 year"	"1"	"2006"	"2006"	"North Dakota"	"38"	"White"	"2106-3"	6768
	"1 year"	"1"	"2006"	"2006"	"Ohio"	"39"	"White"	"2106-3"	114000
	"1 year"	"1"	"2006"	"2006"	"Oklahoma"	"40"	"White"	"2106-3"	36631
	"1 year"	"1"	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	40590
	"1 year"	"1"	"2006"	"2006"	"Pennsylvania"	"42"	"White"	"2106-3"	112016
	"1 year"	"1"	"2006"	"2006"	"Rhode Island"	"44"	"White"	"2106-3"	9539
	"1 year"	"1"	"2006"	"2006"	"South Carolina"	"45"	"White"	"2106-3"	35478
	"1 year"	"1"	"2006"	"2006"	"South Dakota"	"46"	"White"	"2106-3"	8785
	"1 year"	"1"	"2006"	"2006"	"Tennessee"	"47"	"White"	"2106-3"	58646
	"1 year"	"1"	"2006"	"2006"	"Texas"	"48"	"White"	"2106-3"	308434
	"1 year"	"1"	"2006"	"2006"	"Utah"	"49"	"White"	"2106-3"	45482
	"1 year"	"1"	"2006"	"2006"	"Vermont"	"50"	"White"	"2106-3"	6063
	"1 year"	"1"	"2006"	"2006"	"Virginia"	"51"	"White"	"2106-3"	69880
	"1 year"	"1"	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	64467
	"1 year"	"1"	"2006"	"2006"	"West Virginia"	"54"	"White"	"2106-3"	18856
	"1 year"	"1"	"2006"	"2006"	"Wisconsin"	"55"	"White"	"2106-3"	57545
	"1 year"	"1"	"2006"	"2006"	"Wyoming"	"56"	"White"	"2106-3"	6372
	"2 years"	"2"	"2006"	"2006"	"Alabama"	"01"	"White"	"2106-3"	39761
	"2 years"	"2"	"2006"	"2006"	"Alaska"	"02"	"White"	"2106-3"	6288
	"2 years"	"2"	"2006"	"2006"	"Arizona"	"04"	"White"	"2106-3"	75533
	"2 years"	"2"	"2006"	"2006"	"Arkansas"	"05"	"White"	"2106-3"	29221
	"2 years"	"2"	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	393878
	"2 years"	"2"	"2006"	"2006"	"Colorado"	"08"	"White"	"2106-3"	58995
	"2 years"	"2"	"2006"	"2006"	"Connecticut"	"09"	"White"	"2106-3"	33576
	"2 years"	"2"	"2006"	"2006"	"Delaware"	"10"	"White"	"2106-3"	7434
	"2 years"	"2"	"2006"	"2006"	"District of Columbia"	"11"	"White"	"2106-3"	2012
	"2 years"	"2"	"2006"	"2006"	"Florida"	"12"	"White"	"2106-3"	156886
	"2 years"	"2"	"2006"	"2006"	"Georgia"	"13"	"White"	"2106-3"	86070
	"2 years"	"2"	"2006"	"2006"	"Hawaii"	"15"	"White"	"2106-3"	5312
	"2 years"	"2"	"2006"	"2006"	"Idaho"	"16"	"White"	"2106-3"	21705
	"2 years"	"2"	"2006"	"2006"	"Illinois"	"17"	"White"	"2106-3"	132738
	"2 years"	"2"	"2006"	"2006"	"Indiana"	"18"	"White"	"2106-3"	73522
	"2 years"	"2"	"2006"	"2006"	"Iowa"	"19"	"White"	"2106-3"	34686
	"2 years"	"2"	"2006"	"2006"	"Kansas"	"20"	"White"	"2106-3"	33167
	"2 years"	"2"	"2006"	"2006"	"Kentucky"	"21"	"White"	"2106-3"	47662
	"2 years"	"2"	"2006"	"2006"	"Louisiana"	"22"	"White"	"2106-3"	33576
	"2 years"	"2"	"2006"	"2006"	"Maine"	"23"	"White"	"2106-3"	13517
	"2 years"	"2"	"2006"	"2006"	"Maryland"	"24"	"White"	"2106-3"	42891
	"2 years"	"2"	"2006"	"2006"	"Massachusetts"	"25"	"White"	"2106-3"	60315
	"2 years"	"2"	"2006"	"2006"	"Michigan"	"26"	"White"	"2106-3"	99482
	"2 years"	"2"	"2006"	"2006"	"Minnesota"	"27"	"White"	"2106-3"	58164
	"2 years"	"2"	"2006"	"2006"	"Mississippi"	"28"	"White"	"2106-3"	22586
	"2 years"	"2"	"2006"	"2006"	"Missouri"	"29"	"White"	"2106-3"	62135
	"2 years"	"2"	"2006"	"2006"	"Montana"	"30"	"White"	"2106-3"	9653
	"2 years"	"2"	"2006"	"2006"	"Nebraska"	"31"	"White"	"2106-3"	23078
	"2 years"	"2"	"2006"	"2006"	"Nevada"	"32"	"White"	"2106-3"	29774
	"2 years"	"2"	"2006"	"2006"	"New Hampshire"	"33"	"White"	"2106-3"	13676
	"2 years"	"2"	"2006"	"2006"	"New Jersey"	"34"	"White"	"2106-3"	82572
	"2 years"	"2"	"2006"	"2006"	"New Mexico"	"35"	"White"	"2106-3"	22685
	"2 years"	"2"	"2006"	"2006"	"New York"	"36"	"White"	"2106-3"	165941
	"2 years"	"2"	"2006"	"2006"	"North Carolina"	"37"	"White"	"2106-3"	84121
	"2 years"	"2"	"2006"	"2006"	"North Dakota"	"38"	"White"	"2106-3"	6748
	"2 years"	"2"	"2006"	"2006"	"Ohio"	"39"	"White"	"2106-3"	117530
	"2 years"	"2"	"2006"	"2006"	"Oklahoma"	"40"	"White"	"2106-3"	36439
	"2 years"	"2"	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	39730
	"2 years"	"2"	"2006"	"2006"	"Pennsylvania"	"42"	"White"	"2106-3"	116053
	"2 years"	"2"	"2006"	"2006"	"Rhode Island"	"44"	"White"	"2106-3"	10270
