"variable","scenario","pm","pop_size","rural_urban_class","prop","STATEFP"
"AAAA00024","A",3.59,12,666,0.00159045725646123,16
"AAAA00024","A",3.83,68,666,0.00901259111994698,16
"AAAA00024","A",3.85,21,666,0.00278330019880716,16
"AAAA00024","A",4.14,11,666,0.00145791915175613,16
"AAAA00024","A",4.4,9,666,0.00119284294234592,16
"AAAA00024","A",4.42,43,666,0.00569913850231942,16
"AAAA00024","A",4.49,28,666,0.00371106693174288,16
"AAAA00024","A",4.54,26,666,0.00344599072233267,16
"AAAA00024","A",4.56,40,666,0.00530152418820411,16
"AAAA00024","A",4.58,70,666,0.00927766732935719,16
"AAAA00024","A",4.61,22,666,0.00291583830351226,16
"AAAA00024","A",4.62,37,666,0.0049039098740888,16
"AAAA00024","A",4.65,50,666,0.00662690523525514,16
"AAAA00024","A",4.71,13,666,0.00172299536116634,16
"AAAA00024","A",4.73,2,666,0.000265076209410205,16
"AAAA00024","A",4.74,11,666,0.00145791915175613,16
"AAAA00024","A",4.77,2,666,0.000265076209410205,16
"AAAA00024","A",4.85,13,666,0.00172299536116634,16
"AAAA00024","A",4.88,8,666,0.00106030483764082,16
"AAAA00024","A",4.97,36,666,0.0047713717693837,16
"AAAA00024","A",5.06,20,666,0.00265076209410205,16
"AAAA00024","A",5.16,27,666,0.00357852882703777,16
"AAAA00024","A",5.17,6,666,0.000795228628230616,16
"AAAA00024","A",5.19,15,666,0.00198807157057654,16
"AAAA00024","A",5.22,260,666,0.0344599072233267,16
"AAAA00024","A",5.27,22,666,0.00291583830351226,16
"AAAA00024","A",5.28,61,666,0.00808482438701127,16
"AAAA00024","A",5.29,146,666,0.019350563286945,16
"AAAA00024","A",5.35,146,666,0.019350563286945,16
"AAAA00024","A",5.37,3,666,0.000397614314115308,16
"AAAA00024","A",5.38,243,666,0.03220675944334,16
"AAAA00024","A",5.44,26,666,0.00344599072233267,16
"AAAA00024","A",5.46,32,666,0.00424121935056329,16
"AAAA00024","A",5.49,93,666,0.0123260437375746,16
"AAAA00024","A",5.52,200,666,0.0265076209410205,16
"AAAA00024","A",5.53,10,666,0.00132538104705103,16
"AAAA00024","A",5.58,6,666,0.000795228628230616,16
"AAAA00024","A",5.59,10,666,0.00132538104705103,16
"AAAA00024","A",5.62,30,666,0.00397614314115308,16
"AAAA00024","A",5.63,7,666,0.000927766732935719,16
"AAAA00024","A",5.65,4,666,0.000530152418820411,16
"AAAA00024","A",5.66,6,666,0.000795228628230616,16
"AAAA00024","A",5.72,78,666,0.010337972166998,16
"AAAA00024","A",5.79,12,666,0.00159045725646123,16
"AAAA00024","A",5.81,11,666,0.00145791915175613,16
"AAAA00024","A",5.85,333,666,0.0441351888667992,16
"AAAA00024","A",5.86,51,666,0.00675944333996024,16
"AAAA00024","A",5.88,6,666,0.000795228628230616,16
"AAAA00024","A",5.9,58,666,0.00768721007289596,16
"AAAA00024","A",5.91,63,666,0.00834990059642147,16
"AAAA00024","A",5.95,14,666,0.00185553346587144,16
"AAAA00024","A",5.98,9,666,0.00119284294234592,16
"AAAA00024","A",5.99,52,666,0.00689198144466534,16
"AAAA00024","A",6.01,21,666,0.00278330019880716,16
"AAAA00024","A",6.02,67,666,0.00888005301524188,16
"AAAA00024","A",6.03,29,666,0.00384360503644798,16
"AAAA00024","A",6.04,65,666,0.00861497680583168,16
"AAAA00024","A",6.06,79,666,0.0104705102717031,16
"AAAA00024","A",6.11,2,666,0.000265076209410205,16
"AAAA00024","A",6.13,25,666,0.00331345261762757,16
"AAAA00024","A",6.16,29,666,0.00384360503644798,16
"AAAA00024","A",6.17,7,666,0.000927766732935719,16
"AAAA00024","A",6.26,7,666,0.000927766732935719,16
"AAAA00024","A",6.27,155,666,0.0205434062292909,16
"AAAA00024","A",6.32,21,666,0.00278330019880716,16
