"label","exposure_spline","mrbrt","rr","interpolated"
"lri",4.3,1.03405156762197,1.00396702885338,"not interpolated"
"lri",4.4,1.03483549434744,1.00440367627122,"not interpolated"
"lri",4.5,1.03561906119306,1.00485375265165,"not interpolated"
"lri",4.6,1.03640226831892,1.00532252914898,"not interpolated"
"lri",4.7,1.03718511588516,1.00580921886323,"not interpolated"
"lri",4.8,1.03796760405189,1.00631831817489,"not interpolated"
"lri",4.9,1.03874973297922,1.00684602174949,"not interpolated"
"lri",5,1.03953150282728,1.00740132949495,"not interpolated"
"lri",5.1,1.04031291375618,1.00797818145575,"not interpolated"
"lri",5.2,1.04109396592604,1.0085772921482,"not interpolated"
"lri",5.3,1.04187465949698,1.00919262509355,"not interpolated"
"lri",5.4,1.04265499462912,1.00982864674287,"not interpolated"
"lri",5.5,1.04343497148257,1.0104838261412,"not interpolated"
"lri",5.6,1.04421459021745,1.01115663669529,"not interpolated"
"lri",5.7,1.04499385099389,1.01184928748579,"not interpolated"
"lri",5.8,1.04577275397199,1.01256994415633,"not interpolated"
"lri",5.9,1.04655129931189,1.01331037059438,"not interpolated"
"lri",6,1.04732948717368,1.01406384138089,"not interpolated"
"lri",6.1,1.0481073177175,1.0148169661987,"not interpolated"
"lri",6.2,1.04888479110346,1.01556974520282,"not interpolated"
"lri",6.3,1.04966190749168,1.01632217854828,"not interpolated"
"lri",6.4,1.05043866704227,1.01707426639012,"not interpolated"
"lri",6.5,1.05121506991536,1.01782600888337,"not interpolated"
"lri",6.6,1.05199111627107,1.01857740618307,"not interpolated"
"lri",6.7,1.0527668062695,1.01932845844424,"not interpolated"
"lri",6.8,1.05354214007078,1.02007916582192,"not interpolated"
"lri",6.9,1.05431711783503,1.02082952847114,"not interpolated"
"lri",7,1.05509173972236,1.02157954654692,"not interpolated"
"lri",7.1,1.0558660058929,1.02232922020432,"not interpolated"
"lri",7.2,1.05663991650675,1.02307854959834,"not interpolated"
"lri",7.3,1.05741347172405,1.02382753488404,"not interpolated"
"lri",7.4,1.0581866717049,1.02457617621644,"not interpolated"
"lri",7.5,1.05895951660942,1.02532447375057,"not interpolated"
"lri",7.6,1.05973200659774,1.02607242764146,"not interpolated"
"lri",7.7,1.06050414182997,1.02682003804416,"not interpolated"
"lri",7.8,1.06127592246623,1.02756730511369,"not interpolated"
"lri",7.9,1.06204734866663,1.02831422900507,"not interpolated"
"lri",8,1.0628184205913,1.02906080987335,"not interpolated"
"lri",8.1,1.06358913840035,1.02980704787356,"not interpolated"
"lri",8.2,1.0643595022539,1.03055294316072,"not interpolated"
"lri",8.3,1.06512951231207,1.03129849588988,"not interpolated"
"lri",8.4,1.06589916873497,1.03204370621606,"not interpolated"
"lri",8.5,1.06666847168273,1.03278857429429,"not interpolated"
"lri",8.6,1.06743742131547,1.03353310027962,"not interpolated"
"lri",8.7,1.06820601779329,1.03427728432707,"not interpolated"
"lri",8.8,1.06897426127632,1.03502112659166,"not interpolated"
"lri",8.9,1.06974215192467,1.03576462722844,"not interpolated"
"lri",9,1.07050968989847,1.03650778639243,"not interpolated"
"lri",9.1,1.07127687535784,1.03725060423869,"not interpolated"
"lri",9.2,1.07204370846288,1.03799308092221,"not interpolated"
"lri",9.3,1.07281018937372,1.03873521659805,"not interpolated"
"lri",9.4,1.07357631825048,1.03947701142124,"not interpolated"
"lri",9.5,1.07434209525327,1.04021846554681,"not interpolated"
"lri",9.6,1.07510752054221,1.04095957912978,"not interpolated"
"lri",9.7,1.07587259427743,1.04170035232521,"not interpolated"
"lri",9.8,1.07663731661903,1.0424407852881,"not interpolated"
"lri",9.9,1.07740168772714,1.0431808781735,"not interpolated"
"lri",10,1.07816570776187,1.04392063113644,"not interpolated"
"lri",10.1,1.07892780041563,1.04465851793656,"interpolated"
"lri",10.2,1.07968989306939,1.04539640473668,"interpolated"
"lri",10.3,1.08045198572315,1.0461342915368,"interpolated"
"lri",10.4,1.08121407837691,1.04687217833691,"interpolated"
"lri",10.5,1.08197617103067,1.04761006513703,"interpolated"
"lri",10.6,1.08273826368443,1.04834795193715,"interpolated"
"lri",10.7,1.08350035633819,1.04908583873727,"interpolated"
"lri",10.8,1.08426244899195,1.04982372553739,"interpolated"
"lri",10.9,1.08502454164571,1.0505616123375,"interpolated"
"lri",11,1.08578663429947,1.05129949913762,"not interpolated"
"lri",11.1,1.08654523383245,1.05203400376668,"interpolated"
"lri",11.2,1.08730383336543,1.05276850839575,"interpolated"
"lri",11.3,1.0880624328984,1.05350301302481,"interpolated"
"lri",11.4,1.08882103243138,1.05423751765387,"interpolated"
"lri",11.5,1.08957963196436,1.05497202228293,"interpolated"
"lri",11.6,1.09033823149734,1.05570652691199,"interpolated"
"lri",11.7,1.09109683103032,1.05644103154105,"interpolated"
"lri",11.8,1.09185543056329,1.05717553617011,"interpolated"
"lri",11.9,1.09261403009627,1.05791004079917,"interpolated"
"lri",12,1.09337262962925,1.05864454542824,"not interpolated"
"lri",12.1,1.09412775205325,1.05937568338947,"interpolated"
"lri",12.2,1.09488287447724,1.0601068213507,"interpolated"
"lri",12.3,1.09563799690124,1.06083795931193,"interpolated"
"lri",12.4,1.09639311932523,1.06156909727316,"interpolated"
"lri",12.5,1.09714824174923,1.06230023523439,"interpolated"
"lri",12.6,1.09790336417322,1.06303137319562,"interpolated"
"lri",12.7,1.09865848659722,1.06376251115685,"interpolated"
"lri",12.8,1.09941360902121,1.06449364911808,"interpolated"
"lri",12.9,1.10016873144521,1.06522478707931,"interpolated"
"lri",13,1.1009238538692,1.06595592504055,"not interpolated"
"lri",13.1,1.10167551519601,1.06668371183717,"interpolated"
"lri",13.2,1.10242717652282,1.0674114986338,"interpolated"
"lri",13.3,1.10317883784963,1.06813928543042,"interpolated"
"lri",13.4,1.10393049917644,1.06886707222705,"interpolated"
"lri",13.5,1.10468216050325,1.06959485902368,"interpolated"
"lri",13.6,1.10543382183006,1.0703226458203,"interpolated"
"lri",13.7,1.10618548315687,1.07105043261693,"interpolated"
"lri",13.8,1.10693714448368,1.07177821941356,"interpolated"
"lri",13.9,1.10768880581049,1.07250600621018,"interpolated"
"lri",14,1.1084404671373,1.07323379300681,"not interpolated"
"lri",14.1,1.10918868337872,1.07395824414205,"interpolated"
"lri",14.2,1.10993689962014,1.0746826952773,"interpolated"
"lri",14.3,1.11068511586157,1.07540714641255,"interpolated"
"lri",14.4,1.11143333210299,1.07613159754779,"interpolated"
"lri",14.5,1.11218154834441,1.07685604868304,"interpolated"
"lri",14.6,1.11292976458583,1.07758049981829,"interpolated"
"lri",14.7,1.11367798082725,1.07830495095353,"interpolated"
"lri",14.8,1.11442619706868,1.07902940208878,"interpolated"
"lri",14.9,1.1151744133101,1.07975385322403,"interpolated"
"lri",15,1.11592262955152,1.08047830435927,"not interpolated"
