"label","exposure_spline","mean","rr"
"cvd_ihd_30",3.5,1.1191470966201,1.00512086852093
"cvd_ihd_30",3.6,1.12243353386345,1.00605504801651
"cvd_ihd_30",3.7,1.12571354998558,1.00711013621794
"cvd_ihd_30",3.8,1.12898715483032,1.00825621894147
"cvd_ihd_30",3.9,1.13225435824154,1.00948398434148
"cvd_ihd_30",4,1.13551517006307,1.01082166509848
"cvd_ihd_30",4.1,1.13876960013879,1.01222551279745
"cvd_ihd_30",4.2,1.14201765831253,1.01374070197069
"cvd_ihd_30",4.3,1.14525935442814,1.01534375751591
"cvd_ihd_30",4.4,1.14849469832949,1.01700299656646
"cvd_ihd_30",4.5,1.15172369986042,1.01870959008235
"cvd_ihd_30",4.6,1.15494636886478,1.02048278989926
"cvd_ihd_30",4.7,1.15816271518643,1.02231934707859
"cvd_ihd_30",4.8,1.16137274866921,1.02423544938642
"cvd_ihd_30",4.9,1.16457647915698,1.02621675367416
"cvd_ihd_30",5,1.16777391649358,1.02829575248912
"cvd_ihd_30",5.1,1.17096507052288,1.03044991360824
"cvd_ihd_30",5.2,1.17414995108872,1.03268143617956
"cvd_ihd_30",5.3,1.17732856803496,1.03496812769177
"cvd_ihd_30",5.4,1.18050093120544,1.03732576746965
"cvd_ihd_30",5.5,1.18366705044402,1.03974849922316
"cvd_ihd_30",5.6,1.18682693559454,1.04223053036132
"cvd_ihd_30",5.7,1.18998059650087,1.04477941742567
"cvd_ihd_30",5.8,1.19312804300684,1.04742379015189
"cvd_ihd_30",5.9,1.19626928495633,1.05013403505174
"cvd_ihd_30",6,1.19940433219316,1.05288610755439
"cvd_ihd_30",6.1,1.2025331945612,1.05563275072662
"cvd_ihd_30",6.2,1.2056558819043,1.05837397320976
"cvd_ihd_30",6.3,1.20877240406632,1.06110978364516
"cvd_ihd_30",6.4,1.21188277089109,1.06384019067413
"cvd_ihd_30",6.5,1.21498699222247,1.06656520293802
"cvd_ihd_30",6.6,1.21808507790432,1.06928482907816
"cvd_ihd_30",6.7,1.22117703778049,1.07199907773589
"cvd_ihd_30",6.8,1.22426288169482,1.07470795755254
"cvd_ihd_30",6.9,1.22734261949117,1.07741147716945
"cvd_ihd_30",7,1.23041626101339,1.08010964522794
"cvd_ihd_30",7.1,1.23348381610534,1.08280247036938
"cvd_ihd_30",7.2,1.23654529461086,1.08548996123507
"cvd_ihd_30",7.3,1.2396007063738,1.08817212646635
"cvd_ihd_30",7.4,1.24265006123802,1.09084897470457
"cvd_ihd_30",7.5,1.24569336904737,1.09352051459105
"cvd_ihd_30",7.6,1.2487306396457,1.09618675476714
"cvd_ihd_30",7.7,1.25176188287687,1.09884770387417
"cvd_ihd_30",7.8,1.25478710858471,1.10150337055346
"cvd_ihd_30",7.9,1.2578063266131,1.10415376344637
"cvd_ihd_30",8,1.26081954680586,1.1067988911942
"cvd_ihd_30",8.1,1.26382677900687,1.10943876243833
"cvd_ihd_30",8.2,1.26682803305997,1.11207338582006
"cvd_ihd_30",8.3,1.269823318809,1.11470276998073
"cvd_ihd_30",8.4,1.27281264609783,1.11732692356169
"cvd_ihd_30",8.5,1.27579602477031,1.11994585520427
"cvd_ihd_30",8.6,1.27877346467028,1.1225595735498
"cvd_ihd_30",8.7,1.2817449756416,1.12516808723961
"cvd_ihd_30",8.8,1.28471056752812,1.12777140491505
"cvd_ihd_30",8.9,1.28767025017369,1.13036953521744
"cvd_ihd_30",9,1.29062403342216,1.13296248678812
"cvd_ihd_30",9.1,1.29357192711739,1.13555026826843
"cvd_ihd_30",9.2,1.29651394110322,1.1381328882997
"cvd_ihd_30",9.3,1.29945008522351,1.14071035552326
"cvd_ihd_30",9.4,1.3023803693221,1.14328267858045
"cvd_ihd_30",9.5,1.30530480324286,1.14584986611262
"cvd_ihd_30",9.6,1.30822339682963,1.14841192676108
"cvd_ihd_30",9.7,1.31113615992627,1.15096886916718
"cvd_ihd_30",9.8,1.31404310237662,1.15352070197225
"cvd_ihd_30",9.9,1.31694423402453,1.15606743381762
"cvd_ihd_30",10,1.31983956471387,1.15860907334464
"cvd_ihd_30",11,1.34847598453257,1.18374729219872
"cvd_ihd_30",12,1.37654313672986,1.20838578468533
"cvd_ihd_30",13,1.40405086515731,1.23253319213939
"cvd_ihd_30",14,1.43100901366652,1.25619815589589
"cvd_ihd_30",15,1.45742742610907,1.27938931728976
"cvd_ihd_30",16,1.48331594633655,1.30211531765597
"cvd_ihd_30",17,1.50868441820053,1.32438479832946
"cvd_ihd_30",18,1.53354268555262,1.34620640064519
"cvd_ihd_30",19,1.55790059224438,1.36758876593811
"cvd_ihd_30",20,1.58176798212742,1.38854053554318
"cvd_ihd_30",21,1.60515469905331,1.40907035079535
"cvd_ihd_30",22,1.62807058687364,1.42918685302957
"cvd_ihd_30",23,1.65052548944,1.44889868358081
"cvd_ihd_30",24,1.67252925060397,1.468214483784
"cvd_ihd_30",24.9999999999999,1.69409171421713,1.4871428949741
"cvd_ihd_30",25.9999999999999,1.71522272413109,1.50569255848609
"cvd_ihd_30",26.9999999999999,1.73593212419741,1.52387211565489
"cvd_ihd_30",27.9999999999999,1.75622975826768,1.54169020781547
"cvd_ihd_30",28.9999999999999,1.7761254701935,1.55915547630278
"cvd_ihd_30",29.9999999999999,1.79562910382644,1.57627656245177
"cvd_ihd_30",30.9999999999999,1.8147505030181,1.59306210759741
"cvd_ihd_30",31.9999999999999,1.83349951161981,1.60952075307442
"cvd_ihd_30",32.9999999999999,1.85188595089508,1.62566112038902
"cvd_ihd_30",33.9999999999999,1.86991955761496,1.64149175687651
"cvd_ihd_30",34.9999999999999,1.88761004264737,1.65702118713333
"cvd_ihd_30",35.9999999999999,1.90496696585458,1.67225780319702
"cvd_ihd_30",36.9999999999999,1.9219996345259,1.68720977538626
"cvd_ihd_30",37.9999999999999,1.93871712215932,1.70188506878816
"cvd_ihd_30",38.9999999999999,1.95512844322238,1.71629159667048
"cvd_ihd_30",39.9999999999999,1.97124252038856,1.7304371917204
"cvd_ihd_30",40.9999999999999,1.9870681301864,1.74432955833313
"cvd_ihd_30",41.9999999999999,2.00261385918743,1.75797623415183
"cvd_ihd_30",42.9999999999999,2.01788779354483,1.77138431753202
"cvd_ihd_30",43.9999999999999,2.03289747477155,1.78456042872176
"cvd_ihd_30",44.9999999999999,2.04765024804929,1.79751101562154
"cvd_ihd_30",45.9999999999999,2.06215328932344,1.81024237756928
"cvd_ihd_30",46.9999999999999,2.07641345601107,1.82276053428575
"cvd_ihd_30",47.9999999999999,2.09043691086814,1.83507089568984
"cvd_ihd_30",48.9999999999999,2.10422936261605,1.84717847313033
"cvd_ihd_30",49.9999999999999,2.11779558077219,1.85908745348438
