variable.x,coeff,variable.y
WAAA00024,1,ET4001
WAAA00024,1,ET4002
WAAA00024,1,ET4003
WAAA00024,1,ET4004
WAAA00024,1,ET4005
WAAA00024,1,ET4006
WAAA00024,1,ET4007
WAAA00024,1,ET4008
WAAA00024,1,ET4009
WAAA00024,1,ET4010
WAAA00024,1,ET4011
WAAA00024,1,ET4012
WAAA00024,1,ET4013
WAAA00024,1,ET4014
WAAA00024,1,ET4015
WAAA00024,1,ET4016
WAAA00024,1,ET4017
WAAA00024,1,ET4032
WAAA00024,1,ET4033
WAAA00024,1,ET4034
WAAA00024,1,ET4035
WAAA00024,1,ET4036
WAAA00024,1,ET4037
WAAA00024,1,ET4038
WAAA00024,1,ET4039
WAAA00024,1,ET4040
WAAA00024,1,ET4041
WAAA00024,1,ET4042
WAAA00024,1,ET4043
WAAA00024,1,ET4044
WAAA00024,1,ET4045
WAAA00024,1,ET4046
WAAA00024,1,ET4047
WAAA00024,1,ET4048
IAAA00024,1,ET4125
IAAA00024,1,ET4126
IAAA00024,1,ET4127
IAAA00024,1,ET4128
IAAA00024,1,ET4129
IAAA00024,1,ET4130
IAAA00024,1,ET4131
IAAA00024,1,ET4132
IAAA00024,1,ET4133
IAAA00024,1,ET4134
IAAA00024,1,ET4135
IAAA00024,1,ET4136
IAAA00024,1,ET4137
IAAA00024,1,ET4138
IAAA00024,1,ET4139
IAAA00024,1,ET4140
IAAA00024,1,ET4141
IAAA00024,1,ET4156
IAAA00024,1,ET4157
IAAA00024,1,ET4158
IAAA00024,1,ET4159
IAAA00024,1,ET4160
IAAA00024,1,ET4161
IAAA00024,1,ET4162
IAAA00024,1,ET4163
IAAA00024,1,ET4164
IAAA00024,1,ET4165
IAAA00024,1,ET4166
IAAA00024,1,ET4167
IAAA00024,1,ET4168
IAAA00024,1,ET4169
IAAA00024,1,ET4170
IAAA00024,1,ET4171
IAAA00024,1,ET4172
AAAA00024,1,ET4187
AAAA00024,1,ET4188
AAAA00024,1,ET4189
AAAA00024,1,ET4190
AAAA00024,1,ET4191
AAAA00024,1,ET4192
AAAA00024,1,ET4193
AAAA00024,1,ET4194
AAAA00024,1,ET4195
AAAA00024,1,ET4196
AAAA00024,1,ET4197
AAAA00024,1,ET4198
AAAA00024,1,ET4199
AAAA00024,1,ET4200
AAAA00024,1,ET4201
AAAA00024,1,ET4202
AAAA00024,1,ET4203
AAAA00024,1,ET4218
AAAA00024,1,ET4219
AAAA00024,1,ET4220
AAAA00024,1,ET4221
AAAA00024,1,ET4222
AAAA00024,1,ET4223
AAAA00024,1,ET4224
AAAA00024,1,ET4225
AAAA00024,1,ET4226
AAAA00024,1,ET4227
AAAA00024,1,ET4228
AAAA00024,1,ET4229
AAAA00024,1,ET4230
AAAA00024,1,ET4231
AAAA00024,1,ET4232
AAAA00024,1,ET4233
AAAA00024,1,ET4234
BAAA00024,1,ET4063
BAAA00024,1,ET4064
BAAA00024,1,ET4065
BAAA00024,1,ET4066
BAAA00024,1,ET4067
BAAA00024,1,ET4068
BAAA00024,1,ET4069
BAAA00024,1,ET4070
BAAA00024,1,ET4071
BAAA00024,1,ET4072
BAAA00024,1,ET4073
BAAA00024,1,ET4074
BAAA00024,1,ET4075
BAAA00024,1,ET4076
BAAA00024,1,ET4077
BAAA00024,1,ET4078
BAAA00024,1,ET4079
BAAA00024,1,ET4094
BAAA00024,1,ET4095
BAAA00024,1,ET4096
BAAA00024,1,ET4097
BAAA00024,1,ET4098
BAAA00024,1,ET4099
BAAA00024,1,ET4100
BAAA00024,1,ET4101
BAAA00024,1,ET4102
BAAA00024,1,ET4103
BAAA00024,1,ET4104
BAAA00024,1,ET4105
BAAA00024,1,ET4106
BAAA00024,1,ET4107
BAAA00024,1,ET4108
BAAA00024,1,ET4109
BAAA00024,1,ET4110
WAAA25029,1,ET4018
WAAA25029,1,ET4049
IAAA25029,1,ET4142
IAAA25029,1,ET4173
AAAA25029,1,ET4204
AAAA25029,1,ET4235
BAAA25029,1,ET4080
BAAA25029,1,ET4111
WAAA30034,1,ET4019
WAAA30034,1,ET4050
IAAA30034,1,ET4143
IAAA30034,1,ET4174
AAAA30034,1,ET4205
AAAA30034,1,ET4236
BAAA30034,1,ET4081
BAAA30034,1,ET4112
WAAA35039,1,ET4020
WAAA35039,1,ET4051
IAAA35039,1,ET4144
IAAA35039,1,ET4175
AAAA35039,1,ET4206
AAAA35039,1,ET4237
BAAA35039,1,ET4082
BAAA35039,1,ET4113
WAAA40044,1,ET4021
WAAA40044,1,ET4052
IAAA40044,1,ET4145
IAAA40044,1,ET4176
AAAA40044,1,ET4207
AAAA40044,1,ET4238
BAAA40044,1,ET4083
BAAA40044,1,ET4114
WAAA45049,1,ET4022
WAAA45049,1,ET4053
IAAA45049,1,ET4146
IAAA45049,1,ET4177
AAAA45049,1,ET4208
AAAA45049,1,ET4239
BAAA45049,1,ET4084
BAAA45049,1,ET4115
WAAA50054,1,ET4023
WAAA50054,1,ET4054
IAAA50054,1,ET4147
IAAA50054,1,ET4178
AAAA50054,1,ET4209
AAAA50054,1,ET4240
BAAA50054,1,ET4085
BAAA50054,1,ET4116
WAAA55059,1,ET4024
WAAA55059,1,ET4055
IAAA55059,1,ET4148
IAAA55059,1,ET4179
AAAA55059,1,ET4210
AAAA55059,1,ET4241
BAAA55059,1,ET4086
BAAA55059,1,ET4117
WAAA60064,1,ET4025
WAAA60064,1,ET4026
WAAA60064,1,ET4056
WAAA60064,1,ET4057
IAAA60064,1,ET4149
IAAA60064,1,ET4150
IAAA60064,1,ET4180
IAAA60064,1,ET4181
AAAA60064,1,ET4211
AAAA60064,1,ET4212
AAAA60064,1,ET4242
AAAA60064,1,ET4243
BAAA60064,1,ET4087
BAAA60064,1,ET4088
BAAA60064,1,ET4118
BAAA60064,1,ET4119
WAAA65069,1,ET4027
WAAA65069,1,ET4058
IAAA65069,1,ET4151
IAAA65069,1,ET4182
AAAA65069,1,ET4213
AAAA65069,1,ET4244
BAAA65069,1,ET4089
BAAA65069,1,ET4120
WAAA70074,1,ET4028
WAAA70074,1,ET4059
IAAA70074,1,ET4152
IAAA70074,1,ET4183
AAAA70074,1,ET4214
AAAA70074,1,ET4245
BAAA70074,1,ET4090
BAAA70074,1,ET4121
WAAA75079,1,ET4029
WAAA75079,1,ET4060
IAAA75079,1,ET4153
IAAA75079,1,ET4184
AAAA75079,1,ET4215
AAAA75079,1,ET4246
BAAA75079,1,ET4091
BAAA75079,1,ET4122
WAAA80084,1,ET4030
WAAA80084,1,ET4061
IAAA80084,1,ET4154
IAAA80084,1,ET4185
AAAA80084,1,ET4216
AAAA80084,1,ET4247
BAAA80084,1,ET4092
BAAA80084,1,ET4123
WAAA85150,1,ET4031
WAAA85150,1,ET4062
IAAA85150,1,ET4155
IAAA85150,1,ET4186
AAAA85150,1,ET4217
AAAA85150,1,ET4248
BAAA85150,1,ET4093
BAAA85150,1,ET4124
UAAA00024,1,ET4001
UAAA00024,1,ET4002
UAAA00024,1,ET4003
UAAA00024,1,ET4004
UAAA00024,1,ET4005
UAAA00024,1,ET4006
UAAA00024,1,ET4007
UAAA00024,1,ET4008
UAAA00024,1,ET4009
UAAA00024,1,ET4010
UAAA00024,1,ET4011
UAAA00024,1,ET4012
UAAA00024,1,ET4013
UAAA00024,1,ET4014
UAAA00024,1,ET4015
UAAA00024,1,ET4016
UAAA00024,1,ET4017
UAAA00024,1,ET4125
UAAA00024,1,ET4126
UAAA00024,1,ET4127
UAAA00024,1,ET4128
UAAA00024,1,ET4129
UAAA00024,1,ET4130
UAAA00024,1,ET4131
UAAA00024,1,ET4132
UAAA00024,1,ET4133
UAAA00024,1,ET4134
UAAA00024,1,ET4135
UAAA00024,1,ET4136
UAAA00024,1,ET4137
UAAA00024,1,ET4138
UAAA00024,1,ET4139
UAAA00024,1,ET4140
UAAA00024,1,ET4141
UAAA00024,1,ET4187
UAAA00024,1,ET4188
UAAA00024,1,ET4189
UAAA00024,1,ET4190
UAAA00024,1,ET4191
UAAA00024,1,ET4192
UAAA00024,1,ET4193
UAAA00024,1,ET4194
UAAA00024,1,ET4195
UAAA00024,1,ET4196
UAAA00024,1,ET4197
UAAA00024,1,ET4198
UAAA00024,1,ET4199
UAAA00024,1,ET4200
UAAA00024,1,ET4201
UAAA00024,1,ET4202
UAAA00024,1,ET4203
UAAA00024,1,ET4063
UAAA00024,1,ET4064
UAAA00024,1,ET4065
UAAA00024,1,ET4066
UAAA00024,1,ET4067
UAAA00024,1,ET4068
UAAA00024,1,ET4069
UAAA00024,1,ET4070
UAAA00024,1,ET4071
UAAA00024,1,ET4072
UAAA00024,1,ET4073
UAAA00024,1,ET4074
UAAA00024,1,ET4075
UAAA00024,1,ET4076
UAAA00024,1,ET4077
UAAA00024,1,ET4078
UAAA00024,1,ET4079
UAAA00024,1,ET4249
UAAA00024,1,ET4250
UAAA00024,1,ET4251
UAAA00024,1,ET4252
UAAA00024,1,ET4253
UAAA00024,1,ET4254
UAAA00024,1,ET4255
UAAA00024,1,ET4256
UAAA00024,1,ET4257
UAAA00024,1,ET4258
UAAA00024,1,ET4259
UAAA00024,1,ET4260
UAAA00024,1,ET4261
UAAA00024,1,ET4262
UAAA00024,1,ET4263
UAAA00024,1,ET4264
UAAA00024,1,ET4265
UAAA00024,1,ET4032
UAAA00024,1,ET4033
UAAA00024,1,ET4034
UAAA00024,1,ET4035
UAAA00024,1,ET4036
UAAA00024,1,ET4037
UAAA00024,1,ET4038
UAAA00024,1,ET4039
UAAA00024,1,ET4040
UAAA00024,1,ET4041
UAAA00024,1,ET4042
UAAA00024,1,ET4043
UAAA00024,1,ET4044
UAAA00024,1,ET4045
UAAA00024,1,ET4046
UAAA00024,1,ET4047
UAAA00024,1,ET4048
UAAA00024,1,ET4156
UAAA00024,1,ET4157
UAAA00024,1,ET4158
UAAA00024,1,ET4159
UAAA00024,1,ET4160
UAAA00024,1,ET4161
UAAA00024,1,ET4162
UAAA00024,1,ET4163
UAAA00024,1,ET4164
UAAA00024,1,ET4165
UAAA00024,1,ET4166
UAAA00024,1,ET4167
UAAA00024,1,ET4168
UAAA00024,1,ET4169
UAAA00024,1,ET4170
UAAA00024,1,ET4171
UAAA00024,1,ET4172
UAAA00024,1,ET4218
UAAA00024,1,ET4219
UAAA00024,1,ET4220
UAAA00024,1,ET4221
UAAA00024,1,ET4222
UAAA00024,1,ET4223
UAAA00024,1,ET4224
UAAA00024,1,ET4225
UAAA00024,1,ET4226
UAAA00024,1,ET4227
UAAA00024,1,ET4228
UAAA00024,1,ET4229
UAAA00024,1,ET4230
UAAA00024,1,ET4231
UAAA00024,1,ET4232
UAAA00024,1,ET4233
UAAA00024,1,ET4234
UAAA00024,1,ET4094
UAAA00024,1,ET4095
UAAA00024,1,ET4096
UAAA00024,1,ET4097
UAAA00024,1,ET4098
UAAA00024,1,ET4099
UAAA00024,1,ET4100
UAAA00024,1,ET4101
UAAA00024,1,ET4102
UAAA00024,1,ET4103
UAAA00024,1,ET4104
UAAA00024,1,ET4105
UAAA00024,1,ET4106
UAAA00024,1,ET4107
UAAA00024,1,ET4108
UAAA00024,1,ET4109
