"variable","scenario","pm","pop_size","prop","STATEFP"
"AAAA00024","A",9.1,73,0.00535269101041208,19
"AAAA00024","A",9.11,10,0.000733245343892066,19
"AAAA00024","A",9.13,10,0.000733245343892066,19
"AAAA00024","A",9.25,11,0.000806569878281273,19
"AAAA00024","A",9.29,4,0.000293298137556826,19
"AAAA00024","A",9.34,14,0.00102654348144889,19
"AAAA00024","A",9.36,10,0.000733245343892066,19
"AAAA00024","A",9.37,1,7.33245343892066e-05,19
"AAAA00024","A",9.38,6,0.00043994720633524,19
"AAAA00024","A",9.46,42,0.00307963044434668,19
"AAAA00024","A",9.62,17,0.00124651708461651,19
"AAAA00024","A",9.65,6,0.00043994720633524,19
"AAAA00024","A",9.69,4,0.000293298137556826,19
"AAAA00024","A",9.74,8,0.000586596275113653,19
"AAAA00024","A",9.78,14,0.00102654348144889,19
"AAAA00024","A",9.86,37,0.00271300777240065,19
"AAAA00024","A",9.88,5,0.000366622671946033,19
"AAAA00024","A",9.89,13,0.000953218947059686,19
"AAAA00024","A",9.91,11,0.000806569878281273,19
"AAAA00024","A",9.96,5,0.000366622671946033,19
"AAAA00024","A",9.99,5,0.000366622671946033,19
"AAAA00024","A",10.04,6,0.00043994720633524,19
"AAAA00024","A",10.05,2,0.000146649068778413,19
"AAAA00024","A",10.06,88,0.00645255902625018,19
"AAAA00024","A",10.11,11,0.000806569878281273,19
"AAAA00024","A",10.14,16,0.00117319255022731,19
"AAAA00024","A",10.24,2,0.000146649068778413,19
"AAAA00024","A",10.25,7,0.000513271740724446,19
"AAAA00024","A",10.26,2,0.000146649068778413,19
"AAAA00024","A",10.41,10,0.000733245343892066,19
"AAAA00024","A",10.42,33,0.00241970963484382,19
"AAAA00024","A",10.45,6,0.00043994720633524,19
"AAAA00024","A",10.47,5,0.000366622671946033,19
"AAAA00024","A",10.6,10,0.000733245343892066,19
"AAAA00024","A",10.61,6,0.00043994720633524,19
"AAAA00024","A",10.63,8,0.000586596275113653,19
"AAAA00024","A",10.67,14,0.00102654348144889,19
"AAAA00024","A",10.78,37,0.00271300777240065,19
"AAAA00024","A",10.8,4,0.000293298137556826,19
"AAAA00024","A",10.83,6,0.00043994720633524,19
"AAAA00024","A",10.84,1,7.33245343892066e-05,19
"AAAA00024","A",10.85,3,0.00021997360316762,19
"AAAA00024","A",10.88,25,0.00183311335973017,19
"AAAA00024","A",10.9,27,0.00197976242850858,19
"AAAA00024","A",10.96,9,0.00065992080950286,19
"AAAA00024","A",11.02,30,0.0021997360316762,19
"AAAA00024","A",11.04,1,7.33245343892066e-05,19
"AAAA00024","A",11.09,3,0.00021997360316762,19
"AAAA00024","A",11.1,2,0.000146649068778413,19
"AAAA00024","A",11.12,5,0.000366622671946033,19
"AAAA00024","A",11.13,1,7.33245343892066e-05,19
"AAAA00024","A",11.15,3,0.00021997360316762,19
"AAAA00024","A",11.17,1,7.33245343892066e-05,19
"AAAA00024","A",11.24,14,0.00102654348144889,19
"AAAA00024","A",11.25,133,0.00975216307376448,19
"AAAA00024","A",11.29,3,0.00021997360316762,19
"AAAA00024","A",11.32,53,0.00388620032262795,19
"AAAA00024","A",11.34,6,0.00043994720633524,19
"AAAA00024","A",11.36,1,7.33245343892066e-05,19
"AAAA00024","A",11.42,2,0.000146649068778413,19
"AAAA00024","A",11.44,1,7.33245343892066e-05,19
"AAAA00024","A",11.48,3,0.00021997360316762,19
"AAAA00024","A",11.51,1,7.33245343892066e-05,19
"AAAA00024","A",11.52,11,0.000806569878281273,19
"AAAA00024","A",11.56,5,0.000366622671946033,19
"AAAA00024","A",11.59,2,0.000146649068778413,19
"AAAA00024","A",11.61,1,7.33245343892066e-05,19
"AAAA00024","A",11.62,3,0.00021997360316762,19
"AAAA00024","A",11.63,14,0.00102654348144889,19
"AAAA00024","A",11.64,10,0.000733245343892066,19
"AAAA00024","A",11.65,7,0.000513271740724446,19
"AAAA00024","A",11.66,23,0.00168646429095175,19
"AAAA00024","A",11.68,41,0.00300630590995747,19
"AAAA00024","A",11.69,9,0.00065992080950286,19
"AAAA00024","A",11.71,2,0.000146649068778413,19
"AAAA00024","A",11.72,20,0.00146649068778413,19
"AAAA00024","A",11.73,6,0.00043994720633524,19
"AAAA00024","A",11.76,2,0.000146649068778413,19
"AAAA00024","A",11.77,6,0.00043994720633524,19
"AAAA00024","A",11.79,9,0.00065992080950286,19
"AAAA00024","A",11.8,3,0.00021997360316762,19
"AAAA00024","A",11.84,17,0.00124651708461651,19
"AAAA00024","A",11.86,3,0.00021997360316762,19
"AAAA00024","A",11.88,21,0.00153981522217334,19
"AAAA00024","A",11.89,4,0.000293298137556826,19
"AAAA00024","A",11.9,7,0.000513271740724446,19
"AAAA00024","A",11.91,14,0.00102654348144889,19
"AAAA00024","A",11.96,15,0.0010998680158381,19
"AAAA00024","A",11.98,3,0.00021997360316762,19
"AAAA00024","A",12,3,0.00021997360316762,19
"AAAA00024","A",12.01,1,7.33245343892066e-05,19
"AAAA00024","A",12.03,6,0.00043994720633524,19
"AAAA00024","A",12.07,14,0.00102654348144889,19
"AAAA00024","A",12.08,26,0.00190643789411937,19
"AAAA00024","A",12.11,6,0.00043994720633524,19
"AAAA00024","A",12.13,1,7.33245343892066e-05,19
"AAAA00024","A",12.15,14,0.00102654348144889,19
"AAAA00024","A",12.16,2,0.000146649068778413,19
"AAAA00024","A",12.19,12,0.00087989441267048,19
"AAAA00024","A",12.21,14,0.00102654348144889,19
"AAAA00024","A",12.23,51,0.00373955125384954,19
"AAAA00024","A",12.24,3,0.00021997360316762,19
"AAAA00024","A",12.25,10,0.000733245343892066,19
"AAAA00024","A",12.26,68,0.00498606833846605,19
"AAAA00024","A",12.27,11,0.000806569878281273,19
"AAAA00024","A",12.3,4,0.000293298137556826,19
"AAAA00024","A",12.31,6,0.00043994720633524,19
"AAAA00024","A",12.34,4,0.000293298137556826,19
"AAAA00024","A",12.35,8,0.000586596275113653,19
"AAAA00024","A",12.36,1,7.33245343892066e-05,19
"AAAA00024","A",12.37,1,7.33245343892066e-05,19
"AAAA00024","A",12.38,11,0.000806569878281273,19
"AAAA00024","A",12.39,4,0.000293298137556826,19
"AAAA00024","A",12.44,13,0.000953218947059686,19
"AAAA00024","A",12.46,2,0.000146649068778413,19
"AAAA00024","A",12.47,13,0.000953218947059686,19
"AAAA00024","A",12.48,6,0.00043994720633524,19
"AAAA00024","A",12.49,7,0.000513271740724446,19
"AAAA00024","A",12.5,18,0.00131984161900572,19
"AAAA00024","A",12.51,10,0.000733245343892066,19
"AAAA00024","A",12.52,3,0.00021997360316762,19
"AAAA00024","A",12.54,8,0.000586596275113653,19
"AAAA00024","A",12.55,1,7.33245343892066e-05,19
"AAAA00024","A",12.56,1,7.33245343892066e-05,19
"AAAA00024","A",12.57,17,0.00124651708461651,19
"AAAA00024","A",12.58,31,0.00227306056606541,19
"AAAA00024","A",12.59,49,0.00359290218507112,19
"AAAA00024","A",12.6,17,0.00124651708461651,19
"AAAA00024","A",12.61,30,0.0021997360316762,19
"AAAA00024","A",12.62,17,0.00124651708461651,19
"AAAA00024","A",12.63,14,0.00102654348144889,19
"AAAA00024","A",12.64,9,0.00065992080950286,19
"AAAA00024","A",12.66,10,0.000733245343892066,19
"AAAA00024","A",12.67,61,0.0044727965977416,19
"AAAA00024","A",12.68,20,0.00146649068778413,19
"AAAA00024","A",12.69,46,0.0033729285819035,19
"AAAA00024","A",12.7,23,0.00168646429095175,19
"AAAA00024","A",12.71,26,0.00190643789411937,19
"AAAA00024","A",12.72,34,0.00249303416923303,19
"AAAA00024","A",12.73,42,0.00307963044434668,19
"AAAA00024","A",12.74,14,0.00102654348144889,19
"AAAA00024","A",12.75,24,0.00175978882534096,19
"AAAA00024","A",12.78,25,0.00183311335973017,19
"AAAA00024","A",12.79,4,0.000293298137556826,19
"AAAA00024","A",12.81,5,0.000366622671946033,19
"AAAA00024","A",12.82,6,0.00043994720633524,19
"AAAA00024","A",12.83,15,0.0010998680158381,19
"AAAA00024","A",12.84,9,0.00065992080950286,19
"AAAA00024","A",12.85,33,0.00241970963484382,19
"AAAA00024","A",12.86,14,0.00102654348144889,19
"AAAA00024","A",12.87,22,0.00161313975656255,19
