"variable","scenario","pm","pop_size","rural_urban_class","prop","STATEFP"
"AAAA00024","A",9.91,2,666,3.07389647116685e-05,25
"AAAA00024","A",10.15,5,666,7.68474117791713e-05,25
"AAAA00024","A",10.17,9,666,0.000138325341202508,25
"AAAA00024","A",10.2,17,666,0.000261281200049182,25
"AAAA00024","A",10.22,10,666,0.000153694823558343,25
"AAAA00024","A",10.26,4,666,6.1477929423337e-05,25
"AAAA00024","A",10.37,8,666,0.000122955858846674,25
"AAAA00024","A",10.44,7,666,0.00010758637649084,25
"AAAA00024","A",10.47,174,666,0.00267428992991516,25
"AAAA00024","A",10.49,8,666,0.000122955858846674,25
"AAAA00024","A",10.51,11,666,0.000169064305914177,25
"AAAA00024","A",10.52,1,666,1.53694823558343e-05,25
"AAAA00024","A",10.56,1,666,1.53694823558343e-05,25
"AAAA00024","A",10.67,14,666,0.00021517275298168,25
"AAAA00024","A",10.79,19,666,0.000292020164760851,25
"AAAA00024","A",10.81,9,666,0.000138325341202508,25
"AAAA00024","A",10.86,6,666,9.22168941350055e-05,25
"AAAA00024","A",10.9,6,666,9.22168941350055e-05,25
"AAAA00024","A",10.94,24,666,0.000368867576540022,25
"AAAA00024","A",10.95,5,666,7.68474117791713e-05,25
"AAAA00024","A",10.96,7,666,0.00010758637649084,25
"AAAA00024","A",11.01,37,666,0.000568670847165867,25
"AAAA00024","A",11.05,15,666,0.000230542235337514,25
"AAAA00024","A",11.08,2,666,3.07389647116685e-05,25
"AAAA00024","A",11.09,15,666,0.000230542235337514,25
"AAAA00024","A",11.1,13,666,0.000199803270625845,25
"AAAA00024","A",11.11,9,666,0.000138325341202508,25
"AAAA00024","A",11.12,2,666,3.07389647116685e-05,25
"AAAA00024","A",11.13,34,666,0.000522562400098365,25
"AAAA00024","A",11.14,35,666,0.000537931882454199,25
"AAAA00024","A",11.16,4,666,6.1477929423337e-05,25
"AAAA00024","A",11.18,14,666,0.00021517275298168,25
"AAAA00024","A",11.22,15,666,0.000230542235337514,25
"AAAA00024","A",11.25,16,666,0.000245911717693348,25
"AAAA00024","A",11.26,2,666,3.07389647116685e-05,25
"AAAA00024","A",11.27,70,666,0.0010758637649084,25
"AAAA00024","A",11.29,11,666,0.000169064305914177,25
"AAAA00024","A",11.3,19,666,0.000292020164760851,25
"AAAA00024","A",11.31,20,666,0.000307389647116685,25
"AAAA00024","A",11.32,7,666,0.00010758637649084,25
"AAAA00024","A",11.33,30,666,0.000461084470675028,25
"AAAA00024","A",11.35,8,666,0.000122955858846674,25
"AAAA00024","A",11.36,15,666,0.000230542235337514,25
"AAAA00024","A",11.39,6,666,9.22168941350055e-05,25
"AAAA00024","A",11.4,6,666,9.22168941350055e-05,25
"AAAA00024","A",11.41,18,666,0.000276650682405017,25
"AAAA00024","A",11.44,5,666,7.68474117791713e-05,25
"AAAA00024","A",11.45,14,666,0.00021517275298168,25
"AAAA00024","A",11.47,35,666,0.000537931882454199,25
"AAAA00024","A",11.48,27,666,0.000414976023607525,25
"AAAA00024","A",11.49,23,666,0.000353498094184188,25
"AAAA00024","A",11.53,2,666,3.07389647116685e-05,25
"AAAA00024","A",11.54,6,666,9.22168941350055e-05,25
"AAAA00024","A",11.56,10,666,0.000153694823558343,25
"AAAA00024","A",11.57,36,666,0.000553301364810033,25
"AAAA00024","A",11.58,8,666,0.000122955858846674,25
"AAAA00024","A",11.59,16,666,0.000245911717693348,25
"AAAA00024","A",11.61,11,666,0.000169064305914177,25
"AAAA00024","A",11.62,10,666,0.000153694823558343,25
"AAAA00024","A",11.63,45,666,0.000691626706012541,25
"AAAA00024","A",11.64,14,666,0.00021517275298168,25
"AAAA00024","A",11.65,12,666,0.000184433788270011,25
"AAAA00024","A",11.68,8,666,0.000122955858846674,25
"AAAA00024","A",11.69,70,666,0.0010758637649084,25
"AAAA00024","A",11.71,21,666,0.000322759129472519,25
"AAAA00024","A",11.72,20,666,0.000307389647116685,25
"AAAA00024","A",11.73,12,666,0.000184433788270011,25
"AAAA00024","A",11.74,34,666,0.000522562400098365,25
"AAAA00024","A",11.75,24,666,0.000368867576540022,25
"AAAA00024","A",11.76,11,666,0.000169064305914177,25
"AAAA00024","A",11.77,5,666,7.68474117791713e-05,25
"AAAA00024","A",11.78,40,666,0.00061477929423337,25
"AAAA00024","A",11.79,9,666,0.000138325341202508,25
"AAAA00024","A",11.8,23,666,0.000353498094184188,25
"AAAA00024","A",11.82,15,666,0.000230542235337514,25
"AAAA00024","A",11.83,27,666,0.000414976023607525,25
"AAAA00024","A",11.84,36,666,0.000553301364810033,25
"AAAA00024","A",11.85,13,666,0.000199803270625845,25
