Year,Gender.Code,Race,Hispanic.Origin,rural_urban_class,STATEFP,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1998,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1998,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1998,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1998,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,438022.892741033,450361.565775992,462700.23881095
1998,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,355682.661697267,365701.891604232,375721.121511198
1998,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,254765.113402029,261941.595469691,269118.077537354
1998,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2109.69643226621,2169.12450078075,2228.55256929529
1998,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1125.43944029747,1157.14195974247,1188.84447918747
1998,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,803.885314498191,826.529971244619,849.174627991047
1998,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,7350.81740238827,7557.88268132878,7764.9479602693
1998,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,6764.49147267824,6955.04052824664,7145.58958381504
1998,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,4831.7796233416,4967.88609160474,5103.99255986789
1998,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2870.53420000066,2951.39431831054,3032.25443662042
1998,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2870.53420000066,2951.39431831054,3032.25443662042
1998,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2870.53420000066,2951.39431831054,3032.25443662042
1998,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2172.5421829364,2233.74055428672,2294.93892563704
1998,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2172.5421829364,2233.74055428672,2294.93892563704
1998,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2172.5421829364,2233.74055428672,2294.93892563704
1998,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1152.89636543239,1185.37231938823,1217.84827334407
1998,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1086.79352910385,1117.40743133213,1148.02133356041
1998,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,818.062456572629,841.10646943383,864.150482295031
1998,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3989623.98204254,4102007.75618458,4214391.53032662
1998,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2888042.17934827,2969395.48017498,3050748.78100169
1998,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2062887.27096305,2120996.77155356,2179106.27214407
1998,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,878.963099713765,903.722623649364,928.482147584963
1998,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,741.323634004547,762.205989891999,783.088345779451
1998,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,561.498719209827,577.315584539681,593.132449869536
1998,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,5687.13311636886,5847.33404922432,6007.53498207978
1998,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,3675.12337436696,3778.6479764618,3882.17257855665
1998,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2625.08812454783,2699.03426890129,2772.98041325475
1998,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,7782.75632903652,8001.98890168544,8221.22147433436
1998,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,5417.74659015302,5570.35917015733,5722.97175016164
1998,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,3869.81899296644,3978.82797868381,4087.83696440117
1998,A,All,All Origins,1,48,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,275.530027429275,283.291436652635,291.052845875995
1998,A,All,All Origins,1,48,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,244.034751971735,250.908970337136,257.783188702537
1998,A,All,All Origins,1,48,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,187.157332770138,192.429370312959,197.70140785578
1998,A,All,All Origins,1,51,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1446.44540691288,1487.19034795268,1527.93528899248
1998,A,All,All Origins,1,51,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1200.17558874762,1233.98335181094,1267.79111487425
1998,A,All,All Origins,1,51,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,858.784918739026,882.976043210548,907.16716768207
1998,A,All,All Origins,1,55,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,648.072508876516,666.32807250684,684.583636137165
1998,A,All,All Origins,1,55,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,648.072508876516,666.32807250684,684.583636137165
1998,A,All,All Origins,1,55,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,648.072508876516,666.32807250684,684.583636137165
1998,A,All,All Origins,2,4,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,4,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,4,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,5,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,884.384560687307,909.296801833429,934.20904297955
1998,A,All,All Origins,2,5,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,789.309792106806,811.543870757702,833.777949408598
1998,A,All,All Origins,2,5,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,589.585142395528,606.193174575684,622.801206755839
1998,A,All,All Origins,2,6,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1471448.15897129,1512897.40288598,1554346.64680066
1998,A,All,All Origins,2,6,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1446071.24020237,1486805.64133483,1527540.0424673
1998,A,All,All Origins,2,6,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1110151.56712805,1141423.44225842,1172695.31738879
1998,A,All,All Origins,2,8,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,653.012701318132,671.407425298924,689.802149279717
1998,A,All,All Origins,2,8,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,653.012701318132,671.407425298924,689.802149279717
1998,A,All,All Origins,2,8,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,653.012701318132,671.407425298924,689.802149279717
1998,A,All,All Origins,2,9,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1576.55159408163,1620.96149814027,1665.37140219891
1998,A,All,All Origins,2,9,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1517.20533920003,1559.94351776905,1602.68169633806
1998,A,All,All Origins,2,9,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1095.0607578922,1125.90753980465,1156.75432171711
1998,A,All,All Origins,2,12,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,657.913294341758,676.446063196456,694.978832051153
1998,A,All,All Origins,2,12,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,635.218554857913,653.112035276446,671.005515694979
1998,A,All,All Origins,2,12,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,501.617238653791,515.747301714461,529.877364775131
1998,A,All,All Origins,2,13,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1645.50513207239,1691.85738931387,1738.20964655534
1998,A,All,All Origins,2,13,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1124.09876740964,1155.76352142118,1187.42827543272
1998,A,All,All Origins,2,13,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,802.927691006885,825.545372443699,848.163053880513
1998,A,All,All Origins,2,17,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2541.43165071551,2613.02127467932,2684.61089864314
1998,A,All,All Origins,2,17,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1946.95831146611,2001.80220756375,2056.64610366139
1998,A,All,All Origins,2,17,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1390.68450819008,1429.85871968839,1469.03293118671
1998,A,All,All Origins,2,18,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1910.95002911397,1964.77960739887,2018.60918568377
1998,A,All,All Origins,2,18,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1240.46224548983,1275.40484395434,1310.34744241884
1998,A,All,All Origins,2,18,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,886.044461064167,911.003459967383,935.962458870599
1998,A,All,All Origins,2,20,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,817.606629003204,840.637801651181,863.668974299159
1998,A,All,All Origins,2,20,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,817.606629003204,840.637801651181,863.668974299159
1998,A,All,All Origins,2,20,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,817.606629003204,840.637801651181,863.668974299159
1998,A,All,All Origins,2,21,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,327.20085845097,336.417784041138,345.634709631306
1998,A,All,All Origins,2,21,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,212.397829915297,218.3808673777,224.363904840102
1998,A,All,All Origins,2,21,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,151.712735653784,155.986333841214,160.259932028645
1998,A,All,All Origins,2,22,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,709.213088157902,729.190921627138,749.168755096375
1998,A,All,All Origins,2,22,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,641.139695044833,659.199968144687,677.260241244542
1998,A,All,All Origins,2,22,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,458.730303571815,471.652283954119,484.574264336424
1998,A,All,All Origins,2,24,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,27.8021603113201,28.5853197567094,29.3684792020987
1998,A,All,All Origins,2,24,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,17.7577211111546,18.2579386072435,18.7581561033324
1998,A,All,All Origins,2,24,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,12.6840865079676,13.0413847194596,13.3986829309517
1998,A,All,All Origins,2,27,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,142.897825011226,146.923115856613,150.948406701999
1998,A,All,All Origins,2,27,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,142.897825011226,146.923115856613,150.948406701999
1998,A,All,All Origins,2,27,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,142.897825011226,146.923115856613,150.948406701999
1998,A,All,All Origins,2,28,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2122.31149935665,2182.09492187374,2241.87834439083
1998,A,All,All Origins,2,28,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1705.47450794157,1753.51604337654,1801.55757881152
1998,A,All,All Origins,2,28,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1218.19607710112,1252.51145955467,1286.82684200823
1998,A,All,All Origins,2,29,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,255.012352891658,262.195799451987,269.379246012315
1998,A,All,All Origins,2,29,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,247.069915631406,254.029631564685,260.989347497964
1998,A,All,All Origins,2,29,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,205.567412946996,211.358044297615,217.148675648235
1998,A,All,All Origins,2,31,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,626.120909694558,643.758118418349,661.395327142139
1998,A,All,All Origins,2,31,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,626.120909694558,643.758118418349,661.395327142139
1998,A,All,All Origins,2,31,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,626.120909694558,643.758118418349,661.395327142139
1998,A,All,All Origins,2,37,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,5629.42842900628,5788.00387771068,5946.57932641508
1998,A,All,All Origins,2,37,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,5629.42842900628,5788.00387771068,5946.57932641508
1998,A,All,All Origins,2,37,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,4453.91473449124,4579.37712137832,4704.83950826539
1998,A,All,All Origins,2,38,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,99.4968053791166,102.299532291204,105.102259203292
1998,A,All,All Origins,2,38,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,99.4968053791166,102.299532291204,105.102259203292
1998,A,All,All Origins,2,38,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,99.4968053791166,102.299532291204,105.102259203292
1998,A,All,All Origins,2,39,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,4493.31594077206,4619.88822079381,4746.46050081555
1998,A,All,All Origins,2,39,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2886.16791833137,2967.4684230731,3048.76892781483
1998,A,All,All Origins,2,39,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2061.54851309384,2119.62030219507,2177.69209129631
1998,A,All,All Origins,2,40,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,646.837001203018,665.057761800287,683.278522397555
1998,A,All,All Origins,2,40,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,646.837001203018,665.057761800287,683.278522397555
1998,A,All,All Origins,2,40,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,646.837001203018,665.057761800287,683.278522397555
1998,A,All,All Origins,2,42,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1747.02367270715,1796.23560714961,1845.44754159206
1998,A,All,All Origins,2,42,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1315.43265098612,1352.48709185897,1389.54153273182
1998,A,All,All Origins,2,42,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,939.594750704371,966.062208470692,992.529666237012
1998,A,All,All Origins,2,45,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3867.01944414841,3975.94956933569,4084.87969452296
1998,A,All,All Origins,2,45,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2369.36742777865,2436.11017222312,2502.85291666759
1998,A,All,All Origins,2,45,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1692.40530555618,1740.07869444508,1787.75208333399
1998,A,All,All Origins,2,46,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,92.4127454213669,95.0159213487293,97.6190972760918
1998,A,All,All Origins,2,46,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,92.4127454213669,95.0159213487293,97.6190972760918
1998,A,All,All Origins,2,46,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,92.4127454213669,95.0159213487293,97.6190972760918
1998,A,All,All Origins,2,47,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,818.960161229425,842.029461545747,865.098761862069
1998,A,All,All Origins,2,47,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,542.184756557093,557.457566600955,572.730376644817
1998,A,All,All Origins,2,47,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,387.27482611221,398.183976143539,409.093126174869
1998,A,All,All Origins,2,48,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2324.55874644236,2390.03927451115,2455.51980257995
1998,A,All,All Origins,2,48,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2324.55874644236,2390.03927451115,2455.51980257995
1998,A,All,All Origins,2,48,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2262.29473704792,2326.02134935913,2389.74796167034
1998,A,All,All Origins,2,49,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,49,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,49,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1998,A,All,All Origins,2,54,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,169.929288315758,174.716028831695,179.502769347632
1998,A,All,All Origins,2,54,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,127.87740642944,131.479586892241,135.081767355042
1998,A,All,All Origins,2,54,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,91.5137808938358,94.0916338767608,96.6694868596857
1998,A,All,All Origins,2,55,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,393.163926916587,404.23896711142,415.314007306254
1998,A,All,All Origins,2,55,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,393.163926916587,404.23896711142,415.314007306254
1998,A,All,All Origins,2,55,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,393.163926916587,404.23896711142,415.314007306254
1998,A,All,All Origins,3,17,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,107.837939653525,110.87562809447,113.913316535414
1998,A,All,All Origins,3,17,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,95.1102710444134,97.7894336090447,100.468596173676
1998,A,All,All Origins,3,17,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,68.2540864311801,70.1767367531852,72.0993870751903
1998,A,All,All Origins,3,36,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,54.4708080620719,56.0051970215669,57.5395859810619
1998,A,All,All Origins,3,36,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,54.0261260109277,55.5479887154608,57.069851419994
1998,A,All,All Origins,3,36,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,51.4501976398688,52.8994989818369,54.3488003238051
1998,A,All,All Origins,3,37,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,52.7928897891254,54.2800134451571,55.7671371011888
1998,A,All,All Origins,3,37,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,44.905642251549,46.1705899206067,47.4355375896644
1998,A,All,All Origins,3,37,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,34.2833048389194,35.2490317357903,36.2147586326613
1998,A,All,All Origins,3,39,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,133.515886383023,137.276897267052,141.037908151081
1998,A,All,All Origins,3,39,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,98.9285088318106,101.715227390453,104.501945949096
