Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,2,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,822.246508569758,25,150,C,di_gee,0,0,0
1991,2,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,822.246508569758,25,150,C,di_gee,0,0,0
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,A,di_coxme,34.8121425086206,27.1969863348598,42.4272986823813
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,A,di_coxme,50.7677078250717,42.0646721979166,59.4707434522268
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,B,di_coxme,29.3514274896359,22.930802726278,35.7720522529937
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,B,di_coxme,42.8041650890523,35.4663082166434,50.1420219614612
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,C,di_coxme,13.8842516268999,10.8470715835155,16.9214316702842
1991,4,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,505.286890894325,25,150,C,di_coxme,20.2478669558956,16.7768040491707,23.7189298626206
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,A,di_gee,157.619364093918,150.799295455239,164.439432732597
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,A,di_gee,163.681647328299,156.103793285322,170.501715966978
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,B,di_gee,134.986297945068,129.145544668599,140.827051221538
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,B,di_gee,140.178078635263,133.688352772519,146.018831911733
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,C,di_gee,64.9079835206766,62.099465002955,67.7165020383982
1991,4,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1098.02153666098,25,150,C,di_gee,67.404444425318,64.2838682945162,70.2129629430396
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,A,di_gee,32.9978390869645,31.4265134161567,34.0453895341697
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,A,di_gee,35.6167152049776,34.0453895341697,36.6642656521828
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,B,di_gee,28.014599552751,26.68057100262,28.903951919505
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,B,di_gee,30.237980469636,28.903951919505,31.12733283639
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,C,di_gee,13.6931117955756,13.0410588529292,14.1278137573399
1991,4,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,804.547860218112,25,150,C,di_gee,14.7798666999864,14.1278137573399,15.2145686617507
1991,5,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1198.64481807162,25,150,A,di_coxme,125.177483761117,97.7949091883725,152.560058333861
