Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,method,mean,lower,upper,attr,min_age,max_age
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5663474224434,47.6978307214532,67.4348641234337,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,39.4761942608932,30.8407767663228,48.1116117554635,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5694499638025,47.7004013985793,67.4384985290258,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,39.4669383822004,30.833545611094,48.1003311533067,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5559518073755,47.6892172118255,67.4226864029256,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,39.4766432718643,30.8411275561439,48.1121589875845,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5701047714686,47.7009439535026,67.4392655894347,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,39.4700121556603,30.8359469966096,48.104077314711,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5604343936712,47.6929313547562,67.4279374325863,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,39.4758962254958,30.8405439261685,48.111248524823,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,57.5690153288479,47.7000412724741,67.4379893852219,attributable,25,150
