Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2000,1,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,120.455028573906,170.128436326734,215.677030551505,EPA,attributable
2000,1,Black or African American,All Origins,A,666,nvss,YLL,absolute number,36908.3132210994,52128.6133929257,66085.040138507,EPA,attributable
2000,1,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,43541.7286641447,61497.5256765542,77962.2972535363,EPA,attributable
2000,1,Black or African American,All Origins,A,666,nvss,YLL,crude rate,3152.89400556283,4453.08870389937,5645.31696861629,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,703.598091168095,993.69291656204,1259.72438761794,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,1268.53745870371,1791.55785515958,2271.19373033399,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,112.138086916512,158.372832508346,200.77240777477,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,YLL,absolute number,15934.8799730431,22504.8611618479,28529.862669868,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,32321.0677332633,45647.1051661689,57867.7483189984,EPA,attributable
2000,1,Black or African American,All Origins,F,666,nvss,YLL,crude rate,2539.66998752756,3586.78073276413,4547.03368293459,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,706.355503611474,997.708397820604,1264.83779290392,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,2189.82426153425,3093.0686379783,3921.21597643831,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,130.041257858653,183.679824628502,232.858803726204,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,YLL,absolute number,20965.1894822669,29612.7735982974,37541.385119792,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,58835.229586801,83103.1999415727,105353.496299078,EPA,attributable
2000,1,Black or African American,All Origins,M,666,nvss,YLL,crude rate,3859.72728686857,5451.76233173976,6911.43329070619,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,9.04908911590651,12.7913741161877,16.2180233028474,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,317.668341738148,449.041284928772,569.333830499034,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,13.5701054464437,19.1820738350845,24.3207115692631,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,362.796732279898,512.832691918705,650.214157795136,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,8755.57136168684,12376.4709855105,15691.9728112718,EPA,attributable
2000,1,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,544.053644472285,769.049085115927,975.067719085741,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,2.87217185479012,4.06100874842917,5.1490976494424,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,275.566829214956,389.628253738527,494.023541874276,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,10.2358227184252,14.4725899801467,18.3503123643706,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,87.2537938840822,123.369505103233,156.424590069068,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,6713.30305143064,9492.04427905245,12035.301057792,EPA,attributable
2000,1,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,310.954361668148,439.663239854716,557.464683068666,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,6.18602479160977,8.7425137013003,11.084191927973,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,344.995003522967,487.570555693619,618.166102151229,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,16.0160128200336,22.6349256972357,28.6976800123576,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,276.135501454049,390.253593576245,494.78283701596,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,10196.7453555167,14410.738557043,18270.6481736881,EPA,attributable
2000,1,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,714.932429199589,1010.39144981422,1281.0243294738,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,4349.30137183346,6153.61342195349,7803.15340792299,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,1250.16818311617,1768.80171172868,2242.94738040825,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,137.93416191167,195.156287762085,247.469957487983,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,93879.0615930126,132824.884750544,168429.974557803,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,30526.5474903777,43190.5164308033,54768.1829142247,EPA,attributable
2000,1,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,2977.28958626465,4212.42116670273,5341.60440844341,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,2208.72366908583,3124.89126557131,3962.52768847407,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,976.342925360824,1381.32511656614,1751.59343350058,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,136.703738444541,193.407769480325,245.251298877334,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,40795.5048057656,57717.2773699088,73188.5656955133,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,22785.2430963158,32236.4486477686,40877.5248445331,EPA,attributable
2000,1,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,2524.94148396056,3572.27465786731,4529.83353327833,EPA,attributable
2000,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,2140.54628064593,3028.68021148894,3840.57300094366,EPA,attributable
2000,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,1610.2571100152,2278.36879240039,2889.12696596113,EPA,attributable
