Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,A,513.705405943601,2068.1704860804,3992.48052177093,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,B,337.698663595673,1415.45515614748,2833.40573493337,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,60.7744549031957,244.677070718257,472.334580510321,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,39.9517933120952,167.456901483776,335.209026550656,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,A,86.9833512440505,350.193705851444,676.028189585294,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,B,57.1809467650684,239.672449604114,479.767437537293,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,absolute number,A,12964.9160852582,52196.5634229354,100762.371464066,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,absolute number,B,8522.85139491486,35723.3097210443,71509.5990111761,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,A,1511.35779372659,6084.70447600487,11746.1612882902,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,B,993.533455656119,4164.36961177094,8336.08093419854,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,crude rate,A,2195.28904435446,8838.20173472734,17061.6245183228,EPA,attributable,25,150
1993,1,Black or African American,All Origins,A,666,nvss,YLL,crude rate,B,1443.13485493302,6048.86217102951,12108.3883800772,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,absolute number,A,1449.23202648492,5867.82485871776,11385.3202161557,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,absolute number,B,1000.25691028821,4192.5738947163,8392.58129738215,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,45.6813835582823,184.960277667931,358.877785077354,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,31.5291952845712,132.154529213317,264.543370753178,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,crude rate,A,70.4604197137463,285.288618244808,553.544516230077,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,Deaths,crude rate,B,48.6316341569032,203.83935139711,408.040113583175,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,absolute number,A,31236.7371750528,126475.056824115,245399.113976571,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,absolute number,B,21559.5305949638,90366.7090175244,180893.639814491,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,age-adjusted rate,A,962.10723467185,3895.49543840309,7558.41628451138,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,age-adjusted rate,B,664.044398917241,2783.34014311465,5571.61519771798,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,crude rate,A,1518.70340402327,6149.10892409797,11931.0947123556,EPA,attributable,25,150
1993,1,White,All Origins,A,666,nvss,YLL,crude rate,B,1048.2059096065,4393.55198419705,8794.89381406442,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,absolute number,A,19.0240658548717,84.3361650105314,177.601981036636,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,absolute number,B,19.0240658548717,84.3361650105314,177.601981036636,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,7.76894977715805,34.4407675710998,72.5281799129215,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,7.76894977715805,34.4407675710998,72.5281799129215,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,crude rate,A,5.32100027267004,23.5886881616353,49.6749851862333,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,Deaths,crude rate,B,5.32100027267004,23.5886881616353,49.6749851862333,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,absolute number,A,577.255630856402,2559.0494959676,5389.05533584432,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,absolute number,B,577.255630856402,2559.0494959676,5389.05533584432,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,163.606101861031,725.287186689817,1527.36896633271,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,age-adjusted rate,B,163.606101861031,725.287186689817,1527.36896633271,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,crude rate,A,161.457460913943,715.761981150456,1507.31001092063,EPA,attributable,25,150
1993,2,All,All Origins,A,666,nvss,YLL,crude rate,B,161.457460913943,715.761981150456,1507.31001092063,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,A,4.40396809747384,19.5233649317166,41.1138956572316,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,B,4.40396809747384,19.5233649317166,41.1138956572316,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,10.2222714760019,45.3166626187731,95.4315275547322,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,10.2222714760019,45.3166626187731,95.4315275547322,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,A,9.32826692396654,41.3534238455373,87.0854158082473,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,B,9.32826692396654,41.3534238455373,87.0854158082473,EPA,attributable,25,150
1993,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,A,140.340642250797,622.148370008732,1310.17082645941,EPA,attributable,25,150
