Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2007,A,All,25,34,All Origins,666,us,all-cause,overall,14.6453219902674,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,all-cause,overall,30.3973764793089,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,all-cause,overall,56.8687882095565,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,all-cause,overall,75.8196056253808,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,all-cause,overall,130.775768500009,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,all-cause,overall,223.873055946116,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,all-cause,overall,219.735857855373,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.358793319621703,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,cvd_ihd,total,2.37102500319863,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,cvd_ihd,total,7.51043357270993,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,cvd_ihd,total,12.2059538718799,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,cvd_ihd,total,21.2178079408979,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,cvd_ihd,total,39.8678138705339,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,cvd_ihd,total,45.9273383564879,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,cvd_stroke,total,0.0856870820409586,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,cvd_stroke,total,0.440387496587694,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,cvd_stroke,total,1.08905122572206,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,cvd_stroke,total,1.40479346551175,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,cvd_stroke,total,2.80148546405795,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,cvd_stroke,total,6.32999193243481,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,cvd_stroke,total,6.75237304658244,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,lri,total,0.0218484990064596,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,lri,total,0.0452166627212559,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,lri,total,0.0730330210543397,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,lri,total,0.109033463577402,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,lri,total,0.167613106620674,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,lri,total,0.328234493708933,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,lri,total,0.384363956575584,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,ncd_lri,total,4.65338890557891,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,ncd_lri,total,16.9007726149474,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,ncd_lri,total,43.0713775975133,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,ncd_lri,total,67.4609001494881,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,ncd_lri,total,122.330749736033,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,ncd_lri,total,210.471974784908,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,ncd_lri,total,205.391604257373,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,neo_lung,total,0.0481349743736062,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,neo_lung,total,0.70712780944754,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,neo_lung,total,3.83822280398185,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,neo_lung,total,8.24861854889915,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,neo_lung,total,16.2028237908073,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,neo_lung,total,16.6536177465725,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,neo_lung,total,5.14598405272772,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,resp_copd,total,0.0180932882397243,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,resp_copd,total,0.173267211772208,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,resp_copd,total,1.10101882160912,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,resp_copd,total,3.22728517554949,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,resp_copd,total,9.41482819888327,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,resp_copd,total,16.1225494112396,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,resp_copd,total,9.7768157729434,666,nvss,Deaths,age-adjusted rate
2007,A,All,25,34,All Origins,666,us,t2_dm,total,0.00819318712742233,666,nvss,Deaths,age-adjusted rate
2007,A,All,35,44,All Origins,666,us,t2_dm,total,0.0672550361484227,666,nvss,Deaths,age-adjusted rate
2007,A,All,45,54,All Origins,666,us,t2_dm,total,0.274947843969279,666,nvss,Deaths,age-adjusted rate
2007,A,All,55,64,All Origins,666,us,t2_dm,total,0.61469590335666,666,nvss,Deaths,age-adjusted rate
2007,A,All,65,74,All Origins,666,us,t2_dm,total,1.1974280336981,666,nvss,Deaths,age-adjusted rate
2007,A,All,75,84,All Origins,666,us,t2_dm,total,1.91458700505795,666,nvss,Deaths,age-adjusted rate
2007,A,All,85,150,All Origins,666,us,t2_dm,total,1.35281341321559,666,nvss,Deaths,age-adjusted rate
2007,A,American Indian or Alaska Native,25,34,All Origins,666,us,all-cause,overall,17.4078238613778,666,nvss,Deaths,age-adjusted rate
2007,A,American Indian or Alaska Native,35,44,All Origins,666,us,all-cause,overall,36.5655465383277,666,nvss,Deaths,age-adjusted rate
2007,A,American Indian or Alaska Native,45,54,All Origins,666,us,all-cause,overall,54.8366682535256,666,nvss,Deaths,age-adjusted rate
