Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2016,A,All,25,34,All Origins,666,us,all-cause,overall,17.5836484878916,666,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,all-cause,overall,31.4240568729872,666,nvss,Deaths,age-adjusted rate
2016,A,All,45,54,All Origins,666,us,all-cause,overall,54.896709841536,666,nvss,Deaths,age-adjusted rate
2016,A,All,55,64,All Origins,666,us,all-cause,overall,77.3582658687823,666,nvss,Deaths,age-adjusted rate
2016,A,All,65,74,All Origins,666,us,all-cause,overall,118.386106226531,666,nvss,Deaths,age-adjusted rate
2016,A,All,75,84,All Origins,666,us,all-cause,overall,200.902761851566,666,nvss,Deaths,age-adjusted rate
2016,A,All,85,150,All Origins,666,us,all-cause,overall,207.796421254754,666,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,all-cause,overall,5.64136715039262,higher,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,all-cause,overall,12.0669468349058,higher,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,all-cause,overall,67.6423185839956,higher,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,all-cause,overall,383.821323456512,higher,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,all-cause,overall,33.1014028752143,lower,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,all-cause,overall,53.9884522856088,lower,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,all-cause,overall,220.33938309979,lower,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,all-cause,overall,690.303525791324,lower,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,all-cause,overall,14.3685865079881,middle,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,all-cause,overall,24.2976626000178,middle,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,all-cause,overall,104.777811912404,middle,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,all-cause,overall,389.516800242849,middle,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.290405584656352,666,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,cvd_ihd,total,1.91784547802941,666,nvss,Deaths,age-adjusted rate
2016,A,All,45,54,All Origins,666,us,cvd_ihd,total,6.16903360385018,666,nvss,Deaths,age-adjusted rate
2016,A,All,55,64,All Origins,666,us,cvd_ihd,total,10.4869702419361,666,nvss,Deaths,age-adjusted rate
2016,A,All,65,74,All Origins,666,us,cvd_ihd,total,16.5000998823899,666,nvss,Deaths,age-adjusted rate
2016,A,All,75,84,All Origins,666,us,cvd_ihd,total,27.6119890420991,666,nvss,Deaths,age-adjusted rate
2016,A,All,85,150,All Origins,666,us,cvd_ihd,total,31.582594234917,666,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.0982074097457083,higher,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,cvd_ihd,total,0.632873600816855,higher,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,cvd_ihd,total,7.9513767064761,higher,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,cvd_ihd,total,53.2884318567132,higher,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.534900858536398,lower,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,cvd_ihd,total,3.36892569112934,lower,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,cvd_ihd,total,28.6956652682278,lower,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,cvd_ihd,total,100.824593989133,lower,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.246852512902465,middle,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,cvd_ihd,total,1.50332215246157,middle,nvss,Deaths,age-adjusted rate
2016,A,All,45,64,All Origins,666,us,cvd_ihd,total,13.3091499930283,middle,nvss,Deaths,age-adjusted rate
2016,A,All,65,150,All Origins,666,us,cvd_ihd,total,54.2521806706531,middle,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_stroke,total,0.0992294944437064,666,nvss,Deaths,age-adjusted rate
2016,A,All,35,44,All Origins,666,us,cvd_stroke,total,0.417481971856811,666,nvss,Deaths,age-adjusted rate
2016,A,All,45,54,All Origins,666,us,cvd_stroke,total,0.955796839010911,666,nvss,Deaths,age-adjusted rate
2016,A,All,55,64,All Origins,666,us,cvd_stroke,total,1.40269566050818,666,nvss,Deaths,age-adjusted rate
2016,A,All,65,74,All Origins,666,us,cvd_stroke,total,2.67851575294521,666,nvss,Deaths,age-adjusted rate
2016,A,All,75,84,All Origins,666,us,cvd_stroke,total,6.32876479362362,666,nvss,Deaths,age-adjusted rate
2016,A,All,85,150,All Origins,666,us,cvd_stroke,total,7.79957581068717,666,nvss,Deaths,age-adjusted rate
2016,A,All,25,34,All Origins,666,us,cvd_stroke,total,0.042618309889647,higher,nvss,Deaths,age-adjusted rate
