Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2004,A,All,25,34,All Origins,1,us,all-cause,overall,17.618463684807,666,nvss,Deaths,age-adjusted rate
2004,A,All,35,44,All Origins,1,us,all-cause,overall,43.1060804096516,666,nvss,Deaths,age-adjusted rate
2004,A,All,45,54,All Origins,1,us,all-cause,overall,80.3332385861205,666,nvss,Deaths,age-adjusted rate
2004,A,All,55,64,All Origins,1,us,all-cause,overall,102.453333438277,666,nvss,Deaths,age-adjusted rate
2004,A,All,65,74,All Origins,1,us,all-cause,overall,167.761853593056,666,nvss,Deaths,age-adjusted rate
2004,A,All,75,84,All Origins,1,us,all-cause,overall,299.714351637108,666,nvss,Deaths,age-adjusted rate
2004,A,All,85,150,All Origins,1,us,all-cause,overall,264.100203088324,666,nvss,Deaths,age-adjusted rate
2004,A,All,25,34,All Origins,1,us,cvd_ihd,total,0.39734047340857,666,nvss,Deaths,age-adjusted rate
2004,A,All,35,44,All Origins,1,us,cvd_ihd,total,3.05997000847183,666,nvss,Deaths,age-adjusted rate
2004,A,All,45,54,All Origins,1,us,cvd_ihd,total,10.6765530076907,666,nvss,Deaths,age-adjusted rate
2004,A,All,55,64,All Origins,1,us,cvd_ihd,total,18.4170761552921,666,nvss,Deaths,age-adjusted rate
2004,A,All,65,74,All Origins,1,us,cvd_ihd,total,33.0494808658454,666,nvss,Deaths,age-adjusted rate
2004,A,All,75,84,All Origins,1,us,cvd_ihd,total,66.6658468062828,666,nvss,Deaths,age-adjusted rate
2004,A,All,85,150,All Origins,1,us,cvd_ihd,total,70.8375560218363,666,nvss,Deaths,age-adjusted rate
2004,A,All,25,34,All Origins,1,us,cvd_stroke,total,0.11271262712736,666,nvss,Deaths,age-adjusted rate
2004,A,All,35,44,All Origins,1,us,cvd_stroke,total,0.638234030351202,666,nvss,Deaths,age-adjusted rate
2004,A,All,45,54,All Origins,1,us,cvd_stroke,total,1.69347904096197,666,nvss,Deaths,age-adjusted rate
2004,A,All,55,64,All Origins,1,us,cvd_stroke,total,2.1300069321887,666,nvss,Deaths,age-adjusted rate
2004,A,All,65,74,All Origins,1,us,cvd_stroke,total,4.08286811156382,666,nvss,Deaths,age-adjusted rate
2004,A,All,75,84,All Origins,1,us,cvd_stroke,total,10.1505236819362,666,nvss,Deaths,age-adjusted rate
2004,A,All,85,150,All Origins,1,us,cvd_stroke,total,10.5177527994776,666,nvss,Deaths,age-adjusted rate
2004,A,All,25,34,All Origins,1,us,lri,total,0.0296012960132459,666,nvss,Deaths,age-adjusted rate
