Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,label_cause,attr,value,Education,source,measure1,measure2
1995,A,American Indian or Alaska Native,100,100,All Origins,us,all-cause,overall,15,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,100,100,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,100,100,All Origins,us,ncd_lri,total,13,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,100,100,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,101,101,All Origins,us,all-cause,overall,6,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,101,101,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,101,101,All Origins,us,ncd_lri,total,4,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,102,102,All Origins,us,all-cause,overall,7,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,102,102,All Origins,us,ncd_lri,total,6,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,103,103,All Origins,us,all-cause,overall,5,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,104,104,All Origins,us,all-cause,overall,5,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,104,104,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,104,104,All Origins,us,ncd_lri,total,4,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,105,105,All Origins,us,all-cause,overall,5,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,105,105,All Origins,us,ncd_lri,total,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,106,106,All Origins,us,all-cause,overall,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,106,106,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,106,106,All Origins,us,ncd_lri,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,107,107,All Origins,us,all-cause,overall,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,107,107,All Origins,us,ncd_lri,total,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,108,108,All Origins,us,all-cause,overall,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,110,110,All Origins,us,all-cause,overall,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,110,110,All Origins,us,ncd_lri,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,114,114,All Origins,us,all-cause,overall,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,114,114,All Origins,us,ncd_lri,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,25,25,All Origins,us,all-cause,overall,63,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,25,25,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,25,25,All Origins,us,ncd_lri,total,15,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,25,25,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,26,26,All Origins,us,all-cause,overall,54,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,26,26,All Origins,us,ncd_lri,total,12,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,27,27,All Origins,us,all-cause,overall,62,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,27,27,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,27,27,All Origins,us,ncd_lri,total,20,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,27,27,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,28,28,All Origins,us,all-cause,overall,73,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,28,28,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,28,28,All Origins,us,ncd_lri,total,25,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,28,28,All Origins,us,t2_dm,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,29,29,All Origins,us,all-cause,overall,75,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,29,29,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,29,29,All Origins,us,ncd_lri,total,21,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,29,29,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,30,30,All Origins,us,all-cause,overall,67,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,30,30,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,30,30,All Origins,us,ncd_lri,total,15,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,30,30,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,30,30,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,31,31,All Origins,us,all-cause,overall,77,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,31,31,All Origins,us,ncd_lri,total,30,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,31,31,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,31,31,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,32,32,All Origins,us,all-cause,overall,74,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,32,32,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,32,32,All Origins,us,ncd_lri,total,27,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,33,33,All Origins,us,all-cause,overall,93,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,33,33,All Origins,us,cvd_stroke,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,33,33,All Origins,us,ncd_lri,total,35,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,33,33,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,34,34,All Origins,us,all-cause,overall,100,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_ihd,total,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,34,34,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,34,34,All Origins,us,ncd_lri,total,44,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,34,34,All Origins,us,t2_dm,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,all-cause,overall,86,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,ncd_lri,total,39,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,35,35,All Origins,us,t2_dm,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,36,36,All Origins,us,all-cause,overall,88,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,36,36,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,36,36,All Origins,us,ncd_lri,total,46,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,36,36,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,36,36,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,all-cause,overall,89,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,cvd_ihd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,ncd_lri,total,52,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,neo_lung,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,resp_copd,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,37,37,All Origins,us,t2_dm,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,38,38,All Origins,us,all-cause,overall,98,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,38,38,All Origins,us,ncd_lri,total,62,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,38,38,All Origins,us,neo_lung,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,38,38,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,38,38,All Origins,us,t2_dm,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,all-cause,overall,102,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,cvd_ihd,total,4,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,cvd_stroke,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,ncd_lri,total,54,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,neo_lung,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,resp_copd,total,1,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,39,39,All Origins,us,t2_dm,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,40,40,All Origins,us,all-cause,overall,105,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,40,40,All Origins,us,cvd_ihd,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,40,40,All Origins,us,cvd_stroke,total,2,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,40,40,All Origins,us,ncd_lri,total,66,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,40,40,All Origins,us,t2_dm,total,3,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,41,41,All Origins,us,all-cause,overall,107,666,nvss,Deaths,absolute number
1995,A,American Indian or Alaska Native,41,41,All Origins,us,cvd_ihd,total,2,666,nvss,Deaths,absolute number
