Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2012,A,All,25,34,All Origins,666,us,all-cause,overall,14.3772202194146,666,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,all-cause,overall,27.8690423307178,666,nvss,Deaths,age-adjusted rate
2012,A,All,45,54,All Origins,666,us,all-cause,overall,54.8075454775263,666,nvss,Deaths,age-adjusted rate
2012,A,All,55,64,All Origins,666,us,all-cause,overall,74.6993545936881,666,nvss,Deaths,age-adjusted rate
2012,A,All,65,74,All Origins,666,us,all-cause,overall,119.182889319862,666,nvss,Deaths,age-adjusted rate
2012,A,All,75,84,All Origins,666,us,all-cause,overall,209.8124030653,666,nvss,Deaths,age-adjusted rate
2012,A,All,85,150,All Origins,666,us,all-cause,overall,212.552344733243,666,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,all-cause,overall,5.08816353887635,higher,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,all-cause,overall,11.5530011124611,higher,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,all-cause,overall,71.3446695167582,higher,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,all-cause,overall,419.105545880919,higher,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,all-cause,overall,25.6229366339869,lower,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,all-cause,overall,44.9437358760081,lower,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,all-cause,overall,207.849929382821,lower,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,all-cause,overall,690.095957208159,lower,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,all-cause,overall,11.2022481600501,middle,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,all-cause,overall,20.3486189996416,middle,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,all-cause,overall,99.7504437629022,middle,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,all-cause,overall,400.964148932192,middle,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.329733648467195,666,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,cvd_ihd,total,2.08725024882067,666,nvss,Deaths,age-adjusted rate
2012,A,All,45,54,All Origins,666,us,cvd_ihd,total,6.69393748822652,666,nvss,Deaths,age-adjusted rate
2012,A,All,55,64,All Origins,666,us,cvd_ihd,total,10.8289743608954,666,nvss,Deaths,age-adjusted rate
2012,A,All,65,74,All Origins,666,us,cvd_ihd,total,17.3489622270902,666,nvss,Deaths,age-adjusted rate
2012,A,All,75,84,All Origins,666,us,cvd_ihd,total,31.5849933733099,666,nvss,Deaths,age-adjusted rate
2012,A,All,85,150,All Origins,666,us,cvd_ihd,total,36.7809399665553,666,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.112606897991526,higher,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,cvd_ihd,total,0.675135095625613,higher,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,cvd_ihd,total,9.00339350452629,higher,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,cvd_ihd,total,63.078882446172,higher,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.600887908462415,lower,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,cvd_ihd,total,3.5637609117999,lower,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,cvd_ihd,total,29.0535811784351,lower,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,cvd_ihd,total,111.687618059377,lower,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,cvd_ihd,total,0.252167327734339,middle,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,cvd_ihd,total,1.49886474264607,middle,nvss,Deaths,age-adjusted rate
2012,A,All,45,64,All Origins,666,us,cvd_ihd,total,13.4375654383746,middle,nvss,Deaths,age-adjusted rate
2012,A,All,65,150,All Origins,666,us,cvd_ihd,total,61.2336055586664,middle,nvss,Deaths,age-adjusted rate
2012,A,All,25,34,All Origins,666,us,cvd_stroke,total,0.0932482912574866,666,nvss,Deaths,age-adjusted rate
2012,A,All,35,44,All Origins,666,us,cvd_stroke,total,0.368196719526783,666,nvss,Deaths,age-adjusted rate
2012,A,All,45,54,All Origins,666,us,cvd_stroke,total,0.946143877093457,666,nvss,Deaths,age-adjusted rate
2012,A,All,55,64,All Origins,666,us,cvd_stroke,total,1.26937006910433,666,nvss,Deaths,age-adjusted rate
2012,A,All,65,74,All Origins,666,us,cvd_stroke,total,2.39161332554778,666,nvss,Deaths,age-adjusted rate
2012,A,All,75,84,All Origins,666,us,cvd_stroke,total,5.48199737389782,666,nvss,Deaths,age-adjusted rate
2012,A,All,85,150,All Origins,666,us,cvd_stroke,total,5.76023758386544,666,nvss,Deaths,age-adjusted rate
