"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	19	1683822	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	16	1755364	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	15	1735359	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	18	1801368	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	12	1819339	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	13	1790818	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	17	1851202	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	20	1829105	1.1
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	25	1791541	1.4
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	1776351	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	20	1769073	1.1
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	24	1723721	1.4
	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	12	1797957	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	1553554	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	13	1507130	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	21	1546552	1.4
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	16	1546134	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	18	1585298	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	24	1624622	1.5
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	1669329	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	23	1738846	1.3
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	15	1717479	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	15	1781124	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	27	1809527	1.5
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	18	1794244	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	21	1841503	1.1
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	24	1818915	1.3
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	25	1783846	1.4
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	19	1767030	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	15	1756529	Unreliable
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11	1762449	Unreliable
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	11	1810293	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	25	1537357	1.6
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	20	1510238	1.3
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	23	1502359	1.5
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	21	1542686	1.4
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	26	1543337	1.7
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	12	1583424	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	20	1624179	1.2
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	18	1670251	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	20	1741308	1.1
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	20	1720976	1.2
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	14	1757463	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	26	1788857	1.5
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	21	1783889	1.2
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	27	1830582	1.5
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	27	1809697	1.5
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	29	1773204	1.6
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	21	1753491	1.2
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	14	1167833	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	33	1610150	2.0
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	18	1504722	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	20	1497188	1.3
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	12	1538198	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	17	1539330	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	15	1579896	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	23	1621187	1.4
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	35	1667980	2.1
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	22	1739516	1.3
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	22	1720692	1.3
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	21	1770862	1.2
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	28	1777359	1.6
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	20	1772224	1.1
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	31	1820246	1.7
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	28	1797908	1.6
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	25	1758765	1.4
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	10	1534840	Unreliable
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	10	1613974	Unreliable
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	10	1812977	Unreliable
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	15	1809568	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	14	1185282	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	17	1181133	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	19	1597302	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	22	1490292	1.5
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	30	1480782	2.0
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	19	1519269	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	21	1518270	1.4
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	25	1555834	1.6
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	15	1594044	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	27	1637589	1.6
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	28	1709933	1.6
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	28	1705901	1.6
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	30	1758217	1.7
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	25	1765323	1.4
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	27	1760828	1.5
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	23	1807682	1.3
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	26	1782400	1.5
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	26	1185441	2.2
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	25	1179865	2.1
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	18	1176971	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	25	1593831	1.6
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	31	1489336	2.1
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	21	1482350	1.4
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	29	1523421	1.9
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	31	1524265	2.0
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	32	1564168	2.0
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	29	1604995	1.8
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	33	1623949	2.0
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	34	1696541	2.0
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	26	1692853	1.5
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	41	1745680	2.3
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	33	1752642	1.9
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	28	1747885	1.6
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	23	1790867	1.3
	"57 years"	"57"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	10	1704639	Unreliable
	"57 years"	"57"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	17	1746794	Unreliable
	"57 years"	"57"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	13	1791486	Unreliable
