"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
27,27,2000,"Not Hispanic or Latino","A","White",2312667,"us",666,666,"CDC"
27,27,2001,"Hispanic or Latino","A","White",643503,"us",666,666,"CDC"
27,27,2001,"Not Hispanic or Latino","A","White",2239621,"us",666,666,"CDC"
27,27,2002,"Hispanic or Latino","A","White",678379,"us",666,666,"CDC"
27,27,2002,"Not Hispanic or Latino","A","White",2296089,"us",666,666,"CDC"
27,27,2003,"Hispanic or Latino","A","White",683050,"us",666,666,"CDC"
27,27,2003,"Not Hispanic or Latino","A","White",2200588,"us",666,666,"CDC"
27,27,2004,"Hispanic or Latino","A","White",695043,"us",666,666,"CDC"
27,27,2004,"Not Hispanic or Latino","A","White",2272820,"us",666,666,"CDC"
27,27,2005,"Hispanic or Latino","A","White",706846,"us",666,666,"CDC"
27,27,2005,"Not Hispanic or Latino","A","White",2310289,"us",666,666,"CDC"
27,27,2006,"Hispanic or Latino","A","White",719323,"us",666,666,"CDC"
27,27,2006,"Not Hispanic or Latino","A","White",2383068,"us",666,666,"CDC"
27,27,2007,"Hispanic or Latino","A","White",761105,"us",666,666,"CDC"
27,27,2007,"Not Hispanic or Latino","A","White",2505016,"us",666,666,"CDC"
27,27,2008,"Hispanic or Latino","A","White",763751,"us",666,666,"CDC"
27,27,2008,"Not Hispanic or Latino","A","White",2533534,"us",666,666,"CDC"
27,27,2009,"Hispanic or Latino","A","White",776890,"us",666,666,"CDC"
27,27,2009,"Not Hispanic or Latino","A","White",2505290,"us",666,666,"CDC"
27,27,2010,"Hispanic or Latino","A","White",771746,"us",666,666,"CDC"
27,27,2010,"Not Hispanic or Latino","A","White",2499252,"us",666,666,"CDC"
27,27,2011,"Hispanic or Latino","A","White",759600,"us",666,666,"CDC"
27,27,2011,"Not Hispanic or Latino","A","White",2458524,"us",666,666,"CDC"
27,27,2012,"Hispanic or Latino","A","White",784398,"us",666,666,"CDC"
27,27,2012,"Not Hispanic or Latino","A","White",2545243,"us",666,666,"CDC"
27,27,2013,"Hispanic or Latino","A","White",779763,"us",666,666,"CDC"
27,27,2013,"Not Hispanic or Latino","A","White",2522405,"us",666,666,"CDC"
27,27,2014,"Hispanic or Latino","A","White",777385,"us",666,666,"CDC"
27,27,2014,"Not Hispanic or Latino","A","White",2506200,"us",666,666,"CDC"
27,27,2015,"Hispanic or Latino","A","White",792303,"us",666,666,"CDC"
27,27,2015,"Not Hispanic or Latino","A","White",2541774,"us",666,666,"CDC"
27,27,2016,"Hispanic or Latino","A","White",802240,"us",666,666,"CDC"
27,27,2016,"Not Hispanic or Latino","A","White",2592632,"us",666,666,"CDC"
28,28,2000,"Hispanic or Latino","A","White",632291,"us",666,666,"CDC"
28,28,2000,"Not Hispanic or Latino","A","White",2488801,"us",666,666,"CDC"
28,28,2001,"Hispanic or Latino","A","White",644651,"us",666,666,"CDC"
28,28,2001,"Not Hispanic or Latino","A","White",2307810,"us",666,666,"CDC"
28,28,2002,"Hispanic or Latino","A","White",653421,"us",666,666,"CDC"
28,28,2002,"Not Hispanic or Latino","A","White",2232521,"us",666,666,"CDC"
28,28,2003,"Hispanic or Latino","A","White",685410,"us",666,666,"CDC"
