Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,effPaf,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL
2000,American Indian or Alaska Native,All Origins,1450,563,134.05701001178,78.8961734783536,0.0924531103529515,2374378,61.0686251304552,23.711473067894,5.64598433828901,3.32281437405306
2000,American Indian or Alaska Native,Not Hispanic or Latino,1387,552,129.862347361948,76.2638184255631,0.0936282244859037,1969839,70.4118458412084,28.0225947399762,6.5925361088875,3.87157622656283
2000,Asian or Pacific Islander,All Origins,7726,1296,868.331904866524,236.751622450778,0.112390875597531,9996001,77.2909086343629,12.9651847773925,8.68679289714481,2.36846337301065
2000,Asian or Pacific Islander,Not Hispanic or Latino,7630,1272,894.531419698879,236.102037316425,0.117238718178097,9846166,77.4920918456991,12.9187340534377,9.08507351692912,2.39790835657681
2000,Black or African American,All Origins,70728,6811,8789.63535512184,1234.97943367863,0.124273772128745,34614400,204.331145419247,19.6767819173523,25.3930022046369,3.56781984861396
2000,Black or African American,Hispanic or Latino,11,0,0.58939645267054,0,0.0535814956973218,708465,1.55265256575837,0,0.0831934467716175,0
2000,Black or African American,Not Hispanic or Latino,69908,6811,9004.11436160152,1250.43188173447,0.128799484488206,33905935,206.18219199677,20.0879285588202,26.5561600398323,3.68794395947042
2000,White,All Origins,675391,10950,62943.5376598902,1767.30086079458,0.0931957009493615,210731990,320.497614054705,5.19617358522548,29.8689997944262,0.838648589041739
2000,White,Hispanic or Latino,26104,3506,2655.90459297271,600.087808956832,0.101743203837447,16880095,154.643679434269,20.77002528718,15.7339433988535,3.55500255749053
2000,White,Not Hispanic or Latino,645663,9938,59854.8938719984,1555.15133355283,0.0927029950175222,193851895,333.070254484745,5.1265941970802,30.8766101419841,0.802236848679159
2001,American Indian or Alaska Native,All Origins,1433,634,131.597320765854,79.9052785559161,0.0918334408694025,2419261.50005235,59.2329518726681,26.2063443735322,5.43956578331884,3.30287893864251
2001,American Indian or Alaska Native,Not Hispanic or Latino,1385,538,127.539610552645,70.8757281382469,0.0920863614098523,1987027.00003382,69.7021228184835,27.0756260479019,6.41861487289678,3.56692325454262
2001,Asian or Pacific Islander,All Origins,8133,1406,920.703226199469,258.323171307009,0.113205855920259,10447223.0004789,77.8484387633649,13.4581218371193,8.81289914226261,2.47264915561932
2001,Asian or Pacific Islander,Not Hispanic or Latino,8033,1382,947.660294081792,257.470163048569,0.117970906769799,10287600.0004711,78.084295653332,13.4336482749788,9.21167516270461,2.50272330802889
2001,Black or African American,All Origins,70158,6962,8422.92950163412,1213.31421659232,0.120056579458282,35041423.2008938,200.21447073591,19.867914496756,24.0370645146036,3.46251409263929
2001,Black or African American,Not Hispanic or Latino,69312,6920,8612.1473416695,1215.52095673756,0.124251894934059,34279741.0008712,202.195226615739,20.1868503027025,25.1231400536271,3.54588722448827
2001,White,All Origins,659784,10731,59857.4836552005,1671.80949913582,0.0907228481672798,211933100.006239,311.31710902194,5.06339028669146,28.243574813674,0.788838316943698
2001,White,Hispanic or Latino,27701,3947,2794.73963873186,677.271023673987,0.100889485532359,17861105.600749,155.091183150713,22.0982960866346,15.6470696786802,3.79187626350289
2001,White,Not Hispanic or Latino,629040,10144,56726.7756751403,1580.2684026383,0.0901799180896927,194071994.40549,324.127137419785,5.22692623996296,29.2297587031628,0.814269162059789
2002,American Indian or Alaska Native,All Origins,1506,509,130.541246458826,64.3250479253037,0.0866807745410533,2464145.00010471,61.1165333182912,20.6562519648142,5.29762844529358,2.61044085971282
2002,American Indian or Alaska Native,Not Hispanic or Latino,1471,482,127.002551640621,58.753947121822,0.0863375605986544,2004215.00006764,73.3953193619625,24.0493160655785,6.33677283307103,2.93151917932154
2002,Asian or Pacific Islander,All Origins,8336,1262,918.8836386832,230.942252844989,0.110230762797889,10898445.0009578,76.4879760302262,11.5796336072631,8.43132794267846,2.11903856765523
2002,Asian or Pacific Islander,Not Hispanic or Latino,8253,1262,951.704193771707,235.120475580995,0.115316150947741,10729034.0009421,76.92211618749,11.7624755396356,8.87036236149628,2.19144123842229
2002,Black or African American,All Origins,70024,7176,8158.92146631448,1213.39044232505,0.116516072579608,35468446.4017876,197.426183280672,20.2320674514752,23.0033235002458,3.42104198356963
2002,Black or African American,Not Hispanic or Latino,69112,7101,8328.63346916677,1204.88735859227,0.120509223711754,34653547.0017424,199.437015773667,20.4914088582129,24.0339999502735,3.47695247049802
2002,White,All Origins,658667,10911,58444.7881227242,1654.9677921666,0.0887319208685485,213134210.012478,309.038609973237,5.11930956525526,27.4215894854715,0.776490921879556
2002,White,Hispanic or Latino,28239,3747,2843.14311343499,626.042553078086,0.100681437495485,18842116.2014981,149.871700705013,19.8863013046384,15.0892982668738,3.32257028023376
2002,White,Not Hispanic or Latino,627171,9888,55246.0659694947,1460.59570755185,0.0880877240329905,194292093.81098,322.798003613134,5.08924465532793,28.434541460674,0.751752518027223
2003,American Indian or Alaska Native,All Origins,1624,593,142.380845263446,77.473074397384,0.0876729342755207,2509028.50015706,64.7262476252598,23.6346458385339,5.67474005395048,3.08777179663501
2003,American Indian or Alaska Native,Not Hispanic or Latino,1571,578,138.584298708723,74.4607278224242,0.0882140666510013,2021403.00010146,77.718297633928,28.5940012937049,6.85584708748168,3.68361617246471
2003,Asian or Pacific Islander,All Origins,8763,1467,907.032712655762,251.569200995564,0.103507099470017,11349667.0014367,77.2093137084173,12.9254893541308,7.99171211402892,2.21653376230085
2003,Asian or Pacific Islander,Not Hispanic or Latino,8599,1402,928.559718480287,245.836453065661,0.107984616639177,11170468.0014132,76.9797648488152,12.5509513103895,8.31263039617333,2.20077129297144
2003,Black or African American,All Origins,69313,6925,8001.63235200191,1142.13702874404,0.115442014513899,35895469.6026814,193.096791230786,19.2921281617185,22.2914825758518,3.18184172372194
2003,Black or African American,Hispanic or Latino,10,0,0.498709790409582,0,0.0498709790409582,868116.600067815,1.15191899328026,0,0.0574473279707616,0
2003,Black or African American,Not Hispanic or Latino,68447,6925,8174.52871291871,1154.84092969488,0.119428590192685,35027353.0026136,195.410141311257,19.7702635408485,23.3375576861568,3.29696888488464
2003,White,All Origins,646042,11421,56119.5046735131,1639.22837266933,0.0868666505792396,214335320.018717,301.416490732179,5.32856647192011,26.1830409792528,0.764796195291653
2003,White,Hispanic or Latino,28416,3995,2784.87035968241,632.82080170503,0.0980036021847694,19823126.8022471,143.347718467799,20.153228296694,14.0485927748125,3.1923359418419
2003,White,Not Hispanic or Latino,614796,10611,53026.0982369487,1525.69094343186,0.0862499076717297,194512193.216469,316.070673942689,5.45518500641818,27.2610664452983,0.784367765435634
2004,American Indian or Alaska Native,All Origins,1574,550,127.153794106236,68.5467686795441,0.0807838590255631,2553912.00020941,61.6309410767065,21.5355893215938,4.97878525555345,2.68399101746354
2004,American Indian or Alaska Native,Not Hispanic or Latino,1528,517,123.837621645729,62.279831564268,0.0810455639042729,2038591.00013528,74.9537302920794,25.3606535085112,6.07466733825036,3.05504299587977
