Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,186.636517727073,131.176217387664,267.094998143757,wonder
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,111.560536926389,77.4280793209699,160.309254487034,wonder
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,5.06107812756879,3.55714461865795,7.24289474295259,wonder
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,5158.07407944563,3638.62929501079,7382.02070215079,wonder
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2668.44930464538,1871.81283175759,3800.56350494376,wonder
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,139.873033540183,98.6697960483803,200.180457543416,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,81.0515015596631,57.0037441558746,116.088501459184,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,91.3882659381701,63.5528302664037,131.649124522952,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,4.39710352937179,3.09249501603242,6.29788652477843,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,2018.89961835555,1421.61694379161,2889.41212816359,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,2070.83454388414,1451.41972829322,2947.90461236572,wonder
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,109.52678810995,77.1237640348882,156.752731560505,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,105.77132172378,73.9137466002904,151.283168780147,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,135.25158443008,93.949630599855,193.683653596565,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,crude rate,attributable,5.73475901104325,4.00749009701259,8.20234162948979,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,absolute number,attributable,3147.36893581956,2214.96453389794,4490.13754936571,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,age-adjusted rate,attributable,3343.86681964838,2340.34909976135,4772.3019059888,wonder
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,crude rate,attributable,170.645521598987,120.091983468677,243.448378562328,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,927.80120801464,711.305164472569,1209.45527385427,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,98.1839579837936,74.3456880915506,129.126961195522,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,6.17305659260787,4.73261620805535,8.04702105066959,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,22189.812345471,16941.8322246517,29003.8557925744,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2251.33149631224,1718.03591212559,2949.61771027019,wonder
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,147.638272298714,112.721225411029,192.975005491235,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,absolute number,attributable,371.249541156391,283.29962744259,488.028799267632,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,68.6553699687677,51.617796907861,90.8224467020306,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,crude rate,attributable,4.76041388989051,3.63266033212522,6.2578368917675,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,absolute number,attributable,8080.75612196402,6196.22267997578,10570.6945119483,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1504.49262537247,1144.71366655822,1979.62397605807,wonder
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,crude rate,attributable,103.616946068118,79.4521776881757,135.544628078799,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,absolute number,attributable,557.804369086625,427.525304990298,727.024981345389,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,136.924321304071,104.119229516725,179.587173748805,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,crude rate,attributable,7.7138892630863,5.91225713284115,10.0540449455045,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,absolute number,attributable,14143.7000721554,10803.338221501,18544.1070634445,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,age-adjusted rate,attributable,3188.85622798665,2441.68713403633,4164.02573219419,wonder
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,crude rate,attributable,195.593548873707,149.399609129602,256.446876894241,wonder
2006,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,6457.54120671402,5056.07148690565,8236.42709238112,wonder
2006,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,262.346529697157,203.38091529628,336.225063597121,wonder
2006,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,16.2017308649973,12.6854954297251,20.6648894320933,wonder
2006,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,174118.977728205,135461.245292666,222930.804523231,wonder
2006,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,6672.45871665287,5206.3537824023,8526.50579762389,wonder
2006,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,436.858043229794,339.867229432045,559.325102354344,wonder
2006,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,2891.1037062812,2261.94861700341,3685.51890274218,wonder
2006,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,195.061711809462,151.251336234465,250.075383116901,wonder
2006,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,13.8725469422337,10.8536363818865,17.6844344510027,wonder
2006,Black or African American,All Origins,666,F,us,YLL,absolute number,attributable,72230.0419975777,56636.5509835367,91915.028112239,wonder
2006,Black or African American,All Origins,666,F,us,YLL,age-adjusted rate,attributable,4864.73179322887,3815.46771132642,6188.32465936249,wonder
2006,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,346.58550852878,271.762375890679,441.041094241449,wonder
2006,Black or African American,All Origins,666,M,us,Deaths,absolute number,attributable,3552.1417219672,2760.50731252183,4553.66439868273,wonder
2006,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,356.221692240608,274.981532904969,457.647765325767,wonder
2006,Black or African American,All Origins,666,M,us,Deaths,crude rate,attributable,18.6791247494744,14.5162734199341,23.9456846116852,wonder
2006,Black or African American,All Origins,666,M,us,YLL,absolute number,attributable,101453.028835517,78361.4494209332,129903.170035031,wonder
2006,Black or African American,All Origins,666,M,us,YLL,age-adjusted rate,attributable,9030.28334637655,7009.66583593481,11588.1518588931,wonder
2006,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,533.496107464188,412.067818192968,683.102676740255,wonder
2006,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,2171.87216063634,1623.14953595733,2897.50452637136,wonder
2006,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,125.730972042099,92.6243720336221,168.221053130185,wonder
2006,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,5.34879656848184,3.99742527456944,7.13585382634808,wonder
2006,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,54961.8396849888,41111.4804343615,72906.0970253918,wonder
2006,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,2902.31608691716,2169.93593515704,3842.1211195042,wonder
2006,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,135.357736441718,101.247646826549,179.550108269985,wonder
2006,White,Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,907.456142108229,677.799633394786,1211.94464851878,wonder
2006,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,92.087472300825,67.7193456241531,123.830490186538,wonder
2006,White,Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,4.57393900206712,3.41637907873839,6.10868188442482,wonder
2006,White,Hispanic or Latino,666,F,us,YLL,absolute number,attributable,20233.0841402152,15214.3042504551,26817.645606318,wonder
2006,White,Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,2014.5109982028,1506.33767484826,2670.85188633577,wonder
2006,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,101.982771824138,76.6861299090447,135.171574129609,wonder
2006,White,Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,1261.0458748559,943.769148993958,1682.70301598917,wonder
2006,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,167.400455068958,123.261662921084,224.249313263688,wonder
2006,White,Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,6.07289060018588,4.54496296126084,8.10348896297907,wonder
2006,White,Hispanic or Latino,666,M,us,YLL,absolute number,attributable,34657.8350001016,25918.2553604371,46093.9551385807,wonder
2006,White,Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,3938.34891694845,2924.54601485734,5215.50983219296,wonder
2006,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,166.903714283163,124.816021756228,221.977290809078,wonder
2006,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,37390.2323595416,27321.2450491331,50345.7734635318,wonder
2006,White,Not Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,169.694607388451,123.83712495988,229.486367093333,wonder
2006,White,Not Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,18.7701596534686,13.7154571967483,25.2739324190559,wonder
2006,White,Not Hispanic or Latino,666,A,us,YLL,absolute number,attributable,793414.913371809,584245.877022127,1070534.71762036,wonder
2006,White,Not Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,3996.81838152007,2935.51140968129,5370.17899460118,wonder
2006,White,Not Hispanic or Latino,666,A,us,YLL,crude rate,attributable,398.299867522256,293.295539945677,537.415958560828,wonder
