Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2010,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,158.542327664984,102.615601732237,241.960405349132,wonder
2010,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,75.360940555704,48.8468297757593,115.167424481827,wonder
2010,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,3.71015202565813,2.40137437262487,5.66227266406797,wonder
2010,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,4354.88397062432,2823.46032607201,6662.93848874578,wonder
2010,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,1826.06525640249,1186.53041957074,2784.58095199383,wonder
2010,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,101.911469467384,66.0736296888308,155.923752949387,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,66.1306986412185,43.0877469654831,101.456751132731,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,58.7948807007155,38.0000844790727,90.2767235411114,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,3.11087343640481,2.02690324196737,4.77265655025192,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,1654.90372071981,1076.29897985887,2532.39243907331,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1356.91570637753,880.466669801245,2075.71063410087,wonder
2010,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,77.8488074430524,50.6304934753198,119.127009560357,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,92.653963038735,60.0079797914106,141.551365742955,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,95.0563619916467,61.3006005148992,144.958991859116,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,Deaths,crude rate,attributable,4.31468233322522,2.79443384575242,6.59172211295161,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,YLL,absolute number,attributable,2709.24356986991,1754.59418681585,4137.87397404817,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,YLL,age-adjusted rate,attributable,2358.56553192088,1535.00859059388,3595.54915740558,wonder
2010,American Indian or Alaska Native,All Origins,666,M,us,YLL,crude rate,attributable,126.163252859835,81.7074228834558,192.691290770522,wonder
2010,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,792.397418945562,563.561051338749,1102.53750852547,wonder
2010,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,67.7014530652489,47.2687564143039,94.7128914415599,wonder
