Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2014,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,8.75203540037179,5.83620109290362,12.646762784443,wonder,GBD
2014,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,102235.957153744,67953.4552367686,148240.386449747,wonder,GBD
2014,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,3123.79497546352,2079.69194933923,4519.18707827375,wonder,GBD
2014,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,230.899184972566,153.472397256908,334.799862633372,wonder,GBD
2014,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,1726.62952923145,1152.94354920396,2476.88916163438,wonder,GBD
2014,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,92.7678177946853,61.1923710101981,133.491411298289,wonder,GBD
2014,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,7.48952100604874,5.00106987883788,10.743887493904,wonder,GBD
2014,Black or African American,All Origins,666,F,us,YLL,absolute number,attributable,42378.2081929724,28484.4059269867,60880.6824530441,wonder,GBD
2014,Black or African American,All Origins,666,F,us,YLL,age-adjusted rate,attributable,2306.31384281158,1538.16018261985,3322.60290116382,wonder,GBD
2014,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,183.821992550567,123.555489422183,264.079318913082,wonder,GBD
2014,Black or African American,All Origins,666,M,us,Deaths,absolute number,attributable,2140.53331955942,1426.01705607821,3107.03340401163,wonder,GBD
2014,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,163.973090131689,107.381994424483,237.285135145407,wonder,GBD
2014,Black or African American,All Origins,666,M,us,Deaths,crude rate,attributable,10.0857343316135,6.71908680352368,14.6396756294174,wonder,GBD
2014,Black or African American,All Origins,666,M,us,YLL,absolute number,attributable,59609.241269524,39447.3517368753,86736.8348788765,wonder,GBD
2014,Black or African American,All Origins,666,M,us,YLL,age-adjusted rate,attributable,4159.46340505062,2758.95223953042,6043.99211865859,wonder,GBD
2014,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,280.865971886489,185.86746866698,408.685380115192,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,1803.62742903496,1196.5947638531,2633.31878149701,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,69.3999806389151,45.1872088241686,102.182303629325,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,3.65112517163725,2.42229475568076,5.33068877379691,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,44525.2127715041,29726.2659435627,64750.2146280837,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,1619.05554814695,1073.32048410906,2354.46803702275,wonder,GBD
2014,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,90.1334291691964,60.1755751205205,131.075373268194,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,746.24378109428,497.645102446084,1088.3083066549,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,50.4852090444382,33.0253091197577,74.2384021825017,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,3.05712348314932,2.03869374526816,4.45845307588677,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,YLL,absolute number,attributable,16220.0672277617,10857.0392724542,23532.0991304455,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,1116.72379300377,738.619679081469,1622.36806210218,wonder,GBD
2014,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,66.4484578317529,44.4778376157761,96.4035274826547,wonder,GBD
2014,White,Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,1055.38380144931,702.519665097183,1542.21483476357,wonder,GBD
2014,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,92.3229711482541,59.7943272982116,135.727177372632,wonder,GBD
2014,White,Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,4.22335564101274,2.81129043901957,6.17151951082422,wonder,GBD
2014,White,Hispanic or Latino,666,M,us,YLL,absolute number,attributable,28254.199895265,18726.1068495325,41113.7229348286,wonder,GBD
2014,White,Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,2191.40527478127,1440.99222189755,3196.97140583162,wonder,GBD
