Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2005,us,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,82.7981682536122,117.916693106758,149.66089332963,EPA,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,absolute number,964924.579154084,1374193.6309843,1744138.51849455,EPA,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,31653.3088087417,45078.9380893219,57214.5806250764,EPA,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,crude rate,2456.48325422988,3498.3911857045,4440.18854561171,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,16060.9436884037,22868.2687568211,29023.7944565712,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,969.161808148443,1379.93464939346,1751.37611217508,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,78.1515190497667,111.275525028724,141.227917199346,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,absolute number,418831.912879693,596351.057166199,756872.79571559,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,24536.3053431032,34935.8565580826,44339.6538097619,EPA,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,crude rate,2038.00915146107,2901.80589065405,3682.89434669553,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,16448.7682272957,23431.003315949,29739.7599426886,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,1524.11312136406,2171.07439943751,2755.63238101029,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,87.8218503527242,125.10080015674,158.783971609414,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,absolute number,544932.824034026,776247.96157821,985251.366407499,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,40661.3189230813,57921.388723599,73516.6212457693,EPA,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,crude rate,2909.458523781,4144.47643594385,5260.36946139657,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,12270.853071469,17552.9522535453,22290.7727743815,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,629.535965661031,900.525389944605,1143.5914913266,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,31.2186903239271,44.6570566432922,56.7107053007138,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,388318.890917714,555474.253642277,705405.574578387,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,15476.8858810724,22139.0507507324,28114.732074509,EPA,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,987.935160814343,1413.20074540642,1794.64606554026,EPA,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,5364.64674243981,7674.36667402689,9745.87763395682,EPA,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,490.370581155374,701.497009331593,890.849278373746,EPA,attributable
