Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2003,us,Black or African American,All Origins,A,666,wonder,YLL,absolute number,483209.270899725,496820.799657464,510432.328415203,attributable,DI
2003,us,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,16657.1511687921,17126.3666946736,17595.5822205551,attributable,DI
2003,us,Black or African American,All Origins,A,666,wonder,YLL,crude rate,1264.62325640921,1300.2464467306,1335.86963705198,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,8092.00127990825,8319.94497793383,8547.88867595941,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,509.864309111289,524.226684015832,538.589058920375,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,40.4288337472804,41.5676741345277,42.7065145217751,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,YLL,absolute number,211533.257043646,217491.94034065,223450.623637655,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,12976.5932230437,13342.1310603126,13707.6688975814,attributable,DI
2003,us,Black or African American,All Origins,F,666,wonder,YLL,crude rate,1056.8513999463,1086.62186191662,1116.39232388694,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,8182.08875691718,8412.57013035146,8643.05150378574,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,802.72152351016,825.333397411854,847.945271313549,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,44.9705664015867,46.2373429199413,47.5041194382958,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,YLL,absolute number,270740.229154131,278366.714482416,285993.199810701,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,21349.8488369715,21951.2530295622,22552.657222153,attributable,DI
2003,us,Black or African American,All Origins,M,666,wonder,YLL,crude rate,1488.04807848895,1529.96492577033,1571.88177305171,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,5842.9255688452,6007.51502148873,6172.10447413226,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,328.652133771407,337.909940356517,347.167746941627,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,15.8621762358965,16.3089981016964,16.7558199674963,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,187115.115592032,192385.963918568,197656.812245105,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,8103.46363520744,8331.73021648089,8559.99679775434,attributable,DI
2003,us,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,507.973771862982,522.28289219715,536.592012531319,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,2579.56299188571,2652.22673813601,2724.89048438631,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,258.807501470457,266.097853624554,273.388205778651,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,14.394939800742,14.8004310627347,15.2059223247275,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,70455.8183731483,72440.489313237,74425.1602533257,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,5993.89290524844,6162.73495891741,6331.57701258638,attributable,DI
2003,us,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,393.170187075787,404.245403613134,415.32062015048,attributable,DI
2003,us,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,3263.5226625212,3355.45287836687,3447.38309421254,attributable,DI
2003,us,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,414.656120325246,426.336574418915,438.017028512584,attributable,DI
2003,us,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,17.2530230513336,17.739023700667,18.2250243500003,attributable,DI
2003,us,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,116670.777220082,119957.277986845,123243.778753608,attributable,DI
