Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2015,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,144.027377464672,81.2420552729133,237.960633413071,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,54.575426737907,30.5423477947804,90.9794834130826,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,3.15048349558168,1.77710487262902,5.20519821552627,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,3848.50584884727,2166.19845607892,6395.77505759395,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,1333.59015506572,751.125748449741,2211.81204158585,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,84.1829822418095,47.3838557930079,139.902455457437,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,62.0157977829172,35.1339108260684,102.781298072633,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,43.3121027979926,24.2133703077757,72.3886378989359,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,2.72349344784246,1.54294517449933,4.51375620195064,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,1564.2649500209,886.945349928309,2598.465448032,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1042.11700840519,587.347844225232,1737.11588011657,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,68.6964530712699,38.951201717661,114.114530090099,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,82.2703870990798,46.5188556337284,135.77041235814,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,68.1811995886489,38.1130109206636,113.853181845883,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,Deaths,crude rate,attributable,3.58550373318956,2.02738234764311,5.91713905248224,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,YLL,absolute number,attributable,2291.66754139796,1284.56453709968,3791.6449914409,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,YLL,age-adjusted rate,attributable,1668.70982115627,940.764699862379,2779.97716403971,wonder,GBD
2015,American Indian or Alaska Native,All Origins,666,M,us,YLL,crude rate,attributable,99.8753356419255,55.9838248694145,165.247274883588,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,865.576155077553,579.016908213284,1259.10774584403,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,54.7448557894949,35.9807070226916,79.7020769435805,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,4.34972793640756,2.90969894044967,6.3273186361681,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,19218.739536173,12832.9226972064,27739.5889804072,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,1245.64799862328,826.448606882673,1808.06723755095,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,96.5787790856397,64.4885167346092,139.398092732499,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,Deaths,absolute number,attributable,360.128474924267,240.964626007899,523.183931124369,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,39.1246489134545,25.6575219523966,57.2687750978523,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,Deaths,crude rate,attributable,3.47328315063566,2.32399944377757,5.04588239805181,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,YLL,absolute number,attributable,7177.1347681419,4783.32054912296,10414.9389936974,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,YLL,age-adjusted rate,attributable,843.218880331509,558.002732582066,1233.99479142346,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,F,us,YLL,crude rate,attributable,69.2203560556296,46.1330547962138,100.447575352975,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,Deaths,absolute number,attributable,507.058477073185,339.603699778674,734.011442808888,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,74.6296011828661,49.1197174835862,108.366395625443,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,Deaths,crude rate,attributable,5.32008896296129,3.5631430627134,7.70129354333078,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,YLL,absolute number,attributable,12074.1462850194,8058.43599695402,17455.8765735844,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,YLL,age-adjusted rate,attributable,1741.04042768123,1156.49415934317,2524.27610862109,wonder,GBD
2015,Asian or Pacific Islander,All Origins,666,M,us,YLL,crude rate,attributable,126.682691035733,84.5496098469473,183.148138719585,wonder,GBD
2015,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,3653.97755905143,2349.84264234185,5404.58485024267,wonder,GBD
2015,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,112.734013700327,71.8300588099934,166.4904212887,wonder,GBD
2015,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,8.15621319885507,5.24519301636775,12.0638251268639,wonder,GBD
2015,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,95494.3457293131,61433.9425328177,141608.382142469,wonder,GBD
2015,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2849.6540524378,1833.22488592177,4219.1248717282,wonder,GBD
2015,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,213.157369049537,137.129559458473,316.090653769299,wonder,GBD
2015,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,1625.60094467818,1049.35626811245,2385.10375087232,wonder,GBD
2015,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,84.6354100961032,53.9589615577556,124.515023406073,wonder,GBD
2015,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,6.97296153668515,4.50117903768576,10.2308237272393,wonder,GBD
