Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2009,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,149.106850857544,96.2006612634707,228.188053126337,wonder
2009,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,74.7263175051183,47.6088928400606,115.396509474602,wonder
2009,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,3.60055806949275,2.3230057184539,5.51017160727798,wonder
2009,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,4148.3238860344,2669.37769308227,6339.0404819951,wonder
2009,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,1821.68965480985,1171.58820438479,2783.58846493016,wonder
2009,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,100.171661844034,64.4588047971976,153.071996551618,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,64.5661801267833,41.6462579186197,98.5259309678542,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,59.9131419116135,38.2933346759116,92.3811471665407,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,3.13063932080858,2.01931432754038,4.77725572430582,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,1660.8316397125,1074.68934445455,2536.40326250821,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1416.59262123544,915.590815273723,2163.60721876003,wonder
2009,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,80.5292310357709,52.1087775797931,122.983329220393,wonder
2009,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,84.4905905068563,54.2377803423084,129.829213671191,wonder
2009,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,92.3410825471247,57.9269381198092,143.382063227957,wonder
