Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source
2000,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,191.10354282535,141.245058136345,259.45501775516,wonder
2000,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,150.804784316972,111.184845555429,205.726756133165,wonder
2000,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,6.38433174475272,4.71867394563914,8.66779799945144,wonder
2000,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,5285.70382946505,3927.63793931249,7209.4320749762,wonder
2000,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,3640.55310093631,2690.94066277262,4919.23712391515,wonder
2000,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,176.583260848571,131.21338938632,240.850616254528,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,81.0567977851421,60.0767796606289,110.182488242548,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,114.876212820254,84.4589704303374,156.83735698225,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,5.40283201868617,4.00441119806361,7.34420174052901,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,2077.95947213995,1546.10064017712,2821.45821474841,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,2692.20309556139,1998.24091409067,3641.27428904577,wonder
2000,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,138.506162054034,103.055169598512,188.063989678384,wonder
2000,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,109.904010635285,81.1177267193414,149.257788709802,wonder
2000,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,196.391431049787,144.298079212796,267.287479789116,wonder
2000,American Indian or Alaska Native,All Origins,666,M,us,Deaths,crude rate,attributable,7.36101061415544,5.43299961416996,9.99679775640041,wonder
2000,American Indian or Alaska Native,All Origins,666,M,us,YLL,absolute number,attributable,3210.44173370547,2380.16088023293,4361.98294118293,wonder
2000,American Indian or Alaska Native,All Origins,666,M,us,YLL,age-adjusted rate,attributable,4769.65154198569,3523.20553905967,6470.22572924991,wonder
