Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,crude rate,all-cause,817.13146758551,1170.59744852401,1486.8714287665,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,all-cause,29544.8890503251,42252.8765011972,53658.4377379602,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,all-cause,1060.69760648756,1516.92987899514,1926.40345948059,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,all-cause,74.127028462766,106.010896629294,134.627025834966,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,absolute number,all-cause,882180.189411538,1261627.7059466,1602186.10692938,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,all-cause,28065.7836298302,40137.5712598079,50972.136023362,EPA,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,crude rate,all-cause,2213.35730516402,3165.37702033066,4019.82539006001,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,all-cause,14489.5492788442,20718.0416075083,26309.9696546463,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,all-cause,852.158911437994,1218.46880421319,1547.34109870521,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,all-cause,69.5260263773548,99.4125544949771,126.244620104723,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,absolute number,all-cause,381141.260185938,544979.02832629,692072.251292663,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,all-cause,21657.5189983394,30967.2420506643,39325.4929242829,EPA,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,crude rate,all-cause,1828.85173301261,2615.00379130781,3320.80954848357,EPA,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,all-cause,15042.0635092754,21516.4449016354,27325.209503175,EPA,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,all-cause,1349.95864313466,1931.00572581564,2452.31664668416,EPA,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,all-cause,79.0994849787886,113.145361289318,143.691056569854,EPA,attributable
2006,us,Black or African American,All Origins,M,666,wonder,YLL,absolute number,all-cause,500007.939374343,715220.572715592,908307.672562994,EPA,attributable
2006,us,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,all-cause,36146.3582302611,51704.4170686161,65662.9863854546,EPA,attributable
